wave,trans
6685.5791,0.0
6733.2373,0.021895254
6765.00928,0.0547078811
6787.24951,0.0897862315
6803.13574,0.132073373
6815.84424,0.199673951
6831.73047,0.254757524
6844.43896,0.298874289
6847.61621,0.367411703
6866.6792,0.406062394
6907.98291,0.477764457
6933.40039,0.49387601
7050.95654,0.491021335
7200.28467,0.474454582
7324.19531,0.461236
7432.21973,0.443447441
7521.18115,0.424275964
7622.85156,0.41287747
7708.63574,0.39199394
7769.00244,0.380448252
7819.8374,0.370082736
7905.62158,0.356654197
7988.229,0.345132887
8064.48145,0.333023548
8131.20264,0.320939571
8185.21484,0.308342755
8264.64453,0.29454881
8350.42871,0.272086889
8388.55566,0.263305217
8401.26367,0.245771959
8423.50391,0.205520451
8433.03613,0.174737006
8455.27637,0.12925221
8471.16211,0.081192635
8490.22559,0.0437096134
8537.88281,0.0138660809
8598.25,0.00418129563
8712.62891,0.0
