wave,trans
3000.0,0.0
3010.0,0.0
3020.0,0.0
3030.0,0.0
3040.0,0.0
3050.0,0.0
3060.0,0.0
3070.0,0.0
3080.0,0.0
3090.0,0.0
3100.0,0.0
3110.0,0.0
3120.0,0.0
3130.0,0.0
3140.0,0.0
3150.0,0.0
3160.0,0.0
3170.0,0.0
3180.0,0.0
3190.0,0.0
3200.0,0.0
3210.0,0.0
3220.0,0.0
3230.0,0.0
3240.0,0.0
3250.0,0.0
3260.0,0.0
3270.0,0.0
3280.0,0.0
3290.0,0.0
3300.0,0.0
3310.0,0.0
3320.0,0.0
3330.0,0.0
3340.0,5e-05
3350.0,6e-05
3360.0,7e-05
3370.0,8e-05
3380.0,9e-05
3390.0,9e-05
3400.0,0.0001
3410.0,0.00011
3420.0,0.00012
3430.0,0.00011
3440.0,0.0001
3450.0,9e-05
3460.0,8e-05
3470.0,7e-05
3480.0,6e-05
3490.0,5e-05
3500.0,4e-05
3510.0,2e-05
3520.0,1e-05
3530.0,2e-05
3540.0,3e-05
3550.0,4e-05
3560.0,4e-05
3570.0,5e-05
3580.0,6e-05
3590.0,7e-05
3600.0,8e-05
3610.0,9e-05
3620.0,9e-05
3630.0,0.0001
3640.0,0.0001
3650.0,0.00011
3660.0,0.00012
3670.0,0.00012
3680.0,0.00013
3690.0,0.00014
3700.0,0.00014
3710.0,0.00015
3720.0,0.00014
3730.0,0.00012
3740.0,0.00011
3750.0,0.0001
3760.0,8e-05
3770.0,7e-05
3780.0,5e-05
3790.0,4e-05
3800.0,2e-05
3810.0,1e-05
3820.0,1e-05
3830.0,1e-05
3840.0,1e-05
3850.0,1e-05
3860.0,1e-05
3870.0,1e-05
3880.0,1e-05
3890.0,1e-05
3900.0,1e-05
3910.0,1e-05
3920.0,2e-05
3930.0,4e-05
3940.0,6e-05
3950.0,8e-05
3960.0,0.0001
3970.0,0.00012
3980.0,0.00014
3990.0,0.00016
4000.0,0.00018
4010.0,0.00018
4020.0,0.00018
4030.0,0.00019
4040.0,0.00019
4050.0,0.0002
4060.0,0.0002
4070.0,0.00021
4080.0,0.00021
4090.0,0.00022
4100.0,0.00023
4110.0,0.00024
4120.0,0.00025
4130.0,0.00026
4140.0,0.00027
4150.0,0.00028
4160.0,0.0003
4170.0,0.00031
4180.0,0.00032
4190.0,0.00033
4200.0,0.00034
4210.0,0.00035
4220.0,0.00036
4230.0,0.00036
4240.0,0.00037
4250.0,0.00037
4260.0,0.00038
4270.0,0.00038
4280.0,0.00039
4290.0,0.00039
4300.0,0.00036
4310.0,0.00033
4320.0,0.0003
4330.0,0.00027
4340.0,0.00024
4350.0,0.00021
4360.0,0.00017
4370.0,0.00014
4380.0,0.00011
4390.0,8e-05
4400.0,5e-05
4410.0,5e-05
4420.0,5e-05
4430.0,6e-05
4440.0,6e-05
4450.0,7e-05
4460.0,7e-05
4470.0,7e-05
4480.0,8e-05
4490.0,8e-05
4500.0,9e-05
4510.0,8e-05
4520.0,7e-05
4530.0,7e-05
4540.0,6e-05
4550.0,6e-05
4560.0,5e-05
4570.0,5e-05
4580.0,4e-05
4590.0,4e-05
4600.0,4e-05
4610.0,5e-05
4620.0,5e-05
4630.0,5e-05
4640.0,6e-05
4650.0,6e-05
4660.0,7e-05
4670.0,7e-05
4680.0,8e-05
4690.0,8e-05
4700.0,9e-05
4710.0,9e-05
4720.0,0.0001
4730.0,0.0001
4740.0,0.0001
4750.0,0.00011
4760.0,0.00011
4770.0,0.00012
4780.0,0.00012
4790.0,0.00012
4800.0,0.00013
4810.0,0.00013
4820.0,0.00015
4830.0,0.00017
4840.0,0.00019
4850.0,0.0002
4860.0,0.00022
4870.0,0.00024
4880.0,0.00026
4890.0,0.00028
4900.0,0.00029
4910.0,0.00031
4920.0,0.00033
4930.0,0.00034
4940.0,0.00036
4950.0,0.00038
4960.0,0.0004
4970.0,0.00041
4980.0,0.00043
4990.0,0.00045
5000.0,0.00042
5010.0,0.00039
5020.0,0.00037
5030.0,0.00034
5040.0,0.00032
5050.0,0.00029
5060.0,0.00026
5070.0,0.00024
5080.0,0.00021
5090.0,0.00018
5100.0,0.00016
5110.0,0.00017
5120.0,0.00018
5130.0,0.00019
5140.0,0.00021
5150.0,0.00022
5160.0,0.00023
5170.0,0.00024
5180.0,0.00025
5190.0,0.00027
5200.0,0.00028
5210.0,0.00036
5220.0,0.00044
5230.0,0.00052
5240.0,0.0006
5250.0,0.00068
5260.0,0.00076
5270.0,0.00083
5280.0,0.00091
5290.0,0.00099
5300.0,0.00092
5310.0,0.00084
5320.0,0.00077
5330.0,0.00069
5340.0,0.00061
5350.0,0.00054
5360.0,0.00046
5370.0,0.00039
5380.0,0.00031
5390.0,0.00023
5400.0,0.00016
5410.0,0.00024
5420.0,0.00032
5430.0,0.0004
5440.0,0.00048
5450.0,0.00056
5460.0,0.00064
5470.0,0.00073
5480.0,0.00081
5490.0,0.00089
5500.0,0.00097
5510.0,0.00095
5520.0,0.00093
5530.0,0.00091
5540.0,0.00089
5550.0,0.00086
5560.0,0.00084
5570.0,0.00082
5580.0,0.0008
