wave,trans
3000.0,0.0
3010.0,0.0
3020.0,0.0
3030.0,0.0
3040.0,0.0
3050.0,0.0
3060.0,0.0
3070.0,0.0
3080.0,0.0
3090.0,0.0
3100.0,0.0
3110.0,0.0
3120.0,0.0
3130.0,0.0
3140.0,0.0
3150.0,0.0
3160.0,0.0
3170.0,0.0
3180.0,0.0
3190.0,0.0
3200.0,0.0
3210.0,0.0
3220.0,0.0
3230.0,0.0
3240.0,0.0
3250.0,0.0
3260.0,0.0
3270.0,0.0
3280.0,0.0
3290.0,0.0
3300.0,0.0
3310.0,0.0
3320.0,0.0
3330.0,0.0
3340.0,0.00071
3350.0,0.00078
3360.0,0.00083
3370.0,0.00086
3380.0,0.00091
3390.0,0.00097
3400.0,0.001
3410.0,0.00106
3420.0,0.00111
3430.0,0.00103
3440.0,0.00094
3450.0,0.00086
3460.0,0.00078
3470.0,0.00069
3480.0,0.0006
3490.0,0.00051
3500.0,0.00042
3510.0,0.00032
3520.0,0.00023
3530.0,0.00022
3540.0,0.00021
3550.0,0.0002
3560.0,0.0002
3570.0,0.00019
3580.0,0.00018
3590.0,0.00017
3600.0,0.00017
3610.0,0.00016
3620.0,0.00017
3630.0,0.00018
3640.0,0.00019
3650.0,0.0002
3660.0,0.00021
3670.0,0.00022
3680.0,0.00023
3690.0,0.00024
3700.0,0.00025
3710.0,0.00026
3720.0,0.00028
3730.0,0.0003
3740.0,0.00031
3750.0,0.00033
3760.0,0.00035
3770.0,0.00037
3780.0,0.00039
3790.0,0.0004
3800.0,0.00042
3810.0,0.00044
3820.0,0.00041
3830.0,0.00038
3840.0,0.00035
3850.0,0.00032
3860.0,0.00029
3870.0,0.00026
3880.0,0.00023
3890.0,0.0002
3900.0,0.00017
3910.0,0.00013
3920.0,0.00018
3930.0,0.00022
3940.0,0.00026
3950.0,0.00031
3960.0,0.00035
3970.0,0.0004
3980.0,0.00044
3990.0,0.00049
4000.0,0.00045
4010.0,0.00041
4020.0,0.00038
4030.0,0.00034
4040.0,0.0003
4050.0,0.00026
4060.0,0.00022
4070.0,0.00019
4080.0,0.00015
4090.0,0.00011
4100.0,7e-05
4110.0,7e-05
4120.0,8e-05
4130.0,9e-05
4140.0,9e-05
4150.0,0.0001
4160.0,0.00011
4170.0,0.00011
4180.0,0.00012
4190.0,0.00013
4200.0,0.00014
4210.0,0.00014
4220.0,0.00014
4230.0,0.00014
4240.0,0.00015
4250.0,0.00015
4260.0,0.00015
4270.0,0.00015
4280.0,0.00015
4290.0,0.00015
4300.0,0.00015
4310.0,0.00015
4320.0,0.00015
4330.0,0.00014
4340.0,0.00014
4350.0,0.00014
4360.0,0.00014
4370.0,0.00014
4380.0,0.00014
4390.0,0.00014
4400.0,0.00013
4410.0,0.00017
4420.0,0.0002
4430.0,0.00023
4440.0,0.00027
4450.0,0.0003
4460.0,0.00033
4470.0,0.00037
4480.0,0.0004
4490.0,0.00043
4500.0,0.00047
4510.0,0.00046
4520.0,0.00045
4530.0,0.00044
4540.0,0.00042
4550.0,0.00041
4560.0,0.0004
4570.0,0.00039
4580.0,0.00038
4590.0,0.00037
4600.0,0.00038
4610.0,0.00039
4620.0,0.0004
4630.0,0.00041
4640.0,0.00042
4650.0,0.00043
4660.0,0.00044
4670.0,0.00045
4680.0,0.00046
4690.0,0.00047
4700.0,0.00048
4710.0,0.00045
4720.0,0.00042
4730.0,0.0004
4740.0,0.00037
4750.0,0.00034
4760.0,0.00032
4770.0,0.00029
4780.0,0.00026
4790.0,0.00023
4800.0,0.00021
4810.0,0.0002
4820.0,0.00019
4830.0,0.00018
4840.0,0.00017
4850.0,0.00016
4860.0,0.00015
4870.0,0.00014
4880.0,0.00013
4890.0,0.00012
4900.0,0.00011
4910.0,0.00014
4920.0,0.00017
4930.0,0.0002
4940.0,0.00023
4950.0,0.00026
4960.0,0.00029
4970.0,0.00032
4980.0,0.00035
4990.0,0.00038
5000.0,0.00041
5010.0,0.00044
5020.0,0.00047
5030.0,0.0005
5040.0,0.00053
5050.0,0.00056
5060.0,0.00059
5070.0,0.00062
5080.0,0.00065
5090.0,0.00068
5100.0,0.00071
5110.0,0.00069
5120.0,0.00068
5130.0,0.00066
5140.0,0.00064
5150.0,0.00062
5160.0,0.0006
5170.0,0.00058
5180.0,0.00056
5190.0,0.00054
5200.0,0.00052
5210.0,0.00052
5220.0,0.00052
5230.0,0.00051
5240.0,0.00051
5250.0,0.00051
5260.0,0.0005
5270.0,0.0005
5280.0,0.0005
5290.0,0.00049
5300.0,0.00049
5310.0,0.00049
5320.0,0.00049
5330.0,0.00049
5340.0,0.00049
5350.0,0.00049
5360.0,0.00049
5370.0,0.00049
5380.0,0.00049
5390.0,0.00049
5400.0,0.00049
5410.0,0.00049
5420.0,0.00054
5430.0,0.00058
5440.0,0.00063
5450.0,0.00068
5460.0,0.00073
5470.0,0.00077
5480.0,0.00082
5490.0,0.00087
5500.0,0.00092
5510.0,0.0009
5520.0,0.00088
5530.0,0.00086
5540.0,0.00084
5550.0,0.00082
5560.0,0.0008
5570.0,0.00079
5580.0,0.00077
