wave,trans
3480.0,0.0
3490.0,0.0
3500.0,0.0001
3510.0,0.0
3520.0,0.0
3530.0,0.0001
3540.0,0.0
3550.0,0.0
3560.0,0.0
3570.0,0.0
3580.0,0.0
3590.0,0.0
3600.0,0.0001
3610.0,0.0001
3620.0,0.0001
3630.0,0.0002
3640.0,0.0001
3650.0,0.0001
3660.0,0.0001
3670.0,0.0001
3680.0,0.0001
3690.0,0.0001
3700.0,0.0001
3710.0,0.0001
3720.0,0.0001
3730.0,0.0001
3740.0,0.0001
3750.0,0.0
3760.0,0.0
3770.0,0.0
3780.0,0.0
3790.0,0.0001
3800.0,0.0001
3810.0,0.0001
3820.0,0.0001
3830.0,0.0001
3840.0,0.0001
3850.0,0.0001
3860.0,0.0001
3870.0,0.0001
3880.0,0.0001
3890.0,0.0001
3900.0,0.0001
3910.0,0.0003
3920.0,0.0005
3930.0,0.0011
3940.0,0.0027
3950.0,0.0064
3960.0,0.0139
3970.0,0.0287
3980.0,0.0557
3990.0,0.0985
4000.0,0.1505
4010.0,0.1949
4020.0,0.2213
4030.0,0.2326
4040.0,0.2378
4050.0,0.2419
4060.0,0.2463
4070.0,0.2505
4080.0,0.2551
4090.0,0.2595
4100.0,0.2639
4110.0,0.2677
4120.0,0.2714
4130.0,0.274
4140.0,0.2776
4150.0,0.2818
4160.0,0.2858
4170.0,0.2895
4180.0,0.2936
4190.0,0.2976
4200.0,0.3008
4210.0,0.3031
4220.0,0.3061
4230.0,0.31
4240.0,0.3131
4250.0,0.3166
4260.0,0.3186
4270.0,0.321
4280.0,0.3228
4290.0,0.3255
4300.0,0.3294
4310.0,0.3329
4320.0,0.3368
4330.0,0.3398
4340.0,0.3426
4350.0,0.3458
4360.0,0.3489
4370.0,0.3515
4380.0,0.3543
4390.0,0.3569
4400.0,0.3601
4410.0,0.363
4420.0,0.3653
4430.0,0.3679
4440.0,0.3703
4450.0,0.3726
4460.0,0.3753
4470.0,0.3778
4480.0,0.3802
4490.0,0.3829
4500.0,0.3853
4510.0,0.3872
4520.0,0.3892
4530.0,0.3917
4540.0,0.3944
4550.0,0.3962
4560.0,0.399
4570.0,0.4018
4580.0,0.4039
4590.0,0.4057
4600.0,0.4081
4610.0,0.4094
4620.0,0.4111
4630.0,0.4127
4640.0,0.4135
4650.0,0.4149
4660.0,0.417
4670.0,0.4189
4680.0,0.4203
4690.0,0.4221
4700.0,0.4239
4710.0,0.4256
4720.0,0.4265
4730.0,0.4274
4740.0,0.4275
4750.0,0.4276
4760.0,0.429
4770.0,0.4305
4780.0,0.4327
4790.0,0.4348
4800.0,0.4361
4810.0,0.4374
4820.0,0.4392
4830.0,0.4405
4840.0,0.442
4850.0,0.4438
4860.0,0.445
4870.0,0.4467
4880.0,0.4492
4890.0,0.4499
4900.0,0.4512
4910.0,0.4522
4920.0,0.4527
4930.0,0.454
4940.0,0.4548
4950.0,0.4565
4960.0,0.4583
4970.0,0.4604
4980.0,0.4622
4990.0,0.4649
5000.0,0.4672
5010.0,0.468
5020.0,0.4679
5030.0,0.4675
5040.0,0.4673
5050.0,0.468
5060.0,0.4693
5070.0,0.4711
5080.0,0.4736
5090.0,0.4753
5100.0,0.4766
5110.0,0.4784
5120.0,0.4792
5130.0,0.4799
5140.0,0.4808
5150.0,0.4812
5160.0,0.4823
5170.0,0.4834
5180.0,0.4847
5190.0,0.4862
5200.0,0.4879
5210.0,0.4894
5220.0,0.4903
5230.0,0.4905
5240.0,0.4911
5250.0,0.4909
5260.0,0.4916
5270.0,0.4933
5280.0,0.4946
5290.0,0.4955
5300.0,0.4958
5310.0,0.4964
5320.0,0.4969
5330.0,0.4983
5340.0,0.5006
5350.0,0.5034
5360.0,0.5049
5370.0,0.5063
5380.0,0.5072
5390.0,0.5073
5400.0,0.506
5410.0,0.4997
5420.0,0.4832
5430.0,0.4509
5440.0,0.3978
5450.0,0.3278
5460.0,0.2501
5470.0,0.1775
5480.0,0.1195
5490.0,0.0772
5500.0,0.048
5510.0,0.0287
5520.0,0.0162
5530.0,0.0089
5540.0,0.0049
5550.0,0.0028
5560.0,0.0017
5570.0,0.0012
5580.0,0.0008
5590.0,0.0007
5600.0,0.0005
5610.0,0.0004
5620.0,0.0003
5630.0,0.0003
5640.0,0.0002
5650.0,0.0002
5660.0,0.0002
5670.0,0.0002
5680.0,0.0002
5690.0,0.0002
5700.0,0.0002
5710.0,0.0002
5720.0,0.0001
5730.0,0.0001
5740.0,0.0001
5750.0,0.0001
5760.0,0.0001
5770.0,0.0001
5780.0,0.0001
5790.0,0.0002
5800.0,0.0002
5810.0,0.0001
5820.0,0.0001
5830.0,0.0001
5840.0,0.0002
5850.0,0.0002
5860.0,0.0001
5870.0,0.0001
5880.0,0.0001
5890.0,0.0001
5900.0,0.0001
5910.0,0.0001
5920.0,0.0002
5930.0,0.0001
5940.0,0.0001
5950.0,0.0002
5960.0,0.0002
5970.0,0.0002
5980.0,0.0001
5990.0,0.0002
6000.0,0.0002
6010.0,0.0
6020.0,0.0
