wave,trans
7930.0,0.0
7940.0,0.0
7950.0,0.0001
7960.0,0.0001
7970.0,0.0002
7980.0,0.0003
7990.0,0.0004
8000.0,0.0006
8010.0,0.0009
8020.0,0.0011
8030.0,0.0014
8040.0,0.0019
8050.0,0.0028
8060.0,0.0045
8070.0,0.0085
8080.0,0.018
8090.0,0.0388
8100.0,0.0775
8110.0,0.1365
8120.0,0.2114
8130.0,0.2951
8140.0,0.37
8150.0,0.4216
8160.0,0.4354
8170.0,0.4398
8180.0,0.4381
8190.0,0.4392
8200.0,0.4185
8210.0,0.3936
8220.0,0.3384
8230.0,0.2505
8240.0,0.177
8250.0,0.0951
8260.0,0.0422
8270.0,0.0186
8280.0,0.0092
8290.0,0.0054
8300.0,0.0034
8310.0,0.0023
8320.0,0.0016
8330.0,0.0012
8340.0,0.001
8350.0,0.0007
8360.0,0.0005
8370.0,0.0003
8380.0,0.0001
8390.0,0.0001
8400.0,0.0001
8410.0,0.0
8420.0,0.0
8430.0,0.0
