wave,trans
4980.0,0.0
4990.0,0.0
5000.0,0.0002
5010.0,0.0002
5020.0,0.0002
5030.0,0.0001
5040.0,0.0
5050.0,0.0
5060.0,0.0
5070.0,0.0001
5080.0,0.0002
5090.0,0.0001
5100.0,0.0001
5110.0,0.0001
5120.0,0.0002
5130.0,0.0002
5140.0,0.0002
5150.0,0.0001
5160.0,0.0
5170.0,0.0
5180.0,0.0
5190.0,0.0
5200.0,0.0
5210.0,0.0
5220.0,0.0
5230.0,0.0
5240.0,0.0001
5250.0,0.0001
5260.0,0.0001
5270.0,0.0001
5280.0,0.0002
5290.0,0.0003
5300.0,0.0003
5310.0,0.0004
5320.0,0.0006
5330.0,0.0009
5340.0,0.0012
5350.0,0.0018
5360.0,0.0027
5370.0,0.0046
5380.0,0.0072
5390.0,0.0127
5400.0,0.0196
5410.0,0.0324
5420.0,0.0479
5430.0,0.0737
5440.0,0.103
5450.0,0.1435
5460.0,0.1866
5470.0,0.2337
5480.0,0.2801
5490.0,0.3184
5500.0,0.3533
5510.0,0.3751
5520.0,0.3935
5530.0,0.4036
5540.0,0.4123
5550.0,0.4195
5560.0,0.4268
5570.0,0.4357
5580.0,0.4451
5590.0,0.4552
5600.0,0.4651
5610.0,0.473
5620.0,0.4802
5630.0,0.4847
5640.0,0.4885
5650.0,0.4912
5660.0,0.4938
5670.0,0.4957
5680.0,0.4972
5690.0,0.498
5700.0,0.499
5710.0,0.4993
5720.0,0.4992
5730.0,0.4988
5740.0,0.4983
5750.0,0.4968
5760.0,0.4954
5770.0,0.4936
5780.0,0.4922
5790.0,0.4919
5800.0,0.4924
5810.0,0.4943
5820.0,0.4964
5830.0,0.4993
5840.0,0.5022
5850.0,0.5051
5860.0,0.5076
5870.0,0.5087
5880.0,0.5085
5890.0,0.5051
5900.0,0.5022
5910.0,0.4983
5920.0,0.4928
5930.0,0.4887
5940.0,0.4844
5950.0,0.4823
5960.0,0.482
5970.0,0.4839
5980.0,0.4869
5990.0,0.4914
6000.0,0.4962
6010.0,0.5007
6020.0,0.5047
6030.0,0.5073
6040.0,0.5094
6050.0,0.5099
6060.0,0.51
6070.0,0.5094
6080.0,0.5087
6090.0,0.5079
6100.0,0.5074
6110.0,0.5082
6120.0,0.5094
6130.0,0.5116
6140.0,0.514
6150.0,0.5161
6160.0,0.5179
6170.0,0.5186
6180.0,0.5191
6190.0,0.5189
6200.0,0.5187
6210.0,0.5188
6220.0,0.519
6230.0,0.5197
6240.0,0.5205
6250.0,0.5213
6260.0,0.5219
6270.0,0.5218
6280.0,0.5091
6290.0,0.5172
6300.0,0.5162
6310.0,0.5199
6320.0,0.5215
6330.0,0.5221
6340.0,0.5219
6350.0,0.5206
6360.0,0.5189
6370.0,0.5164
6380.0,0.5138
6390.0,0.5108
6400.0,0.508
6410.0,0.5061
6420.0,0.5047
6430.0,0.5053
6440.0,0.5066
6450.0,0.5088
6460.0,0.5109
6470.0,0.5122
6480.0,0.513
6490.0,0.5133
6500.0,0.5138
6510.0,0.5112
6520.0,0.5065
6530.0,0.5027
6540.0,0.4977
6550.0,0.492
6560.0,0.4882
6570.0,0.4859
6580.0,0.4846
6590.0,0.4858
6600.0,0.4876
6610.0,0.4912
6620.0,0.4951
6630.0,0.4991
6640.0,0.5029
6650.0,0.5047
6660.0,0.5059
6670.0,0.5055
6680.0,0.5047
6690.0,0.5042
6700.0,0.5037
6710.0,0.5041
6720.0,0.5048
6730.0,0.5068
6740.0,0.5089
6750.0,0.5109
6760.0,0.5126
6770.0,0.5126
6780.0,0.5122
6790.0,0.5102
6800.0,0.5079
6810.0,0.505
6820.0,0.5022
6830.0,0.5005
6840.0,0.4991
6850.0,0.4984
6860.0,0.4975
6870.0,0.4123
6880.0,0.4391
6890.0,0.4386
6900.0,0.4412
6910.0,0.4417
6920.0,0.4363
6930.0,0.4165
6940.0,0.3904
6950.0,0.3555
6960.0,0.3152
6970.0,0.2724
6980.0,0.2269
6990.0,0.1825
7000.0,0.1406
7010.0,0.1064
7020.0,0.0751
7030.0,0.0534
7040.0,0.0346
7050.0,0.0234
7060.0,0.0142
7070.0,0.0092
7080.0,0.0053
7090.0,0.0034
7100.0,0.0019
7110.0,0.0013
7120.0,0.0009
7130.0,0.0007
7140.0,0.0005
7150.0,0.0003
7160.0,0.0002
7170.0,0.0001
7180.0,0.0
7190.0,0.0001
7200.0,0.0001
7210.0,0.0001
7220.0,0.0001
7230.0,0.0001
7240.0,0.0001
7250.0,0.0001
7260.0,0.0002
7270.0,0.0002
7280.0,0.0002
7290.0,0.0003
7300.0,0.0003
7310.0,0.0005
7320.0,0.0006
7330.0,0.0007
7340.0,0.0008
7350.0,0.0008
7360.0,0.0007
7370.0,0.0007
7380.0,0.0008
7390.0,0.0009
7400.0,0.001
7410.0,0.001
7420.0,0.0009
7430.0,0.0008
7440.0,0.0007
7450.0,0.0006
7460.0,0.0006
7470.0,0.0007
7480.0,0.0009
7490.0,0.001
7500.0,0.0011
7510.0,0.0
7520.0,0.0
