wave,trans
8140.0,0.0
8150.0,0.0
8160.0,0.0038
8170.0,0.0039
8180.0,0.0038
8190.0,0.0033
8200.0,0.0027
8210.0,0.0021
8220.0,0.0014
8230.0,0.0007
8240.0,0.0
8250.0,0.0
8260.0,0.0
8270.0,0.0
8280.0,0.0
8290.0,0.0001
8300.0,0.0006
8310.0,0.0011
8320.0,0.0015
8330.0,0.0019
8340.0,0.0024
8350.0,0.0035
8360.0,0.0047
8370.0,0.0061
8380.0,0.008
8390.0,0.0132
8400.0,0.019
8410.0,0.0252
8420.0,0.0319
8430.0,0.0402
8440.0,0.0495
8450.0,0.0631
8460.0,0.0779
8470.0,0.0963
8480.0,0.1157
8490.0,0.1395
8500.0,0.1645
8510.0,0.1924
8520.0,0.2212
8530.0,0.2509
8540.0,0.2805
8550.0,0.3088
8560.0,0.3362
8570.0,0.361
8580.0,0.3846
8590.0,0.4034
8600.0,0.4209
8610.0,0.4346
8620.0,0.4472
8630.0,0.4558
8640.0,0.4633
8650.0,0.4676
8660.0,0.4713
8670.0,0.4742
8680.0,0.4768
8690.0,0.4779
8700.0,0.4787
8710.0,0.479
8720.0,0.4792
8730.0,0.4798
8740.0,0.4803
8750.0,0.4805
8760.0,0.4806
8770.0,0.481
8780.0,0.4814
8790.0,0.4815
8800.0,0.4813
8810.0,0.4806
8820.0,0.4798
8830.0,0.4793
8840.0,0.4787
8850.0,0.4785
8860.0,0.4778
8870.0,0.4776
8880.0,0.4768
8890.0,0.4766
8900.0,0.4754
8910.0,0.4748
8920.0,0.4733
8930.0,0.4708
8940.0,0.469
8950.0,0.4664
8960.0,0.4595
8970.0,0.4499
8980.0,0.4536
8990.0,0.4292
9000.0,0.453
9010.0,0.4459
9020.0,0.4498
9030.0,0.4447
9040.0,0.4632
9050.0,0.4598
9060.0,0.4546
9070.0,0.4406
9080.0,0.4415
9090.0,0.4433
9100.0,0.439
9110.0,0.4452
9120.0,0.4415
9130.0,0.4381
9140.0,0.433
9150.0,0.4426
9160.0,0.4247
9170.0,0.4392
9180.0,0.4204
9190.0,0.4285
9200.0,0.4226
9210.0,0.4188
9220.0,0.4038
9230.0,0.3949
9240.0,0.3784
9250.0,0.3589
9260.0,0.3427
9270.0,0.3234
9280.0,0.2899
9290.0,0.2645
9300.0,0.2292
9310.0,0.1976
9320.0,0.1615
9330.0,0.1381
9340.0,0.1097
9350.0,0.0938
9360.0,0.0718
9370.0,0.0628
9380.0,0.0518
9390.0,0.0465
9400.0,0.0376
9410.0,0.0284
9420.0,0.0216
9430.0,0.0148
9440.0,0.0112
9450.0,0.0097
9460.0,0.0064
9470.0,0.006
9480.0,0.0044
9490.0,0.004
9500.0,0.0025
9510.0,0.0026
9520.0,0.0018
9530.0,0.0015
9540.0,0.0012
9550.0,0.0007
9560.0,0.0004
9570.0,0.0003
9580.0,0.0002
9590.0,0.0
9600.0,0.0
