wave,trans
3000.0,2.17487e-36
3000.38,1.90525e-13
3000.75,3.81142e-13
3001.13,5.72097e-13
3001.5,7.63513e-13
3001.88,9.55144e-13
3002.26,1.14724e-12
3002.63,1.33956e-12
3003.01,1.53233e-12
3003.39,1.72556e-12
3003.76,1.91901e-12
3004.14,2.11279e-12
3004.51,2.30705e-12
3004.89,2.50165e-12
3005.27,2.69658e-12
3005.64,2.89199e-12
3006.02,3.0876e-12
3006.4,3.28368e-12
3006.77,3.4801e-12
3007.15,3.67686e-12
3007.53,3.87395e-12
3007.9,4.07152e-12
3008.28,4.26943e-12
3008.66,4.46757e-12
3009.04,4.66629e-12
3009.41,4.86523e-12
3009.79,5.0645e-12
3010.17,5.26766e-12
3010.54,5.47592e-12
3010.92,5.6851e-12
3011.3,5.89519e-12
3011.68,6.10634e-12
3012.05,6.31828e-12
3012.43,6.53128e-12
3012.81,6.7452e-12
3013.18,6.96003e-12
3013.56,7.17592e-12
3013.94,7.39259e-12
3014.32,7.61032e-12
3014.7,7.82898e-12
3015.07,8.04856e-12
3015.45,8.2692e-12
3015.83,8.49063e-12
3016.21,8.71311e-12
3016.58,8.93651e-12
3016.96,9.16084e-12
3017.34,9.38625e-12
3017.72,9.61244e-12
3018.1,9.8397e-12
3018.47,1.00679e-11
3018.85,1.0297e-11
3019.23,1.0527e-11
3019.61,1.07581e-11
3019.99,1.099e-11
3020.37,1.12189e-11
3020.74,1.14483e-11
3021.12,1.16787e-11
3021.5,1.19098e-11
3021.88,1.21417e-11
3022.26,1.23744e-11
3022.64,1.26079e-11
3023.02,1.28422e-11
3023.4,1.30774e-11
3023.77,1.33132e-11
3024.15,1.355e-11
3024.53,1.37875e-11
3024.91,1.40258e-11
3025.29,1.42649e-11
3025.67,1.45047e-11
3026.05,1.47454e-11
3026.43,1.4987e-11
3026.81,1.52293e-11
3027.19,1.54726e-11
3027.56,1.57165e-11
3027.94,1.59613e-11
3028.32,1.62068e-11
3028.7,1.64531e-11
3029.08,1.67003e-11
3029.46,1.69482e-11
3029.84,1.71971e-11
