wave,trans
2999.0,0.0
2999.38,4.64963e-37
2999.75,9.3121e-37
3000.13,3.68326e-14
3000.5,1.47455e-13
3000.88,2.60773e-13
3001.26,3.76644e-13
3001.63,4.95226e-13
3002.01,6.16452e-13
3002.38,7.4033e-13
3002.76,8.66866e-13
3003.14,9.96146e-13
3003.51,1.12801e-12
3003.89,1.26263e-12
3004.27,1.39995e-12
3004.64,1.53996e-12
3005.02,1.68276e-12
3005.4,1.82817e-12
3005.77,1.9764e-12
3006.15,2.12734e-12
3006.53,2.28112e-12
3006.9,2.43752e-12
3007.28,2.59678e-12
3007.66,2.75867e-12
3008.03,2.92344e-12
3008.41,3.09097e-12
3008.79,3.26139e-12
3009.16,3.43447e-12
3009.54,3.61045e-12
3009.92,3.78922e-12
3010.3,3.97538e-12
3010.67,4.16621e-12
3011.05,4.36028e-12
3011.43,4.55785e-12
3011.81,4.75882e-12
3012.18,4.96321e-12
3012.56,5.17103e-12
3012.94,5.38245e-12
3013.32,5.59719e-12
3013.69,5.81555e-12
3014.07,6.03743e-12
3014.45,6.26298e-12
3014.83,6.49193e-12
3015.2,6.72459e-12
3015.58,6.96084e-12
3015.96,7.20069e-12
3016.34,7.44415e-12
3016.72,7.69125e-12
3017.09,7.94217e-12
3017.47,8.19678e-12
3017.85,8.45509e-12
3018.23,8.7171e-12
3018.61,8.98301e-12
3018.99,9.25251e-12
3019.36,9.52595e-12
3019.74,9.80318e-12
3020.12,1.0083e-11
3020.5,1.03641e-11
3020.88,1.06487e-11
3021.26,1.09371e-11
3021.64,1.12292e-11
3022.01,1.15249e-11
3022.39,1.18244e-11
3022.77,1.21278e-11
3023.15,1.2435e-11
3023.53,1.27459e-11
3023.91,1.30606e-11
3024.29,1.33791e-11
3024.67,1.37016e-11
3025.04,1.40277e-11
3025.42,1.43577e-11
3025.8,1.46916e-11
3026.18,1.50297e-11
3026.56,1.53715e-11
3026.94,1.57174e-11
3027.32,1.60673e-11
3027.7,1.6421e-11
3028.08,1.67787e-11
3028.46,1.71405e-11
3028.84,1.7506e-11
3029.22,1.78758e-11
3029.6,1.82497e-11
3029.98,1.86276e-11
3030.36,1.90156e-11
3030.74,1.9408e-11
3031.12,1.98049e-11
3031.5,2.02063e-11
3031.88,2.06122e-11
3032.26,2.10223e-11
3032.64,2.1437e-11
3033.02,2.18559e-11
3033.4,2.22793e-11
3033.78,2.27075e-11
3034.16,2.31399e-11
3034.54,2.3577e-11
3034.92,2.40183e-11
3035.3,2.44645e-11
3035.68,2.49152e-11
3036.06,2.53708e-11
3036.44,2.58306e-11
3036.82,2.62952e-11
3037.2,2.67645e-11
3037.58,2.72384e-11
3037.96,2.77172e-11
3038.34,2.82006e-11
3038.72,2.8689e-11
3039.1,2.9182e-11
3039.49,2.96796e-11
3039.87,3.01819e-11
3040.25,3.06696e-11
3040.63,3.11507e-11
3041.01,3.16355e-11
3041.39,3.21247e-11
3041.77,3.26176e-11
3042.15,3.31143e-11
3042.53,3.36153e-11
3042.92,3.41202e-11
3043.3,3.46291e-11
3043.68,3.51421e-11
3044.06,3.56593e-11
3044.44,3.61802e-11
3044.82,3.67055e-11
3045.2,3.72347e-11
3045.59,3.77682e-11
3045.97,3.83054e-11
3046.35,3.88471e-11
3046.73,3.93928e-11
3047.11,3.99426e-11
3047.5,4.04964e-11
3047.88,4.10542e-11
3048.26,4.16166e-11
3048.64,4.21831e-11
3049.02,4.27538e-11
3049.41,4.33284e-11
3049.79,4.39072e-11
3050.17,4.45176e-11
3050.55,4.51672e-11
3050.93,4.58225e-11
3051.32,4.64835e-11
