wave,trans
3000.0,2.17487e-36
3000.38,1.8986e-13
3000.75,3.79593e-13
3001.12,5.69569e-13
3001.5,7.59786e-13
3001.87,9.5037e-13
3002.25,1.14108e-12
3002.62,1.33215e-12
3003.0,1.52347e-12
3003.37,1.71514e-12
3003.75,1.90692e-12
3004.12,2.09908e-12
3004.5,2.29148e-12
3004.87,2.48413e-12
3005.25,2.67702e-12
3005.62,2.87027e-12
3006.0,3.06364e-12
3006.37,3.25737e-12
3006.75,3.45134e-12
3007.12,3.64555e-12
3007.5,3.84013e-12
3007.87,4.03482e-12
3008.25,4.22988e-12
3008.62,4.42519e-12
3009.0,4.62074e-12
3009.38,4.81665e-12
3009.75,5.01266e-12
3010.13,5.21164e-12
3010.5,5.41629e-12
3010.88,5.62174e-12
3011.25,5.82813e-12
3011.63,6.03519e-12
3012.01,6.24318e-12
3012.38,6.45199e-12
3012.76,6.66159e-12
3013.13,6.872e-12
3013.51,7.08333e-12
3013.89,7.29533e-12
3014.26,7.50826e-12
3014.64,7.722e-12
3015.02,7.93667e-12
3015.39,8.15201e-12
3015.77,8.36829e-12
3016.14,8.58522e-12
3016.52,8.80307e-12
3016.9,9.02187e-12
3017.27,9.24133e-12
3017.65,9.46174e-12
3018.03,9.68295e-12
3018.4,9.90494e-12
3018.78,1.01277e-11
3019.16,1.03513e-11
3019.53,1.05758e-11
3019.91,1.0801e-11
3020.29,1.10239e-11
3020.67,1.12467e-11
3021.04,1.147e-11
3021.42,1.16939e-11
3021.8,1.19185e-11
3022.17,1.21439e-11
3022.55,1.23698e-11
3022.93,1.25966e-11
3023.31,1.28238e-11
3023.68,1.30519e-11
3024.06,1.32806e-11
3024.44,1.35099e-11
3024.82,1.37398e-11
3025.19,1.39704e-11
3025.57,1.42017e-11
3025.95,1.44336e-11
3026.33,1.46663e-11
3026.7,1.48997e-11
3027.08,1.51338e-11
3027.46,1.53684e-11
3027.84,1.56038e-11
3028.22,1.58397e-11
3028.59,1.60763e-11
3028.97,1.63136e-11
3029.35,1.65516e-11
3029.73,1.67903e-11
3030.11,1.70311e-11
3030.48,1.72767e-11
3030.86,1.75231e-11
3031.24,1.77703e-11
3031.62,1.80183e-11
3032.0,1.82672e-11
3032.38,1.85168e-11
3032.75,1.87672e-11
3033.13,1.90185e-11
3033.51,1.92705e-11
3033.89,1.95232e-11
3034.27,1.97769e-11
3034.65,2.00312e-11
3035.03,2.02862e-11
3035.4,2.05423e-11
3035.78,2.07991e-11
3036.16,2.10566e-11
3036.54,2.13149e-11
3036.92,2.15741e-11
3037.3,2.18339e-11
3037.68,2.20946e-11
3038.06,2.23561e-11
3038.44,2.26186e-11
