wave,trans
5505.5,2.116700732e-09
5515.5,1.895874049e-09
5525.5,3.874053133e-09
5535.5,4.624480124e-09
5545.5,2.12040273e-09
5555.5,4.878712285e-09
5565.5,5.109672719e-09
5575.5,7.264467978e-09
5585.5,4.288539062e-09
5595.5,3.057483278e-09
5605.5,1.378441429e-09
5615.5,7.869687263e-09
5625.5,9.068107722e-09
5635.5,7.160850699e-09
5645.5,7.329432812e-09
5655.5,3.647212242e-09
5665.5,5.304501505e-09
5675.5,6.009941357e-09
5685.5,6.653289872e-09
5695.5,5.909426655e-09
5705.5,2.499347929e-09
5715.5,5.062782687e-09
5725.5,6.905384118e-09
5735.5,1.298888166e-08
5745.5,8.007910048e-09
5755.5,5.234758589e-09
5765.5,7.619563223e-09
5775.5,2.591704971e-09
5785.5,5.598209169e-09
5795.5,6.662210002e-09
5805.5,1.658507678e-08
5815.5,6.985089508e-09
5825.5,2.049554985e-08
5835.5,1.729528409e-08
5845.5,1.475400622e-08
5855.5,1.089192061e-08
5865.5,2.853541394e-08
5875.5,2.298967108e-08
5885.5,1.881137e-08
5895.5,5.250177576e-09
5905.5,5.727415055e-09
5915.5,2.846960354e-08
5925.5,2.105337682e-08
5935.5,1.627134908e-08
5945.5,2.116289227e-08
5955.5,4.097543029e-08
5965.5,2.369381998e-08
5975.5,5.792715182e-09
5985.5,1.670950998e-08
5995.5,2.313508226e-08
6005.5,4.43144868e-08
6015.5,2.855757814e-08
6025.5,3.646719758e-08
6035.5,3.316633259e-08
6045.5,2.277368512e-08
6055.5,2.503816712e-08
6065.5,7.61561949e-09
6075.5,3.321484162e-08
6085.5,3.911169334e-08
6095.5,5.165493123e-08
6105.5,3.185204379e-08
6115.5,5.546830578e-08
6125.5,3.202780205e-08
6135.5,5.905473135e-08
6145.5,3.675733708e-08
6155.5,2.617136553e-08
6165.5,2.361253006e-08
6175.5,2.773202139e-08
6185.5,2.180732495e-08
6195.5,5.921303542e-08
6205.5,3.888838812e-08
6215.5,5.350625913e-08
6225.5,2.97499362e-08
6235.5,2.710765647e-08
6245.5,5.189646151e-08
6255.5,5.988357706e-08
6265.5,3.420811514e-08
6275.5,2.354907212e-08
6285.5,4.564981576e-08
