wave,trans
5504.0,1.701854383e-09
5514.0,6.814354252e-10
5524.0,1.693533962e-09
5534.0,1.552827197e-11
5544.0,1.439697122e-09
5554.0,1.610249625e-09
5564.0,3.277778905e-09
5574.0,4.314697797e-09
5584.0,1.126978538e-09
5594.0,4.635636848e-09
5604.0,5.965100585e-09
5614.0,3.603924255e-09
5624.0,2.73506785e-12
5634.0,6.969962537e-09
5644.0,5.04613223e-09
5654.0,7.314778116e-09
5664.0,2.669594308e-09
5674.0,2.011439685e-09
5684.0,3.010965182e-09
5694.0,1.465611341e-09
5704.0,9.329454123e-09
5714.0,1.999485781e-09
5724.0,5.785113627e-10
5734.0,2.876007063e-09
5744.0,1.160519218e-10
5754.0,8.070379636e-10
5764.0,1.053330192e-09
5774.0,1.78504113e-10
5784.0,8.806535283e-09
5794.0,6.675541597e-11
5804.0,3.875043637e-09
5814.0,1.690896043e-10
5824.0,5.16892489e-09
5834.0,9.215356068e-12
5844.0,5.038435781e-09
5854.0,9.93482686e-10
5864.0,1.014787515e-08
5874.0,1.904741398e-10
5884.0,1.449681476e-11
5894.0,1.518162111e-11
5904.0,1.579411199e-11
5914.0,1.639779426e-11
5924.0,1.967157724e-10
5934.0,2.164866125e-08
5944.0,1.79481682e-11
5954.0,6.206460617e-09
5964.0,5.293439541e-09
5974.0,9.91983641e-10
5984.0,5.022973908e-09
5994.0,1.288555582e-09
6004.0,3.514356069e-09
6014.0,1.971831758e-11
6024.0,6.478198328e-09
6034.0,5.434851538e-09
6044.0,2.021031683e-11
6054.0,2.03481903e-11
6064.0,2.046025318e-11
6074.0,2.059006063e-11
6084.0,2.070391196e-11
6094.0,2.079228982e-11
6104.0,6.506557054e-10
6114.0,1.370944984e-09
6124.0,1.441889985e-09
6134.0,2.920759657e-09
6144.0,2.119461961e-11
6154.0,2.123090032e-11
6164.0,2.130916912e-11
6174.0,1.936687683e-09
6184.0,2.151941717e-11
6194.0,2.704314741e-09
6204.0,8.617290427e-09
6214.0,2.175661017e-11
6224.0,2.179163176e-11
6234.0,2.184207969e-11
6244.0,2.19463538e-11
6254.0,2.205765129e-11
6264.0,2.214805604e-11
6274.0,2.222816671e-11
6284.0,2.229069541e-11
6294.0,2.234460126e-11
6304.0,2.242715161e-11
6314.0,2.250064213e-11
6324.0,5.497786604e-11
6334.0,2.262459901e-11
6344.0,2.268295156e-11
6354.0,2.273446946e-11
6364.0,2.279274243e-11
6374.0,2.283071347e-11
6384.0,7.569997552e-10
6394.0,2.293939296e-11
6404.0,2.298635395e-11
6414.0,2.341587937e-10
6424.0,2.310737777e-11
6434.0,2.883811596e-09
6444.0,2.317761175e-11
6454.0,2.321425919e-11
6464.0,6.144578476e-10
6474.0,2.328867532e-11
6484.0,2.33098303e-11
6494.0,2.333506705e-11
6504.0,2.338072036e-11
6514.0,2.338717227e-11
6524.0,2.339073502e-11
6534.0,6.16521445e-09
6544.0,2.344066877e-11
6554.0,3.292457731e-09
6564.0,2.350058797e-11
6574.0,2.351236674e-11
6584.0,2.352012196e-11
6594.0,9.306452622e-09
6604.0,6.14308622e-09
6614.0,1.125687386e-08
6624.0,8.679144887e-09
6634.0,2.361262427e-11
6644.0,4.348877007e-09
6654.0,1.004080257e-08
6664.0,2.36612611e-11
6674.0,2.365101734e-11
6684.0,2.367382834e-11
6694.0,1.368273218e-08
6704.0,2.370633793e-11
6714.0,2.799410835e-09
6724.0,1.758929702e-09
6734.0,3.841303049e-09
6744.0,6.235460662e-09
6754.0,8.077840266e-09
6764.0,2.642777257e-09
6774.0,2.376275194e-11
6784.0,2.374704476e-11
6794.0,2.5036319e-09
6804.0,2.380118082e-11
6814.0,2.382091112e-11
6824.0,4.565741737e-09
6834.0,5.008989017e-09
6844.0,1.253410332e-08
6854.0,1.031440547e-08
6864.0,7.289259209e-09
6874.0,7.760336086e-09
6884.0,3.664750669e-09
6894.0,7.400779431e-09
6904.0,2.427392055e-08
6914.0,1.003388175e-09
6924.0,1.117791812e-09
6934.0,2.298446928e-08
6944.0,4.170225593e-08
6954.0,2.049247692e-10
6964.0,1.703017846e-08
6974.0,1.596121238e-09
6984.0,1.044959773e-08
6994.0,1.086082354e-08
7004.0,5.108358832e-09
7014.0,3.60127347e-09
7024.0,1.351402778e-08
7034.0,1.7675317e-08
7044.0,5.283210317e-09
7054.0,7.953605812e-09
7064.0,2.452664971e-11
7074.0,9.836802917e-09
7084.0,1.114114211e-09
7094.0,4.209655275e-08
7104.0,1.034617122e-08
7114.0,5.940511237e-09
7124.0,6.499837128e-09
7134.0,7.261988794e-09
7144.0,3.922660312e-08
7154.0,1.086213493e-08
7164.0,1.104154035e-09
7174.0,9.871366576e-09
7184.0,1.800556253e-08
7194.0,2.250190236e-08
7204.0,5.273756057e-09
7214.0,3.57958425e-08
7224.0,1.708589926e-08
7234.0,6.571202569e-09
7244.0,8.738809227e-08
7254.0,2.717503131e-08
7264.0,3.286139992e-08
7274.0,1.047121519e-08
7284.0,1.552146036e-08
7294.0,3.151984303e-08
7304.0,6.632299591e-08
7314.0,2.532657246e-08
7324.0,1.1306755e-08
7334.0,4.709197777e-08
7344.0,2.621519244e-11
7354.0,1.927088889e-08
7364.0,6.061457242e-08
7374.0,6.489871952e-08
7384.0,1.499955355e-08
7394.0,5.562442204e-08
7404.0,4.955463048e-09
7414.0,5.409456904e-08
7424.0,2.682364436e-11
7434.0,2.285542984e-08
7444.0,3.996728985e-08
7454.0,1.302065286e-08
7464.0,1.226634875e-08
7474.0,6.544644028e-08
7484.0,3.039211535e-08
7494.0,4.036590972e-08
7504.0,1.819143242e-09
7514.0,4.900967915e-09
7524.0,2.255942896e-08
7534.0,4.97123914e-08
7544.0,1.001393374e-08
7554.0,5.553261425e-08
7564.0,1.045460056e-07
7574.0,1.987582085e-08
7584.0,5.914706999e-08
7594.0,3.632023438e-09
7604.0,1.13062365e-07
7614.0,2.619160977e-08
7624.0,3.11660702e-08
7634.0,2.298132068e-09
7644.0,2.781906663e-08
7654.0,7.341174834e-09
7664.0,3.444066162e-08
7674.0,1.984341779e-07
7684.0,5.939738753e-09
7694.0,2.857109464e-11
7704.0,2.127007141e-08
7714.0,3.460775102e-08
7724.0,5.475931024e-08
7734.0,5.899897774e-08
7744.0,1.330658371e-07
7754.0,1.29051465e-08
7764.0,7.646334139e-08
7774.0,1.321775778e-08
7784.0,4.517309668e-09
7794.0,7.919637323e-08
7804.0,1.950615001e-08
7814.0,3.44442693e-08
7824.0,5.724065486e-08
7834.0,2.912701687e-11
7844.0,7.863114996e-08
7854.0,9.874230993e-09
7864.0,2.920041485e-11
7874.0,6.05028856e-08
7884.0,7.784855635e-10
7894.0,9.951651872e-08
7904.0,1.803316593e-08
7914.0,5.820806281e-08
7924.0,2.278305692e-08
7934.0,5.370474975e-08
7944.0,1.121977384e-07
7954.0,2.554427008e-08
7964.0,6.616956679e-09
7974.0,9.271719803e-08
