wave,trans
6430.0,0.0
6455.0,0.0001
6480.0,0.0003
6505.0,0.0004
6530.0,0.0004
6555.0,0.0003
6580.0,0.0003
6605.0,0.0004
6630.0,0.0009
6655.0,0.0019
6680.0,0.0034
6705.0,0.0056
6730.0,0.0103
6755.0,0.0194
6780.0,0.0344
6805.0,0.0561
6830.0,0.0839
6855.0,0.1164
6880.0,0.1528
6905.0,0.1948
6930.0,0.2408
6955.0,0.2857
6980.0,0.3233
7005.0,0.3503
7030.0,0.3759
7055.0,0.399
7080.0,0.4162
7105.0,0.4233
7130.0,0.4165
7155.0,0.3943
7180.0,0.376
7205.0,0.3823
7230.0,0.3918
7255.0,0.3892
7280.0,0.3828
7305.0,0.382
7330.0,0.3884
7355.0,0.3872
7380.0,0.3821
7405.0,0.3787
7430.0,0.3759
7455.0,0.3727
7480.0,0.3681
7505.0,0.3618
7530.0,0.3565
7555.0,0.3554
7580.0,0.3478
7605.0,0.1473
7630.0,0.2096
7655.0,0.2648
7680.0,0.33
7705.0,0.3256
7730.0,0.3223
7755.0,0.3179
7780.0,0.3129
7805.0,0.3077
7830.0,0.3026
7855.0,0.298
7880.0,0.2944
7905.0,0.2921
7930.0,0.2916
7955.0,0.2921
7980.0,0.2927
8005.0,0.2923
8030.0,0.2896
8055.0,0.284
8080.0,0.2758
8105.0,0.2642
8130.0,0.2427
8155.0,0.2091
8180.0,0.1689
8205.0,0.1276
8230.0,0.0901
8255.0,0.0603
8280.0,0.0378
8305.0,0.0218
8330.0,0.0117
8355.0,0.0068
8380.0,0.0048
8405.0,0.0033
8430.0,0.002
8455.0,0.0013
8480.0,0.001
8505.0,0.0009
8530.0,0.0009
8555.0,0.0008
8580.0,0.0005
8605.0,0.0002
8630.0,0.0
