wave,trans
10620.0,0.0
10660.0,0.000603028
10700.0,0.00240309
10750.0,0.00406626
10780.0,0.00846767
10820.0,0.0187739
10840.0,0.031074
10870.0,0.0468371
10890.0,0.0617445
10930.0,0.0782215
10960.0,0.0852802
11020.0,0.108149
11050.0,0.318331
11070.0,0.396033
11090.0,0.41549
11120.0,0.439458
11160.0,0.380973
11170.0,0.275662
11200.0,0.274809
11230.0,0.324333
11280.0,0.294287
11290.0,0.286397
11320.0,0.611141
11340.0,0.25305
11380.0,0.606563
11400.0,0.12428
11430.0,0.595248
11470.0,0.29356
11540.0,0.35673
11590.0,0.193347
11640.0,0.67044
11670.0,0.680725
11700.0,0.743153
11730.0,0.797808
11750.0,0.816801
11790.0,0.90552
11820.0,0.859605
11860.0,0.877628
11880.0,0.905694
11920.0,0.901684
11950.0,0.806789
11990.0,0.759169
12020.0,0.747434
12090.0,0.749593
12160.0,0.74052
12210.0,0.771604
12270.0,0.739435
12310.0,0.879802
12360.0,0.958937
12400.0,0.98757
12440.0,1.0
12470.0,0.989243
12530.0,0.946747
12550.0,0.914813
12580.0,0.87165
12600.0,0.818636
12650.0,0.762348
12700.0,0.686459
12750.0,0.657852
12790.0,0.642124
12860.0,0.642228
12920.0,0.645415
12970.0,0.676431
13020.0,0.743448
13050.0,0.764398
13070.0,0.798542
13100.0,0.76256
13130.0,0.705984
13160.0,0.930537
13190.0,0.833483
13230.0,0.81765
13260.0,0.969574
13300.0,0.864869
13330.0,0.824536
13340.0,0.518406
13360.0,0.269352
13390.0,0.870386
13430.0,0.659868
13460.0,0.528494
13490.0,0.23178
13530.0,0.0136832
13550.0,0.000189765
13600.0,0.0379079
13630.0,0.00424464
13700.0,0.00028153
13730.0,0.0348335
13770.0,0.000466832
13830.0,0.0
13880.0,9.26265e-05
13920.0,0.00304789
13950.0,0.000276485
13960.0,0.00782813
13980.0,0.114219
13970.0,0.0222712
14000.0,9.18325e-05
14020.0,0.0477765
14040.0,0.00952337
14060.0,0.0437086
14070.0,0.000365503
14100.0,0.00218835
14120.0,0.00482576
14160.0,0.00780836
14210.0,0.000633328
14260.0,0.000270474
14420.0,0.000356631
14590.0,0.000264357
14940.0,0.0
15000.0,0.0
