wave,trans
3000.0,2.4915882e-07
3002.5,2.45007987e-07
3005.0,2.40857154e-07
3007.5,2.36706321e-07
3010.0,2.32555488e-07
3012.5,2.27818778e-07
3015.0,2.23082068e-07
3017.5,2.18345358e-07
3020.0,2.13608647e-07
3022.5,2.08248812e-07
3025.0,2.02888976e-07
3027.5,1.97529141e-07
3030.0,1.92169306e-07
3032.5,1.86646852e-07
3035.0,1.81124399e-07
3037.5,1.75601946e-07
3040.0,1.70079493e-07
3042.5,1.64233313e-07
3045.0,1.58387133e-07
3047.5,1.52540954e-07
3050.0,1.46694774e-07
3052.5,1.40638541e-07
3055.0,1.34582309e-07
3057.5,1.28526076e-07
3060.0,1.22469844e-07
3062.5,1.17098158e-07
3065.0,1.11726472e-07
3067.5,1.06354787e-07
3070.0,1.00983101e-07
3072.5,9.60586144e-08
3075.0,9.11341277e-08
3077.5,8.62096409e-08
3080.0,8.12851542e-08
3082.5,7.69992882e-08
3085.0,7.27134221e-08
3087.5,6.84275561e-08
3090.0,6.414169e-08
3092.5,6.10127641e-08
3095.0,5.78838381e-08
3097.5,5.47549122e-08
3100.0,5.16259862e-08
3102.5,4.92620778e-08
3105.0,4.68981694e-08
3107.5,4.45342609e-08
3110.0,4.21703525e-08
3112.5,4.04603234e-08
3115.0,3.87502943e-08
3117.5,3.70402652e-08
3120.0,3.53302361e-08
3122.5,3.39726393e-08
3125.0,3.26150426e-08
3127.5,3.12574459e-08
3130.0,2.98998492e-08
3132.5,2.87598976e-08
3135.0,2.7619946e-08
3137.5,2.64799945e-08
3140.0,2.53400429e-08
3142.5,2.44178185e-08
3145.0,2.3495594e-08
3147.5,2.25733696e-08
3150.0,2.16511452e-08
3152.5,2.07392133e-08
3155.0,1.98272814e-08
3157.5,1.89153495e-08
3160.0,1.80034176e-08
3162.5,1.74790714e-08
3165.0,1.69547252e-08
3167.5,1.64303791e-08
3170.0,1.59060329e-08
3172.5,1.59312348e-08
3175.0,1.59564367e-08
3177.5,1.59816386e-08
3180.0,1.60068405e-08
3182.5,1.63048056e-08
3185.0,1.66027706e-08
3187.5,1.69007357e-08
3190.0,1.71987007e-08
3192.5,1.94129035e-08
3195.0,2.16271062e-08
3197.5,2.3841309e-08
3200.0,2.60555117e-08
3202.5,4.30017199e-08
3205.0,5.99479281e-08
3207.5,7.68941363e-08
3210.0,9.38403445e-08
3212.5,1.84296772e-07
3215.0,2.74753199e-07
3217.5,3.65209627e-07
3220.0,4.55666054e-07
3222.5,8.99252005e-07
3225.0,1.34283796e-06
3227.5,1.78642391e-06
3230.0,2.23000986e-06
3232.5,4.38797823e-06
3235.0,6.54594659e-06
3237.5,8.70391496e-06
3240.0,1.08618833e-05
3242.5,2.00867002e-05
3245.0,2.93115171e-05
3247.5,3.8536334e-05
3250.0,4.77611509e-05
3252.5,8.06289515e-05
3255.0,0.000113496752
3257.5,0.000146364553
3260.0,0.000179232353
3262.5,0.000272001977
3265.0,0.0003647716
3267.5,0.000457541224
3270.0,0.000550310847
3272.5,0.000760122416
