wave,trans
6000.0,7.33655646e-06
6002.5,7.33703451e-06
6005.0,7.33778192e-06
6007.5,7.33888561e-06
6010.0,7.34045932e-06
6012.5,7.34657818e-06
6015.0,7.35351225e-06
6017.5,7.36151397e-06
6020.0,7.37091033e-06
6022.5,7.38073728e-06
6025.0,7.39292159e-06
6027.5,7.40816054e-06
6030.0,7.42734728e-06
6032.5,7.45081033e-06
6035.0,7.48080933e-06
6037.5,7.51918809e-06
6040.0,7.56828236e-06
6042.5,7.63283285e-06
6045.0,7.71480405e-06
6047.5,7.81888201e-06
6050.0,7.95093942e-06
6052.5,8.11716864e-06
6055.0,8.32780495e-06
6057.5,8.59419298e-06
6060.0,8.93039055e-06
6062.5,9.35476267e-06
6065.0,9.88783367e-06
6067.5,1.05559493e-05
6070.0,1.13913956e-05
6072.5,1.2431326e-05
6075.0,1.37256408e-05
6077.5,1.53325865e-05
6080.0,1.73227218e-05
6082.5,1.97821763e-05
6085.0,2.28129829e-05
6087.5,2.65385287e-05
6090.0,3.11065837e-05
6092.5,3.66972758e-05
6095.0,4.3518405e-05
6097.5,5.18198555e-05
6100.0,6.18974605e-05
6102.5,7.40879782e-05
6105.0,8.88098947e-05
6107.5,0.000106543953
6110.0,0.000127852469
6112.5,0.000153430224
6115.0,0.00018401614
6117.5,0.000220498447
6120.0,0.00026390393
6122.5,0.000315352801
6125.0,0.000376243315
6127.5,0.000448125947
6130.0,0.000532770447
6132.5,0.000632224683
6135.0,0.000748750961
6137.5,0.000884934586
6140.0,0.00104368918
6142.5,0.0012281804
6145.0,0.00144214253
6147.5,0.00168965572
6150.0,0.00197525694
6152.5,0.00230409484
6155.0,0.00268164007
6157.5,0.00311401093
6160.0,0.00360791677
6162.5,0.00417097088
6165.0,0.00481095772
6167.5,0.00553654954
6170.0,0.00635711676
6172.5,0.00728357282
6175.0,0.00832613698
6177.5,0.00949639446
6180.0,0.0108066643
6182.5,0.0122665434
6185.0,0.0138923128
6187.5,0.0156982444
6190.0,0.0176992301
6192.5,0.0199104804
6195.0,0.0223481504
6197.5,0.0250286284
6200.0,0.0279686459
6202.5,0.031187702
6205.0,0.0347009485
6207.5,0.0385255778
6210.0,0.042678662
6212.5,0.0471693173
6215.0,0.0520200396
6217.5,0.0572464475
6220.0,0.0628633955
6222.5,0.0689092278
6225.0,0.0753768773
6227.5,0.0822783009
6230.0,0.0896239947
6232.5,0.09742503
6235.0,0.105686615
6237.5,0.114413855
6240.0,0.123609731
6242.5,0.133242352
6245.0,0.143337722
6247.5,0.153891341
6250.0,0.164896139
6252.5,0.176349134
6255.0,0.188232153
6257.5,0.200530215
6260.0,0.213225688
6262.5,0.226282903
6265.0,0.239692706
6267.5,0.253429845
6270.0,0.267466781
6272.5,0.281808017
6275.0,0.296391295
6277.5,0.31118335
6280.0,0.326149389
6282.5,0.341219502
6285.0,0.356387455
6287.5,0.371615409
6290.0,0.386865088
6292.5,0.402158697
6295.0,0.417401867
6297.5,0.432556694
6300.0,0.447585966
6302.5,0.46237478
6305.0,0.47696185
6307.5,0.491313768
6310.0,0.50539886
6312.5,0.519135199
6315.0,0.532544676
6317.5,0.545602071
6320.0,0.55828459
6322.5,0.570707497
6325.0,0.582723223
6327.5,0.59431645
6330.0,0.605474518
6332.5,0.616143024
6335.0,0.626357533
6337.5,0.63611333
6340.0,0.645408189
6342.5,0.6542916
6345.0,0.662717907
6347.5,0.670691572
6350.0,0.678219042
6352.5,0.68513981
6355.0,0.691629408
6357.5,0.69769956
6360.0,0.703363282
6362.5,0.708732754
6365.0,0.713726322
6367.5,0.718359645
6370.0,0.722648978
6372.5,0.726512656
6375.0,0.730065032
6377.5,0.733323309
6380.0,0.736304678
6382.5,0.739226134
6385.0,0.741905848
6387.5,0.744360085
6390.0,0.74660469
6392.5,0.74856631
6395.0,0.750348056
6397.5,0.751964169
6400.0,0.753428233
6402.5,0.754719041
6405.0,0.755882793
6407.5,0.756930975
6410.0,0.75787435
6412.5,0.758618651
6415.0,0.759277345
6417.5,0.759859104
6420.0,0.760371924
6422.5,0.760866977
6425.0,0.761307199
6427.5,0.76169871
6430.0,0.76204707
6432.5,0.762427056
6435.0,0.762773508
6437.5,0.763090505
6440.0,0.763381699
6442.5,0.763699561
6445.0,0.763997808
6447.5,0.764279016
6450.0,0.764545463
6452.5,0.764699068
6455.0,0.764841674
6457.5,0.764974831
6460.0,0.765099896
6462.5,0.76504415
6465.0,0.764982501
6467.5,0.764915838
6470.0,0.76484493
6472.5,0.766469435
6475.0,0.768091446
6477.5,0.769711427
6480.0,0.771329777
6482.5,0.771868161
6485.0,0.772405233
6487.5,0.772941242
6490.0,0.773476399
6492.5,0.773365042
6495.0,0.773252984
6497.5,0.773140349
6500.0,0.773027241
6502.5,0.772907833
6505.0,0.772788098
6507.5,0.772668094
6510.0,0.77254787
6512.5,0.772526658
6515.0,0.772505297
6517.5,0.772483812
6520.0,0.772462226
6522.5,0.772552824
6525.0,0.77264337
6527.5,0.772733875
6530.0,0.772824349
6532.5,0.77295668
6535.0,0.773089
6537.5,0.773221313
6540.0,0.773353623
6542.5,0.773573348
6545.0,0.773793095
6547.5,0.774012867
6550.0,0.774232665
6552.5,0.774210857
6555.0,0.774189046
6557.5,0.774167231
6560.0,0.774145414
6562.5,0.774150206
6565.0,0.774154981
6567.5,0.774159739
6570.0,0.774164481
6572.5,0.773869813
6575.0,0.773575187
6577.5,0.773280606
6580.0,0.772986068
6582.5,0.772863765
6585.0,0.772741401
6587.5,0.772618976
6590.0,0.772496489
6592.5,0.772053228
6595.0,0.77161005
6597.5,0.771166955
6600.0,0.770723944
6602.5,0.770370698
6605.0,0.770017385
6607.5,0.769664008
6610.0,0.769310564
6612.5,0.768984586
6615.0,0.768658603
6617.5,0.768332613
6620.0,0.768006618
6622.5,0.767823671
6625.0,0.76764064
