wave,trans
3400.0,0.0
3500.0,0.041
3600.0,0.072
3700.0,0.133
3800.0,0.199
3900.0,0.263
4000.0,0.347
4100.0,0.423
4200.0,0.508
4300.0,0.612
4400.0,0.726
4500.0,0.813
4600.0,0.906
4700.0,0.966
4800.0,0.992
4900.0,1.0
5000.0,0.992
5100.0,0.978
5200.0,0.951
5300.0,0.914
5400.0,0.88
5500.0,0.84
5600.0,0.797
5700.0,0.755
5800.0,0.712
5900.0,0.668
6000.0,0.626
6100.0,0.583
6200.0,0.542
6300.0,0.503
6400.0,0.465
6500.0,0.429
6600.0,0.393
6700.0,0.359
6800.0,0.326
6900.0,0.293
7000.0,0.26
7100.0,0.23
7200.0,0.202
7300.0,0.176
7400.0,0.152
7500.0,0.13
7600.0,0.112
7700.0,0.095
7800.0,0.081
7900.0,0.068
8000.0,0.054
8100.0,0.042
8200.0,0.032
8300.0,0.024
8400.0,0.018
8500.0,0.014
8600.0,0.01
8700.0,0.006
8800.0,0.002
8900.0,0.0
