wave,trans
3480.0,0.0001121
3490.0,0.0001508
3500.0,0.0001583
3510.0,0.0001927
3520.0,0.0002265
3530.0,0.0002336
3540.0,0.0002165
3550.0,0.00023
3560.0,0.0002783
3570.0,0.0003291
3580.0,0.0003812
3590.0,0.0004237
3600.0,0.0004536
3610.0,0.0004996
3620.0,0.000549
3630.0,0.0006071
3640.0,0.0006789
3650.0,0.0007407
3660.0,0.0007886
3670.0,0.000832
3680.0,0.0008641
3690.0,0.0008897
3700.0,0.0009077
3710.0,0.0009264
3720.0,0.0009365
3730.0,0.000937
3740.0,0.0009395
3750.0,0.001
3760.0,0.0009914
3770.0,0.0009873
3780.0,0.0009737
3790.0,0.0009516
3800.0,0.0009258
3810.0,0.0009035
3820.0,0.000873
3830.0,0.0008389
3840.0,0.0008059
3850.0,0.000777
3860.0,0.0007384
3870.0,0.0007001
3880.0,0.0006615
3890.0,0.0006169
3900.0,0.0005831
3910.0,0.0005563
3920.0,0.0005361
3930.0,0.0005005
3940.0,0.0004508
3950.0,0.0003983
3960.0,0.0003697
3970.0,0.000379
3980.0,0.0004003
3990.0,0.0004145
4000.0,0.0003953
4010.0,0.0003424
4020.0,0.0002973
4030.0,0.0002853
4040.0,0.0003305
4050.0,0.0003981
4060.0,0.0004674
4070.0,0.0005121
4080.0,0.0005376
4090.0,0.0005777
4100.0,0.0006905
4110.0,0.0009656
4120.0,0.001441
4130.0,0.002082
4140.0,0.002756
4150.0,0.003377
4160.0,0.003994
4170.0,0.004842
4180.0,0.006326
4190.0,0.008848
4200.0,0.01278
4210.0,0.01821
4220.0,0.02507
4230.0,0.03332
4240.0,0.04333
4250.0,0.0563
4260.0,0.07321
4270.0,0.09461
4280.0,0.1205
4290.0,0.1501
4300.0,0.1815
4310.0,0.2125
4320.0,0.2417
4330.0,0.2704
4340.0,0.2988
4350.0,0.3282
4360.0,0.3559
4370.0,0.3811
4380.0,0.402
4390.0,0.4173
4400.0,0.4278
4410.0,0.436
4420.0,0.4409
4430.0,0.445
4440.0,0.4487
4450.0,0.4519
4460.0,0.4553
4470.0,0.4585
4480.0,0.4617
