wave,trans
11000.0,0.0
11100.0,0.0
11200.0,0.0614
11290.0,0.1991
11390.0,0.3369
11490.0,0.4748
11590.0,0.6038
11680.0,0.6587
11780.0,0.6591
11880.0,0.6595
11980.0,0.6601
12070.0,0.6554
12170.0,0.656
12270.0,0.6565
12370.0,0.6571
12460.0,0.6576
12560.0,0.6516
12660.0,0.652
12760.0,0.6527
12850.0,0.6532
12950.0,0.6537
13050.0,0.6525
13150.0,0.653
13240.0,0.6535
13340.0,0.6542
13440.0,0.6546
13540.0,0.655
13630.0,0.6554
13730.0,0.656
13830.0,0.6566
13930.0,0.6572
14020.0,0.6578
14120.0,0.6574
14220.0,0.6581
14320.0,0.6034
14410.0,0.4982
14510.0,0.3965
14610.0,0.2897
14710.0,0.1825
14800.0,0.0753
14900.0,0.0
15000.0,0.0
