wave,trans
4800.0,0.022
4880.0,0.2889
4960.0,0.5509
5030.0,0.5521
5110.0,0.5533
5190.0,0.5544
5270.0,0.6837
5350.0,0.6846
5420.0,0.6853
5500.0,0.6857
5580.0,0.6861
5660.0,0.6861
5740.0,0.6862
5810.0,0.6861
5890.0,0.6862
5970.0,0.6859
6050.0,0.6858
6130.0,0.6854
6200.0,0.685
6280.0,0.6846
6360.0,0.6838
6440.0,0.6834
6520.0,0.7256
6600.0,0.725
6670.0,0.7244
6750.0,0.7239
6830.0,0.7236
6910.0,0.7231
6990.0,0.7224
7060.0,0.7214
7140.0,0.7205
7220.0,0.7199
7300.0,0.7193
7380.0,0.7185
7450.0,0.7177
7530.0,0.5975
7610.0,0.377
7690.0,0.3766
7770.0,0.1567
7840.0,0.0
7920.0,0.0
8000.0,0.0
