wave,trans
9000.0,0.0
9290.0,0.2361
9590.0,0.6827
9880.0,0.6813
10170.0,0.6822
10460.0,0.6817
10760.0,0.6694
11050.0,0.6662
11340.0,0.6673
11630.0,0.6585
11930.0,0.6599
12220.0,0.6562
12510.0,0.6512
12800.0,0.653
13100.0,0.6527
13390.0,0.6543
13680.0,0.6556
13980.0,0.6572
14270.0,0.659
14560.0,0.6683
14850.0,0.6698
15150.0,0.6726
15440.0,0.6741
15730.0,0.6879
16020.0,0.691
16320.0,0.692
16610.0,0.6962
16900.0,0.6973
17200.0,0.7103
17490.0,0.7112
17780.0,0.7255
18070.0,0.7242
18370.0,0.7237
18660.0,0.7349
18950.0,0.7352
19240.0,0.7393
19540.0,0.7502
19830.0,0.5709
20120.0,0.3038
20410.0,0.0442
20710.0,0.0
21000.0,0.0
