wave,trans
9100.0,0.0
9180.0,0.0647
9270.0,0.2361
9350.0,0.4071
9430.0,0.5777
9510.0,0.6831
9600.0,0.6827
9680.0,0.6823
9760.0,0.6819
9850.0,0.6814
9930.0,0.681
10010.0,0.6824
10100.0,0.6822
10180.0,0.6822
10260.0,0.6822
10340.0,0.682
10430.0,0.6818
10510.0,0.6696
10590.0,0.6695
10680.0,0.6695
10760.0,0.6694
10840.0,0.6699
10920.0,0.6701
11010.0,0.6662
11090.0,0.6661
11170.0,0.6664
11260.0,0.6668
11340.0,0.6672
11420.0,0.6676
11500.0,0.658
11590.0,0.6582
11670.0,0.6586
11750.0,0.6311
11840.0,0.5025
11920.0,0.3736
12000.0,0.2428
12090.0,0.2429
12170.0,0.1147
12250.0,0.0
12330.0,0.0
12420.0,0.0
12500.0,0.0
