wave,trans
7500.0,0.0
7560.0,0.1572
7630.0,0.3769
7690.0,0.3766
7750.0,0.5958
7820.0,0.7143
7880.0,0.7136
7940.0,0.7131
8010.0,0.6815
8070.0,0.6809
8130.0,0.6801
8200.0,0.6792
8260.0,0.6782
8320.0,0.6771
8390.0,0.676
8450.0,0.675
8510.0,0.6745
8580.0,0.6743
8640.0,0.6736
8700.0,0.6727
8770.0,0.6719
8830.0,0.6715
8900.0,0.6709
8960.0,0.6701
9020.0,0.6831
9090.0,0.6827
9150.0,0.6823
9210.0,0.6818
9280.0,0.6813
9340.0,0.6807
9400.0,0.6799
9470.0,0.6794
9530.0,0.6829
9590.0,0.6827
9660.0,0.6385
9720.0,0.4754
9780.0,0.4751
9850.0,0.3121
9910.0,0.1494
9970.0,0.1493
10040.0,0.0
10100.0,0.0
