wave,trans
6400.000000,0.000100
6410.000000,0.000000
6420.000000,0.000000
6430.000000,0.000100
6440.000000,0.000100
6450.000000,0.000200
6460.000000,0.000200
6470.000000,0.000100
6480.000000,0.000100
6490.000000,0.000000
6500.000000,-0.000000
6510.000000,0.000100
6520.000000,0.000200
6530.000000,0.000200
6540.000000,0.000300
6550.000000,0.000300
6560.000000,0.000300
6570.000000,0.000300
6580.000000,0.000200
6590.000000,0.000200
6600.000000,0.000200
6610.000000,0.000200
6620.000000,0.000300
6630.000000,0.000500
6640.000000,0.000600
6650.000000,0.000700
6660.000000,0.000800
6670.000000,0.000900
6680.000000,0.001100
6690.000000,0.001300
6700.000000,0.001500
6710.000000,0.001800
6720.000000,0.002100
6730.000000,0.002600
6740.000000,0.003200
6750.000000,0.004000
6760.000000,0.005000
6770.000000,0.006300
6780.000000,0.007800
6790.000000,0.010100
6800.000000,0.012600
6810.000000,0.016300
6820.000000,0.020500
6830.000000,0.026300
6840.000000,0.032900
6850.000000,0.042000
6860.000000,0.052100
6870.000000,0.054400
6880.000000,0.072600
6890.000000,0.091200
6900.000000,0.113400
6910.000000,0.143000
6920.000000,0.174400
6930.000000,0.209000
6940.000000,0.243700
6950.000000,0.281100
6960.000000,0.316400
6970.000000,0.352900
6980.000000,0.385900
6990.000000,0.411700
7000.000000,0.437200
7010.000000,0.456100
7020.000000,0.473300
7030.000000,0.484300
7040.000000,0.494600
7050.000000,0.500500
7060.000000,0.505700
7070.000000,0.508300
7080.000000,0.510000
7090.000000,0.510900
7100.000000,0.511000
7110.000000,0.510700
7120.000000,0.510500
7130.000000,0.510000
7140.000000,0.509500
7150.000000,0.508700
7160.000000,0.508400
7170.000000,0.500700
7180.000000,0.494700
7190.000000,0.485500
7200.000000,0.489300
7210.000000,0.495300
7220.000000,0.505200
7230.000000,0.499200
7240.000000,0.491500
7250.000000,0.492200
7260.000000,0.495900
7270.000000,0.494000
7280.000000,0.493000
7290.000000,0.495300
7300.000000,0.499600
7310.000000,0.496400
7320.000000,0.500000
7330.000000,0.502600
7340.000000,0.502500
7350.000000,0.501900
7360.000000,0.501300
7370.000000,0.500800
7380.000000,0.501700
7390.000000,0.500300
7400.000000,0.499800
7410.000000,0.499400
7420.000000,0.499100
7430.000000,0.498200
7440.000000,0.497300
7450.000000,0.496000
7460.000000,0.494800
7470.000000,0.494700
7480.000000,0.494800
7490.000000,0.494500
7500.000000,0.494300
7510.000000,0.494100
7520.000000,0.493900
7530.000000,0.493900
7540.000000,0.494000
7550.000000,0.494100
7560.000000,0.494200
7570.000000,0.494500
7580.000000,0.494700
7590.000000,0.492900
7600.000000,0.253700
7610.000000,0.203800
7620.000000,0.377500
7630.000000,0.274500
7640.000000,0.328100
7650.000000,0.368400
7660.000000,0.414600
7670.000000,0.440100
7680.000000,0.464300
7690.000000,0.468700
7700.000000,0.474100
7710.000000,0.475600
7720.000000,0.475600
7730.000000,0.475900
7740.000000,0.476300
7750.000000,0.476800
7760.000000,0.477200
7770.000000,0.477900
7780.000000,0.478500
7790.000000,0.478500
7800.000000,0.478300
7810.000000,0.478100
7820.000000,0.477900
7830.000000,0.478400
7840.000000,0.478800
7850.000000,0.478300
7860.000000,0.477500
7870.000000,0.475900
7880.000000,0.474600
7890.000000,0.473200
7900.000000,0.471100
7910.000000,0.471100
7920.000000,0.470300
7930.000000,0.469400
7940.000000,0.470000
7950.000000,0.469200
7960.000000,0.467400
7970.000000,0.467900
7980.000000,0.469200
7990.000000,0.468800
8000.000000,0.468200
8010.000000,0.467300
8020.000000,0.466400
8030.000000,0.466000
8040.000000,0.466000
8050.000000,0.466600
8060.000000,0.467500
8070.000000,0.467300
8080.000000,0.467500
8090.000000,0.465900
8100.000000,0.464400
8110.000000,0.463000
8120.000000,0.460600
8130.000000,0.458300
8140.000000,0.452000
8150.000000,0.451600
8160.000000,0.444600
8170.000000,0.444900
8180.000000,0.443800
8190.000000,0.450600
8200.000000,0.446600
8210.000000,0.456900
8220.000000,0.453800
