wave,trans
5000.000000,0.000200
5010.000000,0.000200
5020.000000,0.000200
5030.000000,0.000100
5040.000000,0.000000
5050.000000,0.000000
5060.000000,0.000000
5070.000000,0.000100
5080.000000,0.000200
5090.000000,0.000100
5100.000000,0.000100
5110.000000,0.000100
5120.000000,0.000200
5130.000000,0.000200
5140.000000,0.000200
5150.000000,0.000100
5160.000000,0.000000
5170.000000,-0.000000
5180.000000,-0.000000
5190.000000,-0.000000
5200.000000,-0.000000
5210.000000,-0.000000
5220.000000,0.000000
5230.000000,0.000000
5240.000000,0.000100
5250.000000,0.000100
5260.000000,0.000100
5270.000000,0.000100
5280.000000,0.000200
5290.000000,0.000300
5300.000000,0.000300
5310.000000,0.000400
5320.000000,0.000600
5330.000000,0.000900
5340.000000,0.001200
5350.000000,0.001800
5360.000000,0.002700
5370.000000,0.004600
5380.000000,0.007200
5390.000000,0.012700
5400.000000,0.019600
5410.000000,0.032400
5420.000000,0.047900
5430.000000,0.073700
5440.000000,0.103000
5450.000000,0.143500
5460.000000,0.186600
5470.000000,0.233700
5480.000000,0.280100
5490.000000,0.318400
5500.000000,0.353300
5510.000000,0.375100
5520.000000,0.393500
5530.000000,0.403600
5540.000000,0.412300
5550.000000,0.419500
5560.000000,0.426800
5570.000000,0.435700
5580.000000,0.445100
5590.000000,0.455200
5600.000000,0.465100
5610.000000,0.473000
5620.000000,0.480200
5630.000000,0.484700
5640.000000,0.488500
5650.000000,0.491200
5660.000000,0.493800
5670.000000,0.495700
5680.000000,0.497200
5690.000000,0.498000
5700.000000,0.499000
5710.000000,0.499300
5720.000000,0.499200
5730.000000,0.498800
5740.000000,0.498300
5750.000000,0.496800
5760.000000,0.495400
5770.000000,0.493600
5780.000000,0.492200
5790.000000,0.491900
5800.000000,0.492400
5810.000000,0.494300
5820.000000,0.496400
5830.000000,0.499300
5840.000000,0.502200
5850.000000,0.505100
5860.000000,0.507600
5870.000000,0.508700
5880.000000,0.508500
5890.000000,0.505100
5900.000000,0.502200
5910.000000,0.498300
5920.000000,0.492800
5930.000000,0.488700
5940.000000,0.484400
5950.000000,0.482300
5960.000000,0.482000
5970.000000,0.483900
5980.000000,0.486900
5990.000000,0.491400
6000.000000,0.496200
6010.000000,0.500700
6020.000000,0.504700
6030.000000,0.507300
6040.000000,0.509400
6050.000000,0.509900
6060.000000,0.510000
6070.000000,0.509400
6080.000000,0.508700
6090.000000,0.507900
6100.000000,0.507400
6110.000000,0.508200
6120.000000,0.509400
6130.000000,0.511600
6140.000000,0.514000
6150.000000,0.516100
6160.000000,0.517900
6170.000000,0.518600
6180.000000,0.519100
6190.000000,0.518900
6200.000000,0.518700
6210.000000,0.518800
6220.000000,0.519000
6230.000000,0.519700
6240.000000,0.520500
6250.000000,0.521300
6260.000000,0.521900
6270.000000,0.521800
6280.000000,0.509100
6290.000000,0.517200
6300.000000,0.516200
6310.000000,0.519900
6320.000000,0.521500
6330.000000,0.522100
6340.000000,0.521900
6350.000000,0.520600
6360.000000,0.518900
6370.000000,0.516400
6380.000000,0.513800
6390.000000,0.510800
6400.000000,0.508000
6410.000000,0.506100
6420.000000,0.504700
6430.000000,0.505300
6440.000000,0.506600
6450.000000,0.508800
6460.000000,0.510900
6470.000000,0.512200
6480.000000,0.513000
6490.000000,0.513300
6500.000000,0.513800
6510.000000,0.511200
6520.000000,0.506500
6530.000000,0.502700
6540.000000,0.497700
6550.000000,0.492000
6560.000000,0.488200
6570.000000,0.485900
6580.000000,0.484600
6590.000000,0.485800
6600.000000,0.487600
6610.000000,0.491200
6620.000000,0.495100
6630.000000,0.499100
6640.000000,0.502900
6650.000000,0.504700
6660.000000,0.505900
6670.000000,0.505500
6680.000000,0.504700
6690.000000,0.504200
6700.000000,0.503700
6710.000000,0.504100
6720.000000,0.504800
6730.000000,0.506800
6740.000000,0.508900
6750.000000,0.510900
6760.000000,0.512600
6770.000000,0.512600
6780.000000,0.512200
6790.000000,0.510200
6800.000000,0.507900
6810.000000,0.505000
6820.000000,0.502200
6830.000000,0.500500
6840.000000,0.499100
6850.000000,0.498400
6860.000000,0.497500
6870.000000,0.412300
6880.000000,0.439100
6890.000000,0.438600
6900.000000,0.441200
6910.000000,0.441700
6920.000000,0.436300
6930.000000,0.416500
6940.000000,0.390400
6950.000000,0.355500
6960.000000,0.315200
6970.000000,0.272400
6980.000000,0.226900
6990.000000,0.182500
7000.000000,0.140600
7010.000000,0.106400
7020.000000,0.075100
7030.000000,0.053400
7040.000000,0.034600
7050.000000,0.023400
7060.000000,0.014200
7070.000000,0.009200
7080.000000,0.005300
7090.000000,0.003400
7100.000000,0.001900
7110.000000,0.001300
7120.000000,0.000900
7130.000000,0.000700
7140.000000,0.000500
7150.000000,0.000300
7160.000000,0.000200
7170.000000,0.000100
7180.000000,0.000000
7190.000000,0.000100
7200.000000,0.000100
7210.000000,0.000100
7220.000000,0.000100
7230.000000,0.000100
7240.000000,0.000100
7250.000000,0.000100
7260.000000,0.000200
7270.000000,0.000200
7280.000000,0.000200
7290.000000,0.000300
7300.000000,0.000300
7310.000000,0.000500
7320.000000,0.000600
7330.000000,0.000700
7340.000000,0.000800
7350.000000,0.000800
7360.000000,0.000700
7370.000000,0.000700
7380.000000,0.000800
7390.000000,0.000900
7400.000000,0.001000
7410.000000,0.001000
7420.000000,0.000900
7430.000000,0.000800
7440.000000,0.000700
7450.000000,0.000600
7460.000000,0.000600
7470.000000,0.000700
7480.000000,0.000900
7490.000000,0.001000
7500.000000,0.001100
