wave,trans
9000.000000,0.000700
9010.000000,0.001200
9020.000000,0.002000
9030.000000,0.003300
9040.000000,0.004800
9050.000000,0.004900
9060.000000,0.004900
9070.000000,0.004800
9080.000000,0.004900
9090.000000,0.005700
9100.000000,0.006400
9110.000000,0.005900
9120.000000,0.005400
9130.000000,0.007100
9140.000000,0.008800
9150.000000,0.009800
9160.000000,0.010200
9170.000000,0.012400
9180.000000,0.014100
9190.000000,0.018400
9200.000000,0.022700
9210.000000,0.028400
9220.000000,0.034300
9230.000000,0.043900
9240.000000,0.053700
9250.000000,0.065400
9260.000000,0.078700
9270.000000,0.095100
9280.000000,0.107700
9290.000000,0.125300
9300.000000,0.137200
9310.000000,0.150400
9320.000000,0.157000
9330.000000,0.172900
9340.000000,0.176700
9350.000000,0.198700
9360.000000,0.198900
9370.000000,0.222300
9380.000000,0.245600
9390.000000,0.294800
9400.000000,0.323300
9410.000000,0.323200
9420.000000,0.337200
9430.000000,0.303400
9440.000000,0.310600
9450.000000,0.352600
9460.000000,0.306200
9470.000000,0.359000
9480.000000,0.325800
9490.000000,0.380900
9500.000000,0.298100
9510.000000,0.386100
9520.000000,0.331300
9530.000000,0.349100
9540.000000,0.361600
9550.000000,0.346700
9560.000000,0.342800
9570.000000,0.332000
9580.000000,0.350800
9590.000000,0.342100
9600.000000,0.350600
9610.000000,0.347900
9620.000000,0.344200
9630.000000,0.349600
9640.000000,0.344100
9650.000000,0.342500
9660.000000,0.342900
9670.000000,0.340400
9680.000000,0.347800
9690.000000,0.351000
9700.000000,0.343000
9710.000000,0.346500
9720.000000,0.339600
9730.000000,0.335100
9740.000000,0.329600
9750.000000,0.325600
9760.000000,0.323900
9770.000000,0.325900
9780.000000,0.322400
9790.000000,0.321900
9800.000000,0.315800
9810.000000,0.319300
9820.000000,0.314700
9830.000000,0.308600
9840.000000,0.308300
9850.000000,0.302000
9860.000000,0.300500
9870.000000,0.296300
9880.000000,0.292000
9890.000000,0.288600
9900.000000,0.283900
9910.000000,0.280300
9920.000000,0.276200
9930.000000,0.271600
9940.000000,0.267700
9950.000000,0.263700
9960.000000,0.259500
9970.000000,0.255200
9980.000000,0.250900
9990.000000,0.246600
10000.000000,0.242000
10010.000000,0.236700
10020.000000,0.230600
10030.000000,0.225300
10040.000000,0.219500
10050.000000,0.214000
10060.000000,0.208200
10070.000000,0.202800
10080.000000,0.197200
10090.000000,0.192000
10100.000000,0.186800
10110.000000,0.181900
10120.000000,0.176600
10130.000000,0.171500
10140.000000,0.166400
10150.000000,0.161100
10160.000000,0.155800
10170.000000,0.150400
10180.000000,0.145000
10190.000000,0.139600
10200.000000,0.134500
10210.000000,0.130400
10220.000000,0.126400
10230.000000,0.122400
10240.000000,0.118400
10250.000000,0.114600
10260.000000,0.110700
10270.000000,0.106700
10280.000000,0.102800
10290.000000,0.098900
10300.000000,0.095000
10310.000000,0.091100
10320.000000,0.087100
10330.000000,0.083200
10340.000000,0.079300
10350.000000,0.075300
10360.000000,0.071400
10370.000000,0.067600
10380.000000,0.063700
10390.000000,0.059800
10400.000000,0.056300
10410.000000,0.054700
10420.000000,0.053400
10430.000000,0.052000
10440.000000,0.050700
10450.000000,0.049400
10460.000000,0.048000
10470.000000,0.046700
10480.000000,0.045400
10490.000000,0.044000
10500.000000,0.042700
10510.000000,0.041400
10520.000000,0.040000
10530.000000,0.038700
10540.000000,0.037300
10550.000000,0.035900
10560.000000,0.034500
10570.000000,0.033000
10580.000000,0.031500
10590.000000,0.030000
10600.000000,0.028500
10610.000000,0.027300
10620.000000,0.026200
10630.000000,0.025000
10640.000000,0.023800
10650.000000,0.022500
10660.000000,0.021200
10670.000000,0.019700
10680.000000,0.018300
10690.000000,0.016800
10700.000000,0.015300
10710.000000,0.013800
10720.000000,0.012300
10730.000000,0.010900
10740.000000,0.009500
10750.000000,0.008200
10760.000000,0.007000
10770.000000,0.005900
10780.000000,0.004900
10790.000000,0.004100
10800.000000,0.003300
10810.000000,0.002700
10820.000000,0.002100
10830.000000,0.001700
10840.000000,0.001300
10850.000000,0.001000
10860.000000,0.000700
10870.000000,0.000600
10880.000000,0.000400
10890.000000,0.000300
10900.000000,0.000200
10910.000000,0.000200
10920.000000,0.000100
10930.000000,0.000100
10940.000000,0.000100
10950.000000,0.000000
10960.000000,0.000000
10970.000000,0.000000
10980.000000,0.000000
10990.000000,0.000000
11000.000000,0.000000
