wave,trans
8160.000000,0.003800
8170.000000,0.003900
8180.000000,0.003800
8190.000000,0.003300
8200.000000,0.002700
8210.000000,0.002100
8220.000000,0.001400
8230.000000,0.000700
8240.000000,0.000000
8250.000000,-0.000300
8260.000000,-0.000500
8270.000000,-0.000500
8280.000000,-0.000400
8290.000000,0.000100
8300.000000,0.000600
8310.000000,0.001100
8320.000000,0.001500
8330.000000,0.001900
8340.000000,0.002400
8350.000000,0.003500
8360.000000,0.004700
8370.000000,0.006100
8380.000000,0.008000
8390.000000,0.013200
8400.000000,0.019000
8410.000000,0.025200
8420.000000,0.031900
8430.000000,0.040200
8440.000000,0.049500
8450.000000,0.063100
8460.000000,0.077900
8470.000000,0.096300
8480.000000,0.115700
8490.000000,0.139500
8500.000000,0.164500
8510.000000,0.192400
8520.000000,0.221200
8530.000000,0.250900
8540.000000,0.280500
8550.000000,0.308800
8560.000000,0.336200
8570.000000,0.361000
8580.000000,0.384600
8590.000000,0.403400
8600.000000,0.420900
8610.000000,0.434600
8620.000000,0.447200
8630.000000,0.455800
8640.000000,0.463300
8650.000000,0.467600
8660.000000,0.471300
8670.000000,0.474200
8680.000000,0.476800
8690.000000,0.477900
8700.000000,0.478700
8710.000000,0.479000
8720.000000,0.479200
8730.000000,0.479800
8740.000000,0.480300
8750.000000,0.480500
8760.000000,0.480600
8770.000000,0.481000
8780.000000,0.481400
8790.000000,0.481500
8800.000000,0.481300
8810.000000,0.480600
8820.000000,0.479800
8830.000000,0.479300
8840.000000,0.478700
8850.000000,0.478500
8860.000000,0.477800
8870.000000,0.477600
8880.000000,0.476800
8890.000000,0.476600
8900.000000,0.475400
8910.000000,0.474800
8920.000000,0.473300
8930.000000,0.470800
8940.000000,0.469000
8950.000000,0.466400
8960.000000,0.459500
8970.000000,0.449900
8980.000000,0.453600
8990.000000,0.429200
9000.000000,0.453000
9010.000000,0.445900
9020.000000,0.449800
9030.000000,0.444700
9040.000000,0.463200
9050.000000,0.459800
9060.000000,0.454600
9070.000000,0.440600
9080.000000,0.441500
9090.000000,0.443300
9100.000000,0.439000
9110.000000,0.445200
9120.000000,0.441500
9130.000000,0.438100
9140.000000,0.433000
9150.000000,0.442600
9160.000000,0.424700
9170.000000,0.439200
9180.000000,0.420400
9190.000000,0.428500
9200.000000,0.422600
9210.000000,0.418800
9220.000000,0.403800
9230.000000,0.394900
9240.000000,0.378400
9250.000000,0.358900
9260.000000,0.342700
9270.000000,0.323400
9280.000000,0.289900
9290.000000,0.264500
9300.000000,0.229200
9310.000000,0.197600
9320.000000,0.161500
9330.000000,0.138100
9340.000000,0.109700
9350.000000,0.093800
9360.000000,0.071800
9370.000000,0.062800
9380.000000,0.051800
9390.000000,0.046500
9400.000000,0.037600
9410.000000,0.028400
9420.000000,0.021600
9430.000000,0.014800
9440.000000,0.011200
9450.000000,0.009700
9460.000000,0.006400
9470.000000,0.006000
9480.000000,0.004400
9490.000000,0.004000
9500.000000,0.002500
9510.000000,0.002600
9520.000000,0.001800
9530.000000,0.001500
9540.000000,0.001200
9550.000000,0.000700
9560.000000,0.000400
9570.000000,0.000300
9580.000000,0.000200
9590.000000,0.000000
9600.000000,-0.000200
9610.000000,-0.000200
9620.000000,-0.000200
9630.000000,-0.000200
9640.000000,-0.000200
9650.000000,-0.000200
9660.000000,-0.000300
