wave,trans
3863.000000,0.000000
3864.000000,0.000000
3865.000000,0.000168
3866.000000,0.000337
3867.000000,0.000667
3868.000000,0.000999
3869.000000,0.001340
3870.000000,0.001684
3871.000000,0.002020
3872.000000,0.002358
3873.000000,0.002706
3874.000000,0.003056
3875.000000,0.003408
3876.000000,0.003761
3877.000000,0.004105
3878.000000,0.004452
3879.000000,0.004808
3880.000000,0.005167
3881.000000,0.005518
3882.000000,0.005872
3883.000000,0.006236
3884.000000,0.006601
3885.000000,0.006959
3886.000000,0.007321
3887.000000,0.007694
3888.000000,0.008068
3889.000000,0.008435
3890.000000,0.008804
3891.000000,0.009181
3892.000000,0.009560
3893.000000,0.009940
3894.000000,0.010322
3895.000000,0.010696
3896.000000,0.011071
3897.000000,0.011458
3898.000000,0.011846
3899.000000,0.012227
3900.000000,0.012609
3901.000000,0.013004
3902.000000,0.013401
3903.000000,0.013791
3904.000000,0.014182
3905.000000,0.014584
3906.000000,0.014985
3907.000000,0.015386
3908.000000,0.015790
3909.000000,0.016185
3910.000000,0.016582
3911.000000,0.016992
3912.000000,0.017403
3913.000000,0.017806
3914.000000,0.018211
3915.000000,0.018816
3916.000000,0.019424
3917.000000,0.020213
3918.000000,0.021005
3919.000000,0.021801
3920.000000,0.022600
3921.000000,0.023405
3922.000000,0.024214
3923.000000,0.025027
3924.000000,0.025843
3925.000000,0.026662
3926.000000,0.027477
3927.000000,0.028296
3928.000000,0.029117
3929.000000,0.029941
3930.000000,0.030769
3931.000000,0.031616
3932.000000,0.032467
3933.000000,0.033312
3934.000000,0.034159
3935.000000,0.035010
3936.000000,0.035875
3937.000000,0.036743
3938.000000,0.037615
3939.000000,0.038492
3940.000000,0.039372
3941.000000,0.040237
3942.000000,0.041105
3943.000000,0.041977
3944.000000,0.042852
3945.000000,0.043730
3946.000000,0.044612
3947.000000,0.045497
3948.000000,0.046385
3949.000000,0.047287
3950.000000,0.048192
3951.000000,0.049079
3952.000000,0.049969
3953.000000,0.050862
3954.000000,0.051758
3955.000000,0.052657
3956.000000,0.053559
3957.000000,0.054464
3958.000000,0.055373
3959.000000,0.056284
3960.000000,0.057199
3961.000000,0.058143
3962.000000,0.059091
3963.000000,0.060043
3964.000000,0.060999
3965.000000,0.061969
3966.000000,0.062926
3967.000000,0.063875
3968.000000,0.064827
3969.000000,0.065782
3970.000000,0.066740
3971.000000,0.067692
3972.000000,0.068647
3973.000000,0.069605
3974.000000,0.070565
3975.000000,0.071528
3976.000000,0.072493
3977.000000,0.073461
3978.000000,0.074432
3979.000000,0.075405
3980.000000,0.076382
3981.000000,0.077370
3982.000000,0.078361
3983.000000,0.079344
3984.000000,0.080329
3985.000000,0.081318
3986.000000,0.082332
3987.000000,0.083349
3988.000000,0.084370
3989.000000,0.085394
3990.000000,0.086421
3991.000000,0.087427
3992.000000,0.088435
3993.000000,0.089447
3994.000000,0.090461
3995.000000,0.091478
3996.000000,0.092499
3997.000000,0.093522
3998.000000,0.094549
3999.000000,0.095590
4000.000000,0.096634
4001.000000,0.097665
4002.000000,0.098699
4003.000000,0.099736
4004.000000,0.100777
4005.000000,0.101820
4006.000000,0.102865
4007.000000,0.103914
4008.000000,0.104966
4009.000000,0.106020
4010.000000,0.107078
4011.000000,0.108152
4012.000000,0.109229
4013.000000,0.110309
4014.000000,0.111392
4015.000000,0.112490
4016.000000,0.113561
4017.000000,0.114623
4018.000000,0.115687
4019.000000,0.116754
4020.000000,0.117823
4021.000000,0.118897
4022.000000,0.119974
4023.000000,0.121053
4024.000000,0.122135
4025.000000,0.123220
4026.000000,0.124307
4027.000000,0.125397
4028.000000,0.126490
4029.000000,0.127586
4030.000000,0.128684
4031.000000,0.129805
4032.000000,0.130928
4033.000000,0.132043
4034.000000,0.133160
4035.000000,0.134280
4036.000000,0.135402
4037.000000,0.136528
4038.000000,0.137657
4039.000000,0.138788
4040.000000,0.139923
4041.000000,0.141045
