wave,trans
5369.000000,0.000000
5370.000000,0.000000
5371.000000,0.000827
5372.000000,0.001653
5373.000000,0.002480
5374.000000,0.003307
5375.000000,0.004134
5376.000000,0.004962
5377.000000,0.005813
5378.000000,0.006664
5379.000000,0.007494
5380.000000,0.008324
5381.000000,0.009153
5382.000000,0.009982
5383.000000,0.010811
5384.000000,0.011640
5385.000000,0.012470
5386.000000,0.013299
5387.000000,0.014129
5388.000000,0.014959
5389.000000,0.015811
5390.000000,0.016663
5391.000000,0.017493
5392.000000,0.018322
5393.000000,0.019152
5394.000000,0.019981
5395.000000,0.020810
5396.000000,0.021640
5397.000000,0.022469
5398.000000,0.023299
5399.000000,0.024128
5400.000000,0.024957
5401.000000,0.025807
5402.000000,0.026657
5403.000000,0.027484
5404.000000,0.028312
5405.000000,0.029139
5406.000000,0.029960
5407.000000,0.030780
5408.000000,0.031599
5409.000000,0.032418
5410.000000,0.033236
5411.000000,0.034067
5412.000000,0.034899
5413.000000,0.035752
5414.000000,0.036605
5415.000000,0.037437
5416.000000,0.038268
5417.000000,0.039101
5418.000000,0.039933
5419.000000,0.040765
5420.000000,0.041598
5421.000000,0.043254
5422.000000,0.044910
5423.000000,0.046588
5424.000000,0.048266
5425.000000,0.049922
5426.000000,0.051590
5427.000000,0.053258
5428.000000,0.054927
5429.000000,0.056618
5430.000000,0.058310
5431.000000,0.059968
5432.000000,0.061625
5433.000000,0.063282
5434.000000,0.064939
5435.000000,0.066618
5436.000000,0.068297
5437.000000,0.069954
5438.000000,0.071611
5439.000000,0.073268
5440.000000,0.074925
5441.000000,0.076604
5442.000000,0.078284
5443.000000,0.079943
5444.000000,0.081601
5445.000000,0.083260
5446.000000,0.084919
5447.000000,0.086578
5448.000000,0.088237
5449.000000,0.089919
5450.000000,0.091601
5451.000000,0.093266
5452.000000,0.094932
5453.000000,0.096598
5454.000000,0.098265
5455.000000,0.099953
5456.000000,0.101642
5457.000000,0.103310
5458.000000,0.104978
5459.000000,0.106646
5460.000000,0.108315
5461.000000,0.110002
5462.000000,0.111689
5463.000000,0.113354
5464.000000,0.115019
5465.000000,0.116685
5466.000000,0.118350
5467.000000,0.120038
5468.000000,0.121726
5469.000000,0.123392
5470.000000,0.125058
5471.000000,0.126770
5472.000000,0.128483
5473.000000,0.130219
5474.000000,0.131957
5475.000000,0.133675
5476.000000,0.135363
5477.000000,0.137051
5478.000000,0.138741
5479.000000,0.140452
5480.000000,0.142165
5481.000000,0.143829
5482.000000,0.145492
5483.000000,0.147156
5484.000000,0.148820
5485.000000,0.150505
5486.000000,0.152191
5487.000000,0.153854
5488.000000,0.155518
5489.000000,0.157181
5490.000000,0.158845
5491.000000,0.160530
5492.000000,0.162216
5493.000000,0.163879
5494.000000,0.165543
5495.000000,0.167206
5496.000000,0.168908
5497.000000,0.170610
5498.000000,0.172313
5499.000000,0.174039
5500.000000,0.175765
5501.000000,0.177455
5502.000000,0.179144
5503.000000,0.180835
5504.000000,0.182526
5505.000000,0.184239
5506.000000,0.185952
5507.000000,0.187644
5508.000000,0.189337
5509.000000,0.191030
5510.000000,0.192723
5511.000000,0.194417
5512.000000,0.196112
5513.000000,0.197785
5514.000000,0.199458
5515.000000,0.201131
5516.000000,0.202804
5517.000000,0.204499
5518.000000,0.206194
5519.000000,0.207867
5520.000000,0.209540
5521.000000,0.211236
5522.000000,0.212932
5523.000000,0.214651
5524.000000,0.216370
5525.000000,0.218067
5526.000000,0.219765
5527.000000,0.221463
5528.000000,0.223162
5529.000000,0.224883
5530.000000,0.226605
5531.000000,0.228280
5532.000000,0.229955
5533.000000,0.231630
5534.000000,0.233305
5535.000000,0.235002
5536.000000,0.236699
5537.000000,0.238374
5538.000000,0.240049
5539.000000,0.241725
5540.000000,0.243400
5541.000000,0.245100
5542.000000,0.246801
5543.000000,0.248480
5544.000000,0.250158
5545.000000,0.251837
5546.000000,0.253573
5547.000000,0.255310
5548.000000,0.257048
5549.000000,0.258809
5550.000000,0.260570
5551.000000,0.262273
5552.000000,0.263975
5553.000000,0.265678
5554.000000,0.267381
5555.000000,0.269106
5556.000000,0.270769
5557.000000,0.272409
5558.000000,0.274048
5559.000000,0.275688
5560.000000,0.277326
5561.000000,0.278976
5562.000000,0.280624
5563.000000,0.282250
5564.000000,0.283876
5565.000000,0.285501
5566.000000,0.287190
5567.000000,0.288901
5568.000000,0.290613
5569.000000,0.292302
5570.000000,0.293992
5571.000000,0.295645
5572.000000,0.297297
5573.000000,0.298972
5574.000000,0.300646
5575.000000,0.302298
5576.000000,0.303949
5577.000000,0.305601
5578.000000,0.307252
5579.000000,0.308925
5580.000000,0.310597
5581.000000,0.312257
5582.000000,0.313917
5583.000000,0.315576
5584.000000,0.317236
5585.000000,0.318917
5586.000000,0.320599
5587.000000,0.322258
5588.000000,0.323917
5589.000000,0.325575
5590.000000,0.327234
5591.000000,0.328891
5592.000000,0.330547
5593.000000,0.332181
5594.000000,0.333815
5595.000000,0.335448
5596.000000,0.337005
5597.000000,0.338561
5598.000000,0.340116
5599.000000,0.341691
5600.000000,0.343266
5601.000000,0.344950
5602.000000,0.346635
5603.000000,0.348319
5604.000000,0.350004
5605.000000,0.351711
5606.000000,0.353418
5607.000000,0.355103
5608.000000,0.356789
5609.000000,0.358475
5610.000000,0.360160
5611.000000,0.361847
5612.000000,0.363533
5613.000000,0.365198
5614.000000,0.366862
5615.000000,0.368526
5616.000000,0.370107
5617.000000,0.371709
5618.000000,0.373310
5619.000000,0.374889
5620.000000,0.376466
5621.000000,0.378122
5622.000000,0.379779
5623.000000,0.381457
5624.000000,0.383135
5625.000000,0.384791
5626.000000,0.386447
5627.000000,0.387905
5628.000000,0.389364
5629.000000,0.390186
5630.000000,0.391009
5631.000000,0.391856
5632.000000,0.392704
5633.000000,0.393552
5634.000000,0.394399
5635.000000,0.395247
5636.000000,0.396095
5637.000000,0.396965
5638.000000,0.397835
5639.000000,0.398683
5640.000000,0.399531
5641.000000,0.400328
5642.000000,0.401125
5643.000000,0.401922
5644.000000,0.402719
5645.000000,0.403516
