wave,trans
3053.000000,0.000000
3054.000000,0.000000
3055.000000,0.000001
3056.000000,0.000002
3057.000000,0.000004
3058.000000,0.000006
3059.000000,0.000008
3060.000000,0.000011
3061.000000,0.000013
3062.000000,0.000015
3063.000000,0.000017
3064.000000,0.000020
3065.000000,0.000022
3066.000000,0.000025
3067.000000,0.000028
3068.000000,0.000031
3069.000000,0.000033
3070.000000,0.000036
3071.000000,0.000039
3072.000000,0.000043
3073.000000,0.000046
3074.000000,0.000049
3075.000000,0.000052
3076.000000,0.000055
3077.000000,0.000058
3078.000000,0.000061
3079.000000,0.000064
3080.000000,0.000066
3081.000000,0.000069
3082.000000,0.000072
3083.000000,0.000074
3084.000000,0.000077
3085.000000,0.000079
3086.000000,0.000082
3087.000000,0.000085
3088.000000,0.000088
3089.000000,0.000091
3090.000000,0.000093
3091.000000,0.000097
3092.000000,0.000100
3093.000000,0.000104
3094.000000,0.000107
3095.000000,0.000110
3096.000000,0.000113
3097.000000,0.000116
3098.000000,0.000119
3099.000000,0.000122
3100.000000,0.000124
3101.000000,0.000126
3102.000000,0.000128
3103.000000,0.000130
3104.000000,0.000132
3105.000000,0.000136
3106.000000,0.000138
3107.000000,0.000142
3108.000000,0.000146
3109.000000,0.000150
3110.000000,0.000154
3111.000000,0.000158
3112.000000,0.000163
3113.000000,0.000167
3114.000000,0.000171
3115.000000,0.000175
3116.000000,0.000180
3117.000000,0.000185
3118.000000,0.000189
3119.000000,0.000194
3120.000000,0.000198
3121.000000,0.000203
3122.000000,0.000208
3123.000000,0.000213
3124.000000,0.000217
3125.000000,0.000222
3126.000000,0.000224
3127.000000,0.000227
3128.000000,0.000229
3129.000000,0.000231
3130.000000,0.000233
3131.000000,0.000237
3132.000000,0.000240
3133.000000,0.000244
3134.000000,0.000247
3135.000000,0.000250
3136.000000,0.000255
3137.000000,0.000260
3138.000000,0.000265
3139.000000,0.000270
3140.000000,0.000275
3141.000000,0.000284
3142.000000,0.000293
3143.000000,0.000302
3144.000000,0.000311
3145.000000,0.000321
3146.000000,0.000328
3147.000000,0.000336
3148.000000,0.000343
3149.000000,0.000351
3150.000000,0.000359
3151.000000,0.000369
3152.000000,0.000380
3153.000000,0.000392
3154.000000,0.000403
3155.000000,0.000415
3156.000000,0.000429
3157.000000,0.000443
3158.000000,0.000458
3159.000000,0.000473
3160.000000,0.000488
3161.000000,0.000516
3162.000000,0.000544
3163.000000,0.000574
3164.000000,0.000604
3165.000000,0.000635
3166.000000,0.000664
3167.000000,0.000693
3168.000000,0.000723
3169.000000,0.000753
3170.000000,0.000784
3171.000000,0.000821
3172.000000,0.000857
3173.000000,0.000895
3174.000000,0.000933
3175.000000,0.000972
3176.000000,0.001017
3177.000000,0.001063
3178.000000,0.001110
3179.000000,0.001159
3180.000000,0.001208
3181.000000,0.001279
3182.000000,0.001351
3183.000000,0.001426
3184.000000,0.001503
3185.000000,0.001583
3186.000000,0.001659
3187.000000,0.001737
3188.000000,0.001817
3189.000000,0.001899
3190.000000,0.001983
3191.000000,0.002064
3192.000000,0.002147
3193.000000,0.002231
3194.000000,0.002315
3195.000000,0.002401
3196.000000,0.002492
3197.000000,0.002585
3198.000000,0.002679
3199.000000,0.002775
3200.000000,0.002872
3201.000000,0.003009
3202.000000,0.003151
3203.000000,0.003296
3204.000000,0.003445
3205.000000,0.003597
3206.000000,0.003759
3207.000000,0.003926
3208.000000,0.004097
3209.000000,0.004272
3210.000000,0.004452
3211.000000,0.004619
3212.000000,0.004789
3213.000000,0.004963
3214.000000,0.005139
3215.000000,0.005318
3216.000000,0.005463
3217.000000,0.005610
3218.000000,0.005757
3219.000000,0.005906
3220.000000,0.006055
3221.000000,0.006229
3222.000000,0.006405
3223.000000,0.006583
3224.000000,0.006762
3225.000000,0.006943
3226.000000,0.007186
3227.000000,0.007434
3228.000000,0.007687
3229.000000,0.007946
3230.000000,0.008209
3231.000000,0.008526
3232.000000,0.008850
3233.000000,0.009182
3234.000000,0.009521
3235.000000,0.009868
3236.000000,0.010159
3237.000000,0.010456
3238.000000,0.010758
3239.000000,0.011065
3240.000000,0.011377
3241.000000,0.011628
3242.000000,0.011880
3243.000000,0.012134
3244.000000,0.012390
3245.000000,0.012646
3246.000000,0.012898
3247.000000,0.013152
3248.000000,0.013407
3249.000000,0.013664
3250.000000,0.013922
3251.000000,0.014278
3252.000000,0.014639
3253.000000,0.015005
3254.000000,0.015376
3255.000000,0.015751
3256.000000,0.016200
3257.000000,0.016658
3258.000000,0.017125
3259.000000,0.017599
3260.000000,0.018082
3261.000000,0.018563
3262.000000,0.019052
3263.000000,0.019549
3264.000000,0.020054
3265.000000,0.020566
3266.000000,0.020983
3267.000000,0.021407
3268.000000,0.021835
3269.000000,0.022267
3270.000000,0.022704
3271.000000,0.023080
3272.000000,0.023458
3273.000000,0.023838
3274.000000,0.024220
3275.000000,0.024602
3276.000000,0.025009
3277.000000,0.025419
3278.000000,0.025833
3279.000000,0.026249
3280.000000,0.026667
3281.000000,0.027245
3282.000000,0.027831
3283.000000,0.028425
3284.000000,0.029027
3285.000000,0.029635
3286.000000,0.030318
3287.000000,0.031013
3288.000000,0.031718
3289.000000,0.032435
3290.000000,0.033161
3291.000000,0.033788
3292.000000,0.034422
3293.000000,0.035063
3294.000000,0.035713
3295.000000,0.036367
3296.000000,0.036906
3297.000000,0.037451
3298.000000,0.038001
3299.000000,0.038554
3300.000000,0.039112
3301.000000,0.039585
3302.000000,0.040060
3303.000000,0.040537
3304.000000,0.041016
3305.000000,0.041495
3306.000000,0.042030
3307.000000,0.042570
3308.000000,0.043114
3309.000000,0.043662
3310.000000,0.044213
3311.000000,0.044877
3312.000000,0.045547
3313.000000,0.046148
3314.000000,0.046754
3315.000000,0.047343
3316.000000,0.048036
3317.000000,0.048734
3318.000000,0.049437
3319.000000,0.050148
3320.000000,0.050865
3321.000000,0.051475
3322.000000,0.052091
3323.000000,0.052708
3324.000000,0.053330
3325.000000,0.053959
3326.000000,0.054484
3327.000000,0.055009
3328.000000,0.055537
3329.000000,0.056067
3330.000000,0.056600
3331.000000,0.057003
3332.000000,0.057407
3333.000000,0.057808
3334.000000,0.058210
3335.000000,0.058617
3336.000000,0.059096
3337.000000,0.059573
3338.000000,0.060052
3339.000000,0.060533
3340.000000,0.061016
3341.000000,0.061649
3342.000000,0.062286
3343.000000,0.062925
3344.000000,0.063569
3345.000000,0.064222
3346.000000,0.064905
3347.000000,0.065558
3348.000000,0.066217
3349.000000,0.066781
3350.000000,0.067349
3351.000000,0.067826
3352.000000,0.068307
3353.000000,0.068790
3354.000000,0.069276
3355.000000,0.069764
3356.000000,0.070173
3357.000000,0.070584
3358.000000,0.070997
3359.000000,0.071412
3360.000000,0.071827
3361.000000,0.072143
3362.000000,0.072460
3363.000000,0.072776
3364.000000,0.073093
3365.000000,0.073411
3366.000000,0.073728
3367.000000,0.074045
3368.000000,0.074363
3369.000000,0.074681
3370.000000,0.075000
3371.000000,0.075323
3372.000000,0.075646
3373.000000,0.075970
3374.000000,0.076295
3375.000000,0.076620
3376.000000,0.077096
3377.000000,0.077573
3378.000000,0.078052
3379.000000,0.078533
3380.000000,0.079015
3381.000000,0.079459
3382.000000,0.079903
3383.000000,0.080350
3384.000000,0.080798
3385.000000,0.081247
3386.000000,0.081605
3387.000000,0.081965
3388.000000,0.082325
3389.000000,0.082686
3390.000000,0.083048
3391.000000,0.083355
3392.000000,0.083663
3393.000000,0.083971
3394.000000,0.084279
3395.000000,0.084588
3396.000000,0.084833
3397.000000,0.085078
3398.000000,0.085323
3399.000000,0.085568
3400.000000,0.085813
3401.000000,0.086039
3402.000000,0.086265
3403.000000,0.086491
3404.000000,0.086717
3405.000000,0.086943
3406.000000,0.087234
3407.000000,0.087525
3408.000000,0.087817
3409.000000,0.088109
3410.000000,0.088402
3411.000000,0.088648
3412.000000,0.088895
3413.000000,0.089142
3414.000000,0.089389
3415.000000,0.089637
3416.000000,0.089886
3417.000000,0.090135
3418.000000,0.090384
3419.000000,0.090633
3420.000000,0.090883
3421.000000,0.091075
3422.000000,0.091267
3423.000000,0.091459
3424.000000,0.091651
3425.000000,0.091843
3426.000000,0.091967
3427.000000,0.092091
3428.000000,0.092215
3429.000000,0.092338
3430.000000,0.092461
3431.000000,0.092541
3432.000000,0.092621
3433.000000,0.092701
3434.000000,0.092780
3435.000000,0.092859
3436.000000,0.092938
3437.000000,0.093017
3438.000000,0.093096
3439.000000,0.093175
3440.000000,0.093253
3441.000000,0.093368
3442.000000,0.093483
3443.000000,0.093597
3444.000000,0.093711
