wave,trans
8029.000000,0.000000
8030.000000,0.000000
8031.000000,0.000887
8032.000000,0.001775
8033.000000,0.002640
8034.000000,0.003505
8035.000000,0.004394
8036.000000,0.005282
8037.000000,0.006147
8038.000000,0.007013
8039.000000,0.007901
8040.000000,0.008790
8041.000000,0.009654
8042.000000,0.010517
8043.000000,0.011405
8044.000000,0.012291
8045.000000,0.013155
8046.000000,0.014024
8047.000000,0.014917
8048.000000,0.015810
8049.000000,0.016704
8050.000000,0.017599
8051.000000,0.018472
8052.000000,0.019346
8053.000000,0.020243
8054.000000,0.021142
8055.000000,0.022018
8056.000000,0.022885
8057.000000,0.023775
8058.000000,0.024666
8059.000000,0.025533
8060.000000,0.026400
8061.000000,0.027289
8062.000000,0.028179
8063.000000,0.029069
8064.000000,0.029959
8065.000000,0.030825
8066.000000,0.031691
8067.000000,0.032581
8068.000000,0.033470
8069.000000,0.034336
8070.000000,0.035202
8071.000000,0.036089
8072.000000,0.036976
8073.000000,0.037838
8074.000000,0.038701
8075.000000,0.039587
8076.000000,0.040473
8077.000000,0.041335
8078.000000,0.042196
8079.000000,0.043082
8080.000000,0.043966
8081.000000,0.045710
8082.000000,0.047452
8083.000000,0.049193
8084.000000,0.050933
8085.000000,0.052673
8086.000000,0.054411
8087.000000,0.056148
8088.000000,0.057885
8089.000000,0.059643
8090.000000,0.061401
8091.000000,0.063142
8092.000000,0.064882
8093.000000,0.066621
8094.000000,0.068360
8095.000000,0.070099
8096.000000,0.071851
8097.000000,0.073604
8098.000000,0.075356
8099.000000,0.077109
8100.000000,0.078862
8101.000000,0.080613
8102.000000,0.082364
8103.000000,0.084115
8104.000000,0.085866
8105.000000,0.087641
8106.000000,0.089378
8107.000000,0.091091
8108.000000,0.092803
8109.000000,0.094513
8110.000000,0.096222
8111.000000,0.097899
8112.000000,0.099572
8113.000000,0.101244
8114.000000,0.102913
8115.000000,0.104579
8116.000000,0.106265
8117.000000,0.107949
8118.000000,0.109631
8119.000000,0.111311
8120.000000,0.112990
8121.000000,0.114729
8122.000000,0.116468
8123.000000,0.118184
8124.000000,0.119898
8125.000000,0.121612
8126.000000,0.123147
8127.000000,0.124676
8128.000000,0.126200
8129.000000,0.127718
8130.000000,0.129230
8131.000000,0.130534
8132.000000,0.131827
8133.000000,0.133109
8134.000000,0.134381
8135.000000,0.135641
8136.000000,0.137152
8137.000000,0.138659
8138.000000,0.140162
8139.000000,0.141682
8140.000000,0.143198
8141.000000,0.144793
8142.000000,0.146386
8143.000000,0.147977
8144.000000,0.149566
8145.000000,0.151153
8146.000000,0.152510
8147.000000,0.153859
8148.000000,0.155201
8149.000000,0.156536
8150.000000,0.157863
8151.000000,0.159133
8152.000000,0.160395
8153.000000,0.161648
8154.000000,0.162894
8155.000000,0.164153
8156.000000,0.165440
8157.000000,0.166699
8158.000000,0.167950
8159.000000,0.169193
8160.000000,0.170429
8161.000000,0.171808
8162.000000,0.173182
8163.000000,0.174552
8164.000000,0.175917
8165.000000,0.177277
8166.000000,0.179430
8167.000000,0.181592
8168.000000,0.183764
8169.000000,0.185946
8170.000000,0.188138
8171.000000,0.189799
8172.000000,0.191461
8173.000000,0.193101
8174.000000,0.194742
8175.000000,0.196382
8176.000000,0.197241
8177.000000,0.198087
8178.000000,0.198920
8179.000000,0.199740
8180.000000,0.200548
8181.000000,0.202772
8182.000000,0.205006
8183.000000,0.207250
8184.000000,0.209503
8185.000000,0.211767
8186.000000,0.213899
8187.000000,0.216039
8188.000000,0.218186
8189.000000,0.220363
8190.000000,0.222548
8191.000000,0.224241
8192.000000,0.225935
8193.000000,0.227629
8194.000000,0.229325
8195.000000,0.231021
8196.000000,0.232667
8197.000000,0.234313
8198.000000,0.235959
8199.000000,0.237605
8200.000000,0.239251
8201.000000,0.242162
8202.000000,0.245091
8203.000000,0.248037
8204.000000,0.251000
8205.000000,0.254003
8206.000000,0.256699
8207.000000,0.259385
8208.000000,0.262085
8209.000000,0.264797
8210.000000,0.267522
8211.000000,0.269122
8212.000000,0.270720
8213.000000,0.272316
8214.000000,0.273911
8215.000000,0.275505
8216.000000,0.276577
8217.000000,0.277640
8218.000000,0.278696
8219.000000,0.279744
8220.000000,0.280785
8221.000000,0.280147
8222.000000,0.279480
8223.000000,0.278763
8224.000000,0.278016
8225.000000,0.277241
8226.000000,0.275639
8227.000000,0.273998
8228.000000,0.272320
8229.000000,0.270603
8230.000000,0.268848
8231.000000,0.271820
8232.000000,0.274808
8233.000000,0.277812
8234.000000,0.280832
8235.000000,0.283869
8236.000000,0.288804
8237.000000,0.293777
8238.000000,0.298786
8239.000000,0.303854
8240.000000,0.308959
8241.000000,0.311962
8242.000000,0.314980
8243.000000,0.318012
8244.000000,0.321058
8245.000000,0.324119
8246.000000,0.326166
8247.000000,0.328217
8248.000000,0.330271
