wave,trans
3630.000000,0.000000
3655.000000,0.000300
3680.000000,0.000800
3705.000000,0.001300
3730.000000,0.001900
3755.000000,0.002400
3780.000000,0.003400
3805.000000,0.005500
3830.000000,0.010300
3855.000000,0.019400
3880.000000,0.032600
3905.000000,0.049200
3930.000000,0.068600
3955.000000,0.090000
3980.000000,0.112300
4005.000000,0.134200
4030.000000,0.154500
4055.000000,0.172200
4080.000000,0.187300
4105.000000,0.200300
4130.000000,0.211600
4155.000000,0.221400
4180.000000,0.230100
4205.000000,0.237800
4230.000000,0.244800
4255.000000,0.251300
4280.000000,0.257400
4305.000000,0.263300
4330.000000,0.269100
4355.000000,0.274700
4380.000000,0.280100
4405.000000,0.285200
4430.000000,0.289900
4455.000000,0.294000
4480.000000,0.297900
4505.000000,0.301600
4530.000000,0.305500
4555.000000,0.309700
4580.000000,0.314100
4605.000000,0.318400
4630.000000,0.322400
4655.000000,0.325700
4680.000000,0.328400
4705.000000,0.330700
4730.000000,0.332700
4755.000000,0.334600
4780.000000,0.336400
4805.000000,0.338300
4830.000000,0.340300
4855.000000,0.342500
4880.000000,0.344800
4905.000000,0.347200
4930.000000,0.349500
4955.000000,0.351900
4980.000000,0.354100
5005.000000,0.356200
5030.000000,0.358100
5055.000000,0.359700
5080.000000,0.360900
5105.000000,0.361300
5130.000000,0.360900
5155.000000,0.359500
5180.000000,0.358100
5205.000000,0.355800
5230.000000,0.345200
5255.000000,0.319400
5280.000000,0.280700
5305.000000,0.233900
5330.000000,0.183900
5355.000000,0.135200
5380.000000,0.091100
5405.000000,0.054800
5430.000000,0.029500
5455.000000,0.016600
5480.000000,0.011200
5505.000000,0.007700
5530.000000,0.005000
5555.000000,0.003200
5580.000000,0.002100
5605.000000,0.001500
5630.000000,0.001200
5655.000000,0.001000
5680.000000,0.000900
5705.000000,0.000800
5730.000000,0.000600
5755.000000,0.000500
5780.000000,0.000300
5805.000000,0.000100
5830.000000,0.000000
