wave,trans
6430.000000,0.000000
6455.000000,0.000100
6480.000000,0.000300
6505.000000,0.000400
6530.000000,0.000400
6555.000000,0.000300
6580.000000,0.000300
6605.000000,0.000400
6630.000000,0.000900
6655.000000,0.001900
6680.000000,0.003400
6705.000000,0.005600
6730.000000,0.010300
6755.000000,0.019400
6780.000000,0.034400
6805.000000,0.056100
6830.000000,0.083900
6855.000000,0.116400
6880.000000,0.152800
6905.000000,0.194800
6930.000000,0.240800
6955.000000,0.285700
6980.000000,0.323300
7005.000000,0.350300
7030.000000,0.375900
7055.000000,0.399000
7080.000000,0.416200
7105.000000,0.423300
7130.000000,0.416500
7155.000000,0.394300
7180.000000,0.376000
7205.000000,0.382300
7230.000000,0.391800
7255.000000,0.389200
7280.000000,0.382800
7305.000000,0.382000
7330.000000,0.388400
7355.000000,0.387200
7380.000000,0.382100
7405.000000,0.378700
7430.000000,0.375900
7455.000000,0.372700
7480.000000,0.368100
7505.000000,0.361800
7530.000000,0.356500
7555.000000,0.355400
7580.000000,0.347800
7605.000000,0.147300
7630.000000,0.209600
7655.000000,0.264800
7680.000000,0.330000
7705.000000,0.325600
7730.000000,0.322300
7755.000000,0.317900
7780.000000,0.312900
7805.000000,0.307700
7830.000000,0.302600
7855.000000,0.298000
7880.000000,0.294400
7905.000000,0.292100
7930.000000,0.291600
7955.000000,0.292100
7980.000000,0.292700
8005.000000,0.292300
8030.000000,0.289600
8055.000000,0.284000
8080.000000,0.275800
8105.000000,0.264200
8130.000000,0.242700
8155.000000,0.209100
8180.000000,0.168900
8205.000000,0.127600
8230.000000,0.090100
8255.000000,0.060300
8280.000000,0.037800
8305.000000,0.021800
8330.000000,0.011700
8355.000000,0.006800
8380.000000,0.004800
8405.000000,0.003300
8430.000000,0.002000
8455.000000,0.001300
8480.000000,0.001000
8505.000000,0.000900
8530.000000,0.000900
8555.000000,0.000800
8580.000000,0.000500
8605.000000,0.000200
8630.000000,0.000000
