wave,trans
5380.000000,0.000000
5405.000000,0.001400
5430.000000,0.009900
5455.000000,0.025900
5480.000000,0.049700
5505.000000,0.080700
5530.000000,0.118600
5555.000000,0.162500
5580.000000,0.209300
5605.000000,0.255500
5630.000000,0.297500
5655.000000,0.332600
5680.000000,0.360900
5705.000000,0.383400
5730.000000,0.401000
5755.000000,0.414700
5780.000000,0.425300
5805.000000,0.433300
5830.000000,0.439500
5855.000000,0.444600
5880.000000,0.448900
5905.000000,0.452700
5930.000000,0.456300
5955.000000,0.459900
5980.000000,0.463400
6005.000000,0.466500
6030.000000,0.468900
6055.000000,0.470300
6080.000000,0.471100
6105.000000,0.471700
6130.000000,0.472700
6155.000000,0.474400
6180.000000,0.476700
6205.000000,0.479200
6230.000000,0.481900
6255.000000,0.484400
6280.000000,0.486700
6305.000000,0.488700
6330.000000,0.490200
6355.000000,0.490900
6380.000000,0.491200
6405.000000,0.491200
6430.000000,0.491200
6455.000000,0.491400
6480.000000,0.491500
6505.000000,0.491200
6530.000000,0.490100
6555.000000,0.487800
6580.000000,0.485200
6605.000000,0.481800
6630.000000,0.469700
6655.000000,0.442100
6680.000000,0.400900
6705.000000,0.349900
6730.000000,0.292400
6755.000000,0.231800
6780.000000,0.171500
6805.000000,0.115200
6830.000000,0.068700
6855.000000,0.038000
6880.000000,0.021200
6905.000000,0.013400
6930.000000,0.009900
6955.000000,0.007600
6980.000000,0.005500
7005.000000,0.003900
7030.000000,0.002700
7055.000000,0.002000
7080.000000,0.001500
7105.000000,0.001200
7130.000000,0.001000
7155.000000,0.000700
7180.000000,0.000400
7205.000000,0.000200
7230.000000,0.000000
