            filter      system    mag(Vega/ST)    mag(Vega/AB)
            CFHT_u          AB       -0.424539        0.367125
            CFHT_g          AB       -0.357651       -0.091810
            CFHT_r          AB        0.440900        0.154376
        CFHT_i_new          AB        1.055841        0.361670
        CFHT_i_old          AB        1.119709        0.385491
            CFHT_z          AB        1.558980        0.513837
           DECam_u          AB       -0.420184        0.340835
           DECam_g          AB       -0.366396       -0.089596
           DECam_r          AB        0.529093        0.182467
           DECam_i          AB        1.176206        0.405898
           DECam_z          AB        1.634043        0.516983
           DECam_Y          AB        1.843140        0.564316
         GALEX_FUV          AB       -0.631684        2.123122
         GALEX_NUV          AB       -0.216471        1.665903
     ACS_HRC_F220W        Vega       -0.242516        1.683496
     ACS_HRC_F250W        Vega       -0.026944        1.495635
     ACS_HRC_F330W        Vega        0.123693        1.182286
     ACS_HRC_F344N        Vega        0.137867        1.151053
     ACS_HRC_F435W        Vega       -0.605858       -0.086591
     ACS_HRC_F475W        Vega       -0.390985       -0.093936
     ACS_HRC_F502N        Vega       -0.270890       -0.083596
     ACS_HRC_F550M        Vega        0.065311        0.024283
     ACS_HRC_F555W        Vega       -0.055068       -0.007055
     ACS_HRC_F606W        Vega        0.238048        0.080791
     ACS_HRC_F625W        Vega        0.463040        0.160116
     ACS_HRC_F658N        Vega        0.776888        0.376572
     ACS_HRC_F660N        Vega        0.684204        0.278863
     ACS_HRC_F775W        Vega        1.113686        0.383335
     ACS_HRC_F814W        Vega        1.279988        0.425512
    ACS_HRC_F850LP        Vega        1.635112        0.521485
     ACS_HRC_F892N        Vega        1.546341        0.487505
     ACS_WFC_F435W        Vega       -0.612699       -0.101679
     ACS_WFC_F475W        Vega       -0.408606       -0.097875
     ACS_WFC_F502N        Vega       -0.270926       -0.083681
     ACS_WFC_F550M        Vega        0.066147        0.024511
     ACS_WFC_F555W        Vega       -0.052478       -0.006312
     ACS_WFC_F606W        Vega        0.255801        0.086500
     ACS_WFC_F625W        Vega        0.471701        0.163258
     ACS_WFC_F658N        Vega        0.776774        0.376382
     ACS_WFC_F660N        Vega        0.684181        0.278710
     ACS_WFC_F775W        Vega        1.126465        0.387955
     ACS_WFC_F814W        Vega        1.263223        0.423663
    ACS_WFC_F850LP        Vega        1.607517        0.519586
     ACS_WFC_F892N        Vega        1.547434        0.488893
  WFC3_UVIS_F200LP        Vega        0.240419        0.451333
   WFC3_UVIS_F218W        Vega       -0.260883        1.691151
