wave,trans
3000.0,0.0
3010.0,0.0
3020.0,0.0
3030.0,0.0
3040.0,0.0
3050.0,0.0
3060.0,0.0
3070.0,0.0
3080.0,0.0
3090.0,0.0
3100.0,0.0
3110.0,0.0
3120.0,0.0
3130.0,0.0
3140.0,0.0
3150.0,0.0
3160.0,0.0
3170.0,0.0
3180.0,0.0
3190.0,0.0
3200.0,0.0
3210.0,0.0
3220.0,0.0
3230.0,0.0
3240.0,0.0
3250.0,0.0
3260.0,0.0
3270.0,0.0
3280.0,0.0
3290.0,0.0
3300.0,0.0
3310.0,0.0
3320.0,0.0
3330.0,0.0
3340.0,0.0
3350.0,0.0
3360.0,0.0
3370.0,0.0
3380.0,0.0
3390.0,0.0
3400.0,0.0
3410.0,0.0
3420.0,0.00025
3430.0,0.00024
3440.0,0.00024
3450.0,0.00023
3460.0,0.00023
3470.0,0.00022
3480.0,0.00021
3490.0,0.00021
3500.0,0.0002
3510.0,0.0002
3520.0,0.00019
3530.0,0.00019
3540.0,0.00019
3550.0,0.00018
3560.0,0.00018
3570.0,0.00018
3580.0,0.00018
3590.0,0.00017
3600.0,0.00017
3610.0,0.00017
3620.0,0.00017
3630.0,0.00017
3640.0,0.00017
3650.0,0.00017
3660.0,0.00017
3670.0,0.00017
3680.0,0.00017
3690.0,0.00017
3700.0,0.00018
3710.0,0.00018
3720.0,0.00017
3730.0,0.00017
3740.0,0.00017
3750.0,0.00018
3760.0,0.00019
3770.0,0.00019
3780.0,0.00021
3790.0,0.00024
3800.0,0.00026
3810.0,0.00029
3820.0,0.00033
3830.0,0.00039
3840.0,0.00044
3850.0,0.00052
3860.0,0.00063
3870.0,0.00073
3880.0,0.0009
3890.0,0.00107
3900.0,0.00134
3910.0,0.0018
3920.0,0.00241
3930.0,0.00313
3940.0,0.00385
3950.0,0.01242
3960.0,0.04417
3970.0,0.0857
3980.0,0.11965
3990.0,0.12397
4000.0,0.13403
4010.0,0.13963
4020.0,0.14745
4030.0,0.14977
4040.0,0.15125
4050.0,0.15274
4060.0,0.15597
4070.0,0.15923
4080.0,0.16179
4090.0,0.16405
4100.0,0.16628
4110.0,0.16802
4120.0,0.17082
4130.0,0.17365
4140.0,0.17575
4150.0,0.17819
4160.0,0.18354
4170.0,0.18631
4180.0,0.18824
4190.0,0.19017
4200.0,0.19075
4210.0,0.19168
4220.0,0.19447
4230.0,0.19692
4240.0,0.20192
4250.0,0.2038
4260.0,0.20665
4270.0,0.20913
4280.0,0.21235
4290.0,0.2152
4300.0,0.21956
4310.0,0.22112
4320.0,0.22403
4330.0,0.22447
4340.0,0.22781
4350.0,0.23068
4360.0,0.23272
4370.0,0.23325
4380.0,0.23886
4390.0,0.24306
4400.0,0.24334
4410.0,0.24795
4420.0,0.24901
4430.0,0.25135
4440.0,0.25264
4450.0,0.25457
4460.0,0.25654
4470.0,0.25874
4480.0,0.26059
4490.0,0.26195
4500.0,0.26252
4510.0,0.26576
4520.0,0.2669
4530.0,0.26996
4540.0,0.27182
4550.0,0.27432
4560.0,0.27366
4570.0,0.27639
4580.0,0.27663
4590.0,0.27827
4600.0,0.28077
4610.0,0.28185
4620.0,0.28471
4630.0,0.28687
4640.0,0.28892
4650.0,0.28982
4660.0,0.291
4670.0,0.29274
4680.0,0.29265
4690.0,0.29258
4700.0,0.2942
4710.0,0.29852
4720.0,0.29741
4730.0,0.29887
4740.0,0.30065
4750.0,0.30228
4760.0,0.30478
4770.0,0.3055
4780.0,0.30591
4790.0,0.30625
4800.0,0.30734
4810.0,0.31012
4820.0,0.31095
4830.0,0.31283
4840.0,0.31411
4850.0,0.31356
4860.0,0.31298
4870.0,0.3149
4880.0,0.31702
4890.0,0.31904
4900.0,0.31977
4910.0,0.32262
4920.0,0.32339
4930.0,0.3234
4940.0,0.32311
4950.0,0.32308
4960.0,0.32533
4970.0,0.32642
4980.0,0.32876
4990.0,0.33072
5000.0,0.33022
5010.0,0.33209
5020.0,0.33272
5030.0,0.33466
5040.0,0.33534
5050.0,0.3362
5060.0,0.33652
5070.0,0.33795
5080.0,0.33978
5090.0,0.34055
5100.0,0.3427
5110.0,0.34272
5120.0,0.34157
5130.0,0.34206
5140.0,0.34304
5150.0,0.3458
5160.0,0.34685
5170.0,0.34807
5180.0,0.34834
5190.0,0.34929
5200.0,0.35023
5210.0,0.35198
5220.0,0.35408
5230.0,0.35637
5240.0,0.35843
5250.0,0.35922
5260.0,0.36046
5270.0,0.35977
5280.0,0.36034
5290.0,0.36029
5300.0,0.36066
5310.0,0.36117
5320.0,0.36331
5330.0,0.36362
5340.0,0.3655
5350.0,0.36708
5360.0,0.36876
5370.0,0.36906
5380.0,0.36849
5390.0,0.365
5400.0,0.36467
5410.0,0.36242
5420.0,0.36734
5430.0,0.3716
5440.0,0.37607
5450.0,0.32277
5460.0,0.32495
5470.0,0.24254
5480.0,0.13981
5490.0,0.06281
5500.0,0.06486
5510.0,0.01255
5520.0,0.00601
5530.0,0.00317
5540.0,0.00165
5550.0,0.00304
5560.0,0.00059
5570.0,0.00042
5580.0,0.00032
5590.0,0.00038
