wave,trans
3000.0,0.0
3010.0,0.0
3020.0,0.0
3030.0,0.0
3040.0,0.0
3050.0,0.0
3060.0,0.0
3070.0,0.0
3080.0,0.0
3090.0,0.0
3100.0,0.0
3110.0,0.0
3120.0,0.0
3130.0,0.0
3140.0,0.0
3150.0,0.0
3160.0,0.0
3170.0,0.0
3180.0,0.0
3190.0,0.0
3200.0,0.0
3210.0,0.0
3220.0,0.0
3230.0,0.0
3240.0,0.0
3250.0,0.0
3260.0,0.0
3270.0,0.0
3280.0,0.0
3290.0,0.0
3300.0,0.0
3310.0,0.0
3320.0,0.0
3330.0,0.0
3340.0,0.00032
3350.0,0.00031
3360.0,0.0003
3370.0,0.00028
3380.0,0.00027
3390.0,0.00026
3400.0,0.00024
3410.0,0.00023
3420.0,0.0002
3430.0,0.0002
3440.0,0.0002
3450.0,0.0002
3460.0,0.0002
3470.0,0.0002
3480.0,0.0002
3490.0,0.00019
3500.0,0.00019
3510.0,0.00019
3520.0,0.00019
3530.0,0.00019
3540.0,0.00018
3550.0,0.00018
3560.0,0.00018
3570.0,0.00017
3580.0,0.00017
3590.0,0.00016
3600.0,0.00016
3610.0,0.00016
3620.0,0.00015
3630.0,0.00015
3640.0,0.00015
3650.0,0.00015
3660.0,0.00015
3670.0,0.00014
3680.0,0.00014
3690.0,0.00014
3700.0,0.00014
3710.0,0.00014
3720.0,0.00014
3730.0,0.00014
3740.0,0.00014
3750.0,0.00014
3760.0,0.00014
3770.0,0.00014
3780.0,0.00014
3790.0,0.00014
3800.0,0.00014
3810.0,0.00014
3820.0,0.00016
3830.0,0.00018
3840.0,0.0002
3850.0,0.00022
3860.0,0.00024
3870.0,0.00026
3880.0,0.00028
3890.0,0.0003
3900.0,0.00032
3910.0,0.00034
3920.0,0.00033
3930.0,0.00033
3940.0,0.00033
3950.0,0.00033
3960.0,0.00033
3970.0,0.00033
3980.0,0.00033
3990.0,0.00033
4000.0,0.00032
4010.0,0.00034
4020.0,0.00035
4030.0,0.00035
4040.0,0.00035
4050.0,0.00035
4060.0,0.00036
4070.0,0.00036
4080.0,0.00036
4090.0,0.00036
4100.0,0.00037
4110.0,0.00037
4120.0,0.00038
4130.0,0.00039
4140.0,0.0004
4150.0,0.0004
4160.0,0.00041
4170.0,0.00042
4180.0,0.00043
4190.0,0.00044
4200.0,0.00045
4210.0,0.00046
4220.0,0.00044
4230.0,0.00043
4240.0,0.00042
4250.0,0.00041
4260.0,0.0004
4270.0,0.00039
4280.0,0.00038
4290.0,0.00037
4300.0,0.00036
4310.0,0.00044
4320.0,0.00044
4330.0,0.00044
4340.0,0.00044
4350.0,0.00043
4360.0,0.00043
4370.0,0.00043
4380.0,0.00043
4390.0,0.00043
4400.0,0.00042
4410.0,0.00039
4420.0,0.00037
4430.0,0.00035
4440.0,0.00033
4450.0,0.00031
4460.0,0.0003
4470.0,0.00028
4480.0,0.00026
4490.0,0.00024
4500.0,0.00022
4510.0,0.00023
4520.0,0.00022
4530.0,0.00022
4540.0,0.00021
4550.0,0.0002
4560.0,0.0002
4570.0,0.00019
4580.0,0.00018
4590.0,0.00018
4600.0,0.00017
4610.0,0.00016
4620.0,0.00016
4630.0,0.00015
4640.0,0.00015
4650.0,0.00015
4660.0,0.00014
4670.0,0.00014
4680.0,0.00013
4690.0,0.00013
4700.0,0.00012
4710.0,0.00013
4720.0,0.00013
4730.0,0.00013
4740.0,0.00013
4750.0,0.00013
4760.0,0.00013
4770.0,0.00013
4780.0,0.00013
4790.0,0.00013
4800.0,0.00013
4810.0,0.00013
4820.0,0.00013
4830.0,0.00013
4840.0,0.00013
4850.0,0.00013
4860.0,0.00013
4870.0,0.00012
4880.0,0.00012
4890.0,0.00012
4900.0,0.00012
4910.0,0.00012
4920.0,0.00012
4930.0,0.00012
4940.0,0.00012
4950.0,0.00012
4960.0,0.00012
4970.0,0.00012
4980.0,0.00012
4990.0,0.00012
5000.0,0.00012
5010.0,0.00012
5020.0,0.00012
5030.0,0.00013
5040.0,0.00014
5050.0,0.00014
5060.0,0.00015
5070.0,0.00015
5080.0,0.00015
5090.0,0.00016
5100.0,0.00017
5110.0,0.00017
5120.0,0.00018
5130.0,0.00019
5140.0,0.0002
5150.0,0.00019
5160.0,0.00018
5170.0,0.00019
5180.0,0.00021
5190.0,0.00022
5200.0,0.00023
5210.0,0.00028
5220.0,0.00027
5230.0,0.00028
5240.0,0.0003
5250.0,0.00033
5260.0,0.00036
5270.0,0.0004
5280.0,0.00043
5290.0,0.00042
5300.0,0.00042
5310.0,0.0005
5320.0,0.00058
5330.0,0.00064
5340.0,0.00071
5350.0,0.00079
5360.0,0.00087
5370.0,0.00096
5380.0,0.00104
5390.0,0.00115
5400.0,0.00134
5410.0,0.00146
5420.0,0.00167
5430.0,0.00189
5440.0,0.00212
5450.0,0.00241
5460.0,0.0027
5470.0,0.00303
5480.0,0.00335
5490.0,0.00388
5500.0,0.00442
5510.0,0.00573
5520.0,0.00531
5530.0,0.00596
5540.0,0.00661
5550.0,0.00749
5560.0,0.00836
5570.0,0.00955
5580.0,0.01075
