wave,trans
3000.0,0.0
3010.0,0.0
3020.0,0.0
3030.0,0.0
3040.0,0.0
3050.0,0.0
3060.0,0.0
3070.0,0.0
3080.0,0.0
3090.0,0.0
3100.0,0.0
3110.0,0.0
3120.0,0.0
3130.0,0.0
3140.0,0.0
3150.0,0.0
3160.0,0.0
3170.0,0.0
3180.0,0.0
3190.0,0.0
3200.0,0.0
3210.0,0.0
3220.0,0.0
3230.0,0.0
3240.0,0.0
3250.0,0.0
3260.0,0.0
3270.0,0.0
3280.0,0.0
3290.0,0.0
3300.0,0.0
3310.0,0.0
3320.0,0.0
3330.0,0.0
3340.0,0.00139
3350.0,0.00275
3360.0,0.00346
3370.0,0.00395
3380.0,0.00455
3390.0,0.00468
3400.0,0.00471
3410.0,0.00566
3420.0,0.00635
3430.0,0.00723
3440.0,0.00809
3450.0,0.00904
3460.0,0.00997
3470.0,0.00978
3480.0,0.01148
3490.0,0.01179
3500.0,0.01283
3510.0,0.01389
3520.0,0.01431
3530.0,0.01606
3540.0,0.01846
3550.0,0.01908
3560.0,0.02236
3570.0,0.02272
3580.0,0.02554
3590.0,0.02754
3600.0,0.02964
3610.0,0.03094
3620.0,0.03505
3630.0,0.03718
3640.0,0.03933
3650.0,0.0415
3660.0,0.04778
3670.0,0.0483
3680.0,0.05411
3690.0,0.0549
3700.0,0.05972
3710.0,0.06152
3720.0,0.06438
3730.0,0.06741
3740.0,0.07102
3750.0,0.07466
3760.0,0.07834
3770.0,0.08188
3780.0,0.08514
3790.0,0.08844
3800.0,0.09331
3810.0,0.09493
3820.0,0.0975
3830.0,0.09989
3840.0,0.10447
3850.0,0.10755
3860.0,0.11066
3870.0,0.1143
3880.0,0.11822
3890.0,0.11963
3900.0,0.12105
3910.0,0.12479
3920.0,0.12931
3930.0,0.13032
3940.0,0.13457
3950.0,0.13817
3960.0,0.14129
3970.0,0.14048
3980.0,0.12003
3990.0,0.09108
4000.0,0.0504
4010.0,0.01881
4020.0,0.00771
4030.0,0.00309
4040.0,0.00137
4050.0,0.00126
4060.0,0.00106
4070.0,0.00037
4080.0,0.00021
4090.0,0.0002
4100.0,0.00018
4110.0,0.00013
4120.0,0.0001
4130.0,0.0001
4140.0,9e-05
4150.0,9e-05
4160.0,8e-05
4170.0,8e-05
4180.0,7e-05
4190.0,7e-05
4200.0,8e-05
4210.0,0.0001
4220.0,6e-05
4230.0,6e-05
4240.0,6e-05
4250.0,6e-05
4260.0,7e-05
4270.0,7e-05
4280.0,6e-05
4290.0,7e-05
4300.0,7e-05
4310.0,6e-05
4320.0,6e-05
4330.0,7e-05
4340.0,7e-05
4350.0,7e-05
4360.0,7e-05
4370.0,7e-05
4380.0,7e-05
4390.0,7e-05
4400.0,8e-05
4410.0,8e-05
4420.0,8e-05
4430.0,8e-05
4440.0,8e-05
4450.0,8e-05
4460.0,9e-05
4470.0,9e-05
4480.0,0.0001
4490.0,0.0001
4500.0,0.0001
4510.0,0.00011
4520.0,0.00011
4530.0,0.00011
4540.0,0.00011
4550.0,0.00011
4560.0,0.00012
4570.0,0.00013
4580.0,0.00013
4590.0,0.00014
4600.0,0.00015
4610.0,0.00016
4620.0,0.00016
4630.0,0.00017
4640.0,0.00017
4650.0,0.00018
4660.0,0.00019
4670.0,0.00019
4680.0,0.0002
4690.0,0.00019
4700.0,0.00019
4710.0,0.00018
4720.0,0.00017
4730.0,0.00015
4740.0,0.00013
4750.0,0.0001
4760.0,8e-05
4770.0,7e-05
4780.0,6e-05
4790.0,5e-05
4800.0,4e-05
4810.0,3e-05
4820.0,3e-05
4830.0,3e-05
4840.0,2e-05
4850.0,2e-05
4860.0,2e-05
4870.0,2e-05
4880.0,1e-05
4890.0,1e-05
4900.0,1e-05
4910.0,1e-05
4920.0,1e-05
4930.0,1e-05
4940.0,1e-05
4950.0,1e-05
4960.0,1e-05
4970.0,1e-05
4980.0,1e-05
4990.0,1e-05
5000.0,1e-05
5010.0,1e-05
5020.0,1e-05
5030.0,1e-05
5040.0,1e-05
5050.0,1e-05
5060.0,1e-05
5070.0,2e-05
5080.0,2e-05
5090.0,2e-05
5100.0,2e-05
5110.0,2e-05
5120.0,2e-05
5130.0,2e-05
5140.0,2e-05
5150.0,3e-05
5160.0,3e-05
5170.0,3e-05
5180.0,3e-05
5190.0,3e-05
5200.0,3e-05
5210.0,3e-05
5220.0,3e-05
5230.0,3e-05
5240.0,3e-05
5250.0,3e-05
5260.0,3e-05
5270.0,3e-05
5280.0,3e-05
5290.0,3e-05
5300.0,4e-05
5310.0,4e-05
5320.0,4e-05
5330.0,4e-05
5340.0,4e-05
5350.0,4e-05
5360.0,4e-05
5370.0,4e-05
5380.0,4e-05
5390.0,4e-05
5400.0,4e-05
5410.0,4e-05
5420.0,4e-05
5430.0,4e-05
5440.0,4e-05
5450.0,4e-05
5460.0,4e-05
5470.0,4e-05
5480.0,4e-05
5490.0,4e-05
5500.0,4e-05
5510.0,4e-05
5520.0,4e-05
5530.0,5e-05
5540.0,5e-05
5550.0,5e-05
5560.0,5e-05
5570.0,5e-05
5580.0,5e-05
