wave,trans
6380.0,0.0
6390.0,0.0
6400.0,0.0001
6410.0,0.0
6420.0,0.0
6430.0,0.0001
6440.0,0.0001
6450.0,0.0002
6460.0,0.0002
6470.0,0.0001
6480.0,0.0001
6490.0,0.0
6500.0,0.0
6510.0,0.0001
6520.0,0.0002
6530.0,0.0002
6540.0,0.0003
6550.0,0.0003
6560.0,0.0003
6570.0,0.0003
6580.0,0.0002
6590.0,0.0002
6600.0,0.0002
6610.0,0.0002
6620.0,0.0003
6630.0,0.0005
6640.0,0.0006
6650.0,0.0007
6660.0,0.0008
6670.0,0.0009
6680.0,0.0011
6690.0,0.0013
6700.0,0.0015
6710.0,0.0018
6720.0,0.0021
6730.0,0.0026
6740.0,0.0032
6750.0,0.004
6760.0,0.005
6770.0,0.0063
6780.0,0.0078
6790.0,0.0101
6800.0,0.0126
6810.0,0.0163
6820.0,0.0205
6830.0,0.0263
6840.0,0.0329
6850.0,0.042
6860.0,0.0521
6870.0,0.0544
6880.0,0.0726
6890.0,0.0912
6900.0,0.1134
6910.0,0.143
6920.0,0.1744
6930.0,0.209
6940.0,0.2437
6950.0,0.2811
6960.0,0.3164
6970.0,0.3529
6980.0,0.3859
6990.0,0.4117
7000.0,0.4372
7010.0,0.4561
7020.0,0.4733
7030.0,0.4843
7040.0,0.4946
7050.0,0.5005
7060.0,0.5057
7070.0,0.5083
7080.0,0.51
7090.0,0.5109
7100.0,0.511
7110.0,0.5107
7120.0,0.5105
7130.0,0.51
7140.0,0.5095
7150.0,0.5087
7160.0,0.5084
7170.0,0.5007
7180.0,0.4947
7190.0,0.4855
7200.0,0.4893
7210.0,0.4953
7220.0,0.5052
7230.0,0.4992
7240.0,0.4915
7250.0,0.4922
7260.0,0.4959
7270.0,0.494
7280.0,0.493
7290.0,0.4953
7300.0,0.4996
7310.0,0.4964
7320.0,0.5
7330.0,0.5026
7340.0,0.5025
7350.0,0.5019
7360.0,0.5013
7370.0,0.5008
7380.0,0.5017
7390.0,0.5003
7400.0,0.4998
7410.0,0.4994
7420.0,0.4991
7430.0,0.4982
7440.0,0.4973
7450.0,0.496
7460.0,0.4948
7470.0,0.4947
7480.0,0.4948
7490.0,0.4945
7500.0,0.4943
7510.0,0.4941
7520.0,0.4939
7530.0,0.4939
7540.0,0.494
7550.0,0.4941
7560.0,0.4942
7570.0,0.4945
7580.0,0.4947
7590.0,0.4929
7600.0,0.2537
7610.0,0.2038
7620.0,0.3775
7630.0,0.2745
7640.0,0.3281
7650.0,0.3684
7660.0,0.4146
7670.0,0.4401
7680.0,0.4643
7690.0,0.4687
7700.0,0.4741
7710.0,0.4756
7720.0,0.4756
7730.0,0.4759
7740.0,0.4763
7750.0,0.4768
7760.0,0.4772
7770.0,0.4779
7780.0,0.4785
7790.0,0.4785
7800.0,0.4783
7810.0,0.4781
7820.0,0.4779
7830.0,0.4784
7840.0,0.4788
7850.0,0.4783
7860.0,0.4775
7870.0,0.4759
7880.0,0.4746
7890.0,0.4732
7900.0,0.4711
7910.0,0.4711
7920.0,0.4703
7930.0,0.4694
7940.0,0.47
7950.0,0.4692
7960.0,0.4674
7970.0,0.4679
7980.0,0.4692
7990.0,0.4688
8000.0,0.4682
8010.0,0.4673
8020.0,0.4664
8030.0,0.466
8040.0,0.466
8050.0,0.4666
8060.0,0.4675
8070.0,0.4673
8080.0,0.4675
8090.0,0.4659
8100.0,0.4644
8110.0,0.463
8120.0,0.4606
8130.0,0.4583
8140.0,0.452
8150.0,0.4516
8160.0,0.4446
8170.0,0.4449
8180.0,0.4438
8190.0,0.4506
8200.0,0.4466
8210.0,0.4569
8220.0,0.4538
8230.0,0.4259
8240.0,0.4503
8250.0,0.4521
8260.0,0.4501
8270.0,0.4546
8280.0,0.4444
8290.0,0.4504
8300.0,0.4485
8310.0,0.4479
8320.0,0.4433
8330.0,0.4487
8340.0,0.4445
8350.0,0.4445
8360.0,0.4394
8370.0,0.4369
8380.0,0.4316
8390.0,0.4233
8400.0,0.4134
8410.0,0.3997
8420.0,0.3853
8430.0,0.3676
8440.0,0.3458
8450.0,0.3062
8460.0,0.2663
8470.0,0.2463
8480.0,0.2293
8490.0,0.2125
8500.0,0.1958
8510.0,0.1802
8520.0,0.1649
8530.0,0.1499
8540.0,0.1351
8550.0,0.1219
8560.0,0.1085
8570.0,0.0932
8580.0,0.0783
8590.0,0.0683
8600.0,0.0594
8610.0,0.0526
8620.0,0.0465
8630.0,0.0418
8640.0,0.0367
8650.0,0.0278
8660.0,0.0193
8670.0,0.0177
8680.0,0.0165
8690.0,0.0113
8700.0,0.0063
8710.0,0.0069
8720.0,0.0078
8730.0,0.0059
8740.0,0.0042
8750.0,0.0058
8760.0,0.0074
8770.0,0.005
8780.0,0.0024
8790.0,0.0019
8800.0,0.002
8810.0,0.003
8820.0,0.0035
8830.0,0.0003
8840.0,0.0
8850.0,0.0
8860.0,0.0005
8870.0,0.0021
8880.0,0.0033
8890.0,0.0019
8900.0,0.0003
8910.0,0.0
8920.0,0.0
8930.0,0.0
8940.0,0.0004
8950.0,0.0014
8960.0,0.0021
8970.0,0.0012
8980.0,0.0004
8990.0,0.0008
9000.0,0.0014
9010.0,0.0
9020.0,0.0
