wave,trans
8980.0,0.0
8990.0,0.0
9000.0,0.0007
9010.0,0.0012
9020.0,0.002
9030.0,0.0033
9040.0,0.0048
9050.0,0.0049
9060.0,0.0049
9070.0,0.0048
9080.0,0.0049
9090.0,0.0057
9100.0,0.0064
9110.0,0.0059
9120.0,0.0054
9130.0,0.0071
9140.0,0.0088
9150.0,0.0098
9160.0,0.0102
9170.0,0.0124
9180.0,0.0141
9190.0,0.0184
9200.0,0.0227
9210.0,0.0284
9220.0,0.0343
9230.0,0.0439
9240.0,0.0537
9250.0,0.0654
9260.0,0.0787
9270.0,0.0951
9280.0,0.1077
9290.0,0.1253
9300.0,0.1372
9310.0,0.1504
9320.0,0.157
9330.0,0.1729
9340.0,0.1767
9350.0,0.1987
9360.0,0.1989
9370.0,0.2223
9380.0,0.2456
9390.0,0.2948
9400.0,0.3233
9410.0,0.3232
9420.0,0.3372
9430.0,0.3034
9440.0,0.3106
9450.0,0.3526
9460.0,0.3062
9470.0,0.359
9480.0,0.3258
9490.0,0.3809
9500.0,0.2981
9510.0,0.3861
9520.0,0.3313
9530.0,0.3491
9540.0,0.3616
9550.0,0.3467
9560.0,0.3428
9570.0,0.332
9580.0,0.3508
9590.0,0.3421
9600.0,0.3506
9610.0,0.3479
9620.0,0.3442
9630.0,0.3496
9640.0,0.3441
9650.0,0.3425
9660.0,0.3429
9670.0,0.3404
9680.0,0.3478
9690.0,0.351
9700.0,0.343
9710.0,0.3465
9720.0,0.3396
9730.0,0.3351
9740.0,0.3296
9750.0,0.3256
9760.0,0.3239
9770.0,0.3259
9780.0,0.3224
9790.0,0.3219
9800.0,0.3158
9810.0,0.3193
9820.0,0.3147
9830.0,0.3086
9840.0,0.3083
9850.0,0.302
9860.0,0.3005
9870.0,0.2963
9880.0,0.292
9890.0,0.2886
9900.0,0.2839
9910.0,0.2803
9920.0,0.2762
9930.0,0.2716
9940.0,0.2677
9950.0,0.2637
9960.0,0.2595
9970.0,0.2552
9980.0,0.2509
9990.0,0.2466
10000.0,0.242
10010.0,0.2367
10020.0,0.2306
10030.0,0.2253
10040.0,0.2195
10050.0,0.214
10060.0,0.2082
10070.0,0.2028
10080.0,0.1972
10090.0,0.192
10100.0,0.1868
10110.0,0.1819
10120.0,0.1766
10130.0,0.1715
10140.0,0.1664
10150.0,0.1611
10160.0,0.1558
10170.0,0.1504
10180.0,0.145
10190.0,0.1396
10200.0,0.1345
10210.0,0.1304
10220.0,0.1264
10230.0,0.1224
10240.0,0.1184
10250.0,0.1146
10260.0,0.1107
10270.0,0.1067
10280.0,0.1028
10290.0,0.0989
10300.0,0.095
10310.0,0.0911
10320.0,0.0871
10330.0,0.0832
10340.0,0.0793
10350.0,0.0753
10360.0,0.0714
10370.0,0.0676
10380.0,0.0637
10390.0,0.0598
10400.0,0.0563
10410.0,0.0547
10420.0,0.0534
10430.0,0.052
10440.0,0.0507
10450.0,0.0494
10460.0,0.048
10470.0,0.0467
10480.0,0.0454
10490.0,0.044
10500.0,0.0427
10510.0,0.0414
10520.0,0.04
10530.0,0.0387
10540.0,0.0373
10550.0,0.0359
10560.0,0.0345
10570.0,0.033
10580.0,0.0315
10590.0,0.03
10600.0,0.0285
10610.0,0.0273
10620.0,0.0262
10630.0,0.025
10640.0,0.0238
10650.0,0.0225
10660.0,0.0212
10670.0,0.0197
10680.0,0.0183
10690.0,0.0168
10700.0,0.0153
10710.0,0.0138
10720.0,0.0123
10730.0,0.0109
10740.0,0.0095
10750.0,0.0082
10760.0,0.007
10770.0,0.0059
10780.0,0.0049
10790.0,0.0041
10800.0,0.0033
10810.0,0.0027
10820.0,0.0021
10830.0,0.0017
10840.0,0.0013
10850.0,0.001
10860.0,0.0007
10870.0,0.0006
10880.0,0.0004
10890.0,0.0003
10900.0,0.0002
10910.0,0.0002
10920.0,0.0001
10930.0,0.0001
10940.0,0.0001
10950.0,0.0
10960.0,0.0
10970.0,0.0
10980.0,0.0
10990.0,0.0
11000.0,0.0
11010.0,0.0
11020.0,0.0
