wave,trans
3480.0,1.12021e-06
3480.38,1.13528e-06
3480.77,1.15041e-06
3481.15,1.16558e-06
3481.54,1.1808e-06
3481.92,1.19607e-06
3482.31,1.21138e-06
3482.69,1.22673e-06
3483.08,1.24215e-06
3483.46,1.25761e-06
3483.85,1.27311e-06
3484.23,1.28867e-06
3484.62,1.30427e-06
3485.0,1.31992e-06
3485.39,1.33561e-06
3485.77,1.35136e-06
3486.16,1.36715e-06
3486.54,1.383e-06
3486.93,1.39889e-06
3487.31,1.41483e-06
3487.7,1.43082e-06
3488.08,1.44686e-06
3488.47,1.46295e-06
3488.85,1.47908e-06
3489.24,1.49526e-06
3489.62,1.5115e-06
3490.01,1.52779e-06
3490.39,1.54401e-06
3490.78,1.56027e-06
3491.16,1.57658e-06
3491.55,1.59293e-06
3491.94,1.60934e-06
3492.32,1.6258e-06
3492.71,1.6423e-06
3493.09,1.65884e-06
3493.48,1.67543e-06
3493.86,1.69208e-06
3494.25,1.70876e-06
3494.64,1.72549e-06
3495.02,1.74227e-06
3495.41,1.7591e-06
3495.79,1.77599e-06
3496.18,1.79291e-06
3496.57,1.80989e-06
3496.95,1.82691e-06
3497.34,1.84398e-06
3497.73,1.8611e-06
3498.11,1.87826e-06
3498.5,1.89547e-06
3498.88,1.91273e-06
3499.27,1.93004e-06
3499.66,1.94739e-06
3500.04,1.96478e-06
3500.43,1.98212e-06
3500.82,1.9995e-06
3501.2,2.01694e-06
3501.59,2.03441e-06
3501.98,2.05193e-06
3502.36,2.0695e-06
3502.75,2.08711e-06
3503.14,2.10478e-06
3503.52,2.12248e-06
3503.91,2.14024e-06
3504.3,2.15805e-06
3504.69,2.1759e-06
3505.07,2.1938e-06
3505.46,2.21173e-06
3505.85,2.22972e-06
3506.23,2.24775e-06
3506.62,2.26583e-06
3507.01,2.28396e-06
3507.4,2.30215e-06
3507.78,2.32036e-06
3508.17,2.33864e-06
3508.56,2.35695e-06
3508.95,2.37532e-06
3509.33,2.39373e-06
3509.72,2.41219e-06
3510.11,2.43065e-06
3510.5,2.449e-06
3510.88,2.46739e-06
3511.27,2.48583e-06
3511.66,2.50432e-06
3512.05,2.52284e-06
3512.44,2.54142e-06
3512.82,2.56003e-06
3513.21,2.5787e-06
3513.6,2.5974e-06
3513.99,2.61616e-06
3514.38,2.63494e-06
3514.76,2.65379e-06
3515.15,2.67267e-06
3515.54,2.69161e-06
3515.93,2.71059e-06
3516.32,2.72961e-06
3516.71,2.74868e-06
3517.09,2.76779e-06
3517.48,2.78694e-06
3517.87,2.80614e-06
3518.26,2.82539e-06
3518.65,2.84467e-06
3519.04,2.86401e-06
3519.43,2.88339e-06
3519.81,2.90281e-06
3520.2,2.90237e-06
3520.59,2.88365e-06
3520.98,2.86486e-06
3521.37,2.846e-06
3521.76,2.82709e-06
3522.15,2.80812e-06
3522.54,2.78908e-06
3522.93,2.76998e-06
3523.31,2.75083e-06
3523.7,2.73161e-06
3524.09,2.71234e-06
3524.48,2.69299e-06
3524.87,2.67361e-06
3525.26,2.65414e-06
3525.65,2.63462e-06
3526.04,2.61504e-06
3526.43,2.5954e-06
3526.82,2.57571e-06
3527.21,2.55594e-06
3527.6,2.53611e-06
3527.99,2.51622e-06
3528.38,2.49627e-06
3528.77,2.47626e-06
3529.16,2.45618e-06
3529.55,2.43606e-06
3529.94,2.41587e-06
3530.33,2.39559e-06
3530.72,2.37526e-06
3531.11,2.35486e-06
3531.5,2.33438e-06
3531.89,2.31385e-06
3532.28,2.29327e-06
3532.67,2.27262e-06
3533.06,2.2519e-06
3533.45,2.23114e-06
3533.84,2.2103e-06
3534.23,2.18942e-06
3534.62,2.16847e-06
3535.01,2.14745e-06
3535.4,2.12636e-06
3535.79,2.10523e-06
3536.18,2.08402e-06
3536.57,2.06276e-06
3536.96,2.04145e-06
3537.35,2.02005e-06
3537.74,1.99861e-06
3538.13,1.97711e-06
3538.52,1.95553e-06
3538.91,1.93389e-06
3539.31,1.9122e-06
3539.7,1.89044e-06
3540.09,1.86858e-06
3540.48,1.84655e-06
3540.87,1.82445e-06
3541.26,1.80229e-06
3541.65,1.78008e-06
3542.04,1.75781e-06
3542.43,1.73547e-06
3542.82,1.71309e-06
3543.22,1.69064e-06
3543.61,1.66813e-06
3544.0,1.64557e-06
3544.39,1.62294e-06
3544.78,1.60026e-06
3545.17,1.57751e-06
3545.57,1.55471e-06
3545.96,1.53186e-06
3546.35,1.50894e-06
3546.74,1.48597e-06
3547.13,1.46293e-06
3547.52,1.43984e-06
3547.92,1.41668e-06
3548.31,1.39347e-06
3548.7,1.37021e-06
3549.09,1.34688e-06
3549.48,1.32349e-06
3549.88,1.30003e-06
3550.27,1.27654e-06
3550.66,1.25299e-06
3551.05,1.22939e-06
3551.44,1.20571e-06
3551.84,1.18198e-06
3552.23,1.15819e-06
3552.62,1.13434e-06
3553.01,1.11043e-06
3553.41,1.08647e-06
3553.8,1.06243e-06
3554.19,1.03834e-06
3554.58,1.01419e-06
3554.98,9.89981e-07
3555.37,9.65717e-07
3555.76,9.4138e-07
3556.15,9.17e-07
3556.55,8.92548e-07
3556.94,8.68037e-07
3557.33,8.43469e-07
3557.73,8.18829e-07
3558.12,7.94146e-07
3558.51,7.69391e-07
3558.9,7.44578e-07
3559.3,7.19707e-07
3559.69,6.94777e-07
3560.08,6.74592e-07
3560.48,6.72191e-07
3560.87,6.69781e-07
3561.26,6.67363e-07
3561.66,6.64939e-07
3562.05,6.62508e-07
3562.44,6.60071e-07
3562.84,6.57627e-07
3563.23,6.55177e-07
3563.62,6.52719e-07
3564.02,6.50253e-07
3564.41,6.47783e-07
3564.81,6.45304e-07
3565.2,6.42819e-07
3565.59,6.40327e-07
3565.99,6.37829e-07
3566.38,6.35322e-07
3566.77,6.32811e-07
3567.17,6.30292e-07
3567.56,6.27765e-07
3567.96,6.25232e-07
3568.35,6.22692e-07
3568.74,6.20146e-07
3569.14,6.17592e-07
3569.53,6.15032e-07
3569.93,6.12465e-07
3570.32,6.09897e-07
3570.72,6.07322e-07
3571.11,6.04743e-07
3571.5,6.02155e-07
3571.9,5.99563e-07
3572.29,5.96962e-07
3572.69,5.94352e-07
3573.08,5.91737e-07
3573.48,5.89116e-07
3573.87,5.86487e-07
3574.27,5.8385e-07
3574.66,5.81207e-07
3575.06,5.78556e-07
3575.45,5.759e-07
3575.85,5.73236e-07
3576.24,5.70564e-07
3576.64,5.67886e-07
3577.03,5.65202e-07
3577.43,5.62511e-07
3577.82,5.59812e-07
3578.22,5.57108e-07
3578.61,5.54394e-07
3579.01,5.51675e-07
3579.4,5.48949e-07
3579.8,5.46214e-07
3580.19,5.43464e-07
3580.59,5.40693e-07
3580.98,5.37915e-07
3581.38,5.35132e-07
3581.78,5.32344e-07
3582.17,5.29548e-07
3582.57,5.26744e-07
3582.96,5.23933e-07
3583.36,5.21116e-07
3583.75,5.18292e-07
3584.15,5.15462e-07
3584.55,5.12624e-07
3584.94,5.09782e-07
3585.34,5.06929e-07
3585.73,5.0407e-07
3586.13,5.01204e-07
3586.53,4.98333e-07
3586.92,4.95455e-07
3587.32,4.92571e-07
3587.71,4.89679e-07
3588.11,4.8678e-07
3588.51,4.83873e-07
3588.9,4.80961e-07
3589.3,4.78041e-07
3589.7,4.75113e-07
3590.09,4.72182e-07
3590.49,4.69253e-07
3590.89,4.66317e-07
3591.28,4.63372e-07
3591.68,4.60422e-07
3592.08,4.57464e-07
3592.47,4.545e-07
3592.87,4.51527e-07
3593.27,4.48549e-07
3593.66,4.45563e-07
3594.06,4.4257e-07
3594.46,4.3957e-07
3594.85,4.36563e-07
3595.25,4.3355e-07
3595.65,4.30528e-07
3596.04,4.27502e-07
3596.44,4.24467e-07
3596.84,4.21426e-07
3597.24,4.18378e-07
3597.63,4.15321e-07
3598.03,4.12259e-07
3598.43,4.09189e-07
3598.83,4.06112e-07
3599.22,4.03029e-07
3599.62,3.99937e-07
3600.02,3.9712e-07
3600.42,4.00034e-07
3600.81,4.02954e-07
3601.21,4.05879e-07
3601.61,4.08809e-07
3602.01,4.11745e-07
3602.41,4.14689e-07
3602.8,4.17638e-07
3603.2,4.20593e-07
3603.6,4.23552e-07
3604.0,4.26517e-07
3604.4,4.29489e-07
3604.79,4.32465e-07
3605.19,4.35448e-07
3605.59,4.38436e-07
3605.99,4.4143e-07
3606.39,4.44432e-07
3606.78,4.47437e-07
3607.18,4.5045e-07
3607.58,4.53468e-07
3607.98,4.56491e-07
3608.38,4.5952e-07
3608.78,4.62556e-07
3609.18,4.65596e-07
3609.57,4.68643e-07
3609.97,4.71696e-07
3610.37,4.74747e-07
3610.77,4.77805e-07
3611.17,4.80866e-07
3611.57,4.83933e-07
3611.97,4.87006e-07
3612.37,4.90085e-07
3612.76,4.93169e-07
3613.16,4.9626e-07
3613.56,4.99355e-07
3613.96,5.02457e-07
3614.36,5.05564e-07
3614.76,5.08677e-07
3615.16,5.11798e-07
3615.56,5.14922e-07
3615.96,5.18053e-07
3616.36,5.21189e-07
3616.76,5.2433e-07
3617.16,5.27477e-07
3617.56,5.30632e-07
3617.96,5.3379e-07
3618.35,5.36955e-07
3618.75,5.40126e-07
3619.15,5.43302e-07
3619.55,5.46483e-07
3619.95,5.49672e-07
3620.35,5.52857e-07
3620.75,5.56046e-07
3621.15,5.5924e-07
3621.55,5.62439e-07
3621.95,5.65644e-07
3622.35,5.68856e-07
3622.75,5.72073e-07
3623.15,5.75296e-07
3623.55,5.78523e-07
3623.95,5.81756e-07
3624.35,5.84997e-07
3624.75,5.8824e-07
3625.16,5.91491e-07
3625.56,5.94746e-07
3625.96,5.98009e-07
3626.36,6.01275e-07
3626.76,6.04549e-07
3627.16,6.07826e-07
3627.56,6.11112e-07
3627.96,6.14402e-07
3628.36,6.17699e-07
3628.76,6.20999e-07
3629.16,6.24307e-07
3629.56,6.2762e-07
3629.96,6.30939e-07
3630.36,6.34265e-07
3630.76,6.37596e-07
3631.17,6.40935e-07
3631.57,6.44279e-07
3631.97,6.47628e-07
3632.37,6.50983e-07
3632.77,6.54343e-07
3633.17,6.57711e-07
3633.57,6.61083e-07
3633.97,6.64462e-07
3634.38,6.67845e-07
3634.78,6.71235e-07
3635.18,6.74629e-07
3635.58,6.78029e-07
3635.98,6.81436e-07
3636.38,6.84849e-07
3636.78,6.88266e-07
3637.19,6.91691e-07
3637.59,6.95119e-07
3637.99,6.98555e-07
3638.39,7.01995e-07
3638.79,7.05441e-07
3639.2,7.08892e-07
3639.6,7.1235e-07
3640.0,7.15814e-07
3640.4,7.37232e-07
3640.8,7.58714e-07
3641.21,7.80239e-07
3641.61,8.01808e-07
3642.01,8.23433e-07
3642.41,8.45086e-07
3642.81,8.66795e-07
3643.22,8.88547e-07
3643.62,9.10343e-07
3644.02,9.32195e-07
3644.42,9.54076e-07
3644.83,9.76013e-07
3645.23,9.97993e-07
3645.63,1.02002e-06
3646.03,1.0421e-06
3646.44,1.06421e-06
3646.84,1.08637e-06
3647.24,1.10858e-06
3647.65,1.13083e-06
3648.05,1.15312e-06
3648.45,1.17546e-06
3648.85,1.19785e-06
3649.26,1.22029e-06
3649.66,1.24277e-06
3650.06,1.26528e-06
3650.47,1.28782e-06
3650.87,1.31042e-06
3651.27,1.33304e-06
3651.68,1.35572e-06
3652.08,1.37844e-06
3652.48,1.4012e-06
3652.89,1.42402e-06
3653.29,1.44686e-06
3653.69,1.46976e-06
3654.1,1.49271e-06
3654.5,1.5157e-06
3654.9,1.53874e-06
3655.31,1.56181e-06
3655.71,1.58494e-06
3656.12,1.6081e-06
3656.52,1.63131e-06
3656.92,1.65457e-06
3657.33,1.67788e-06
3657.73,1.70122e-06
3658.14,1.72461e-06
3658.54,1.74805e-06
3658.94,1.77153e-06
3659.35,1.79505e-06
3659.75,1.81862e-06
3660.16,1.84223e-06
3660.56,1.86584e-06
3660.96,1.88951e-06
3661.37,1.91322e-06
3661.77,1.93696e-06
3662.18,1.96076e-06
3662.58,1.9846e-06
3662.99,2.00848e-06
3663.39,2.03241e-06
3663.8,2.05637e-06
3664.2,2.08039e-06
3664.61,2.10444e-06
3665.01,2.12855e-06
3665.42,2.15269e-06
3665.82,2.17689e-06
3666.22,2.20112e-06
3666.63,2.22541e-06
3667.03,2.24973e-06
3667.44,2.2741e-06
3667.84,2.29852e-06
3668.25,2.32297e-06
3668.66,2.34747e-06
3669.06,2.372e-06
3669.47,2.39659e-06
3669.87,2.42122e-06
3670.28,2.44592e-06
3670.68,2.47066e-06
3671.09,2.49546e-06
3671.49,2.5203e-06
3671.9,2.54518e-06
3672.3,2.57011e-06
3672.71,2.59507e-06
3673.11,2.6201e-06
3673.52,2.64516e-06
3673.93,2.67027e-06
3674.33,2.69542e-06
3674.74,2.72061e-06
3675.14,2.74584e-06
3675.55,2.77113e-06
3675.96,2.79646e-06
3676.36,2.82184e-06
3676.77,2.84725e-06
3677.17,2.87272e-06
3677.58,2.89822e-06
