wave,trans
4000.0,1.43574e-07
4000.41,1.43556e-07
4000.81,1.43537e-07
4001.22,1.43519e-07
4001.62,1.435e-07
4002.02,1.43482e-07
4002.43,1.43463e-07
4002.83,1.43445e-07
4003.24,1.43426e-07
4003.64,1.43407e-07
4004.05,1.43388e-07
4004.45,1.43369e-07
4004.86,1.4335e-07
4005.27,1.43331e-07
4005.67,1.43312e-07
4006.08,1.43293e-07
4006.48,1.43274e-07
4006.89,1.43255e-07
4007.29,1.43235e-07
4007.7,1.43216e-07
4008.1,1.43197e-07
4008.51,1.43177e-07
4008.91,1.43158e-07
4009.32,1.43139e-07
4009.72,1.43119e-07
4010.13,1.43098e-07
4010.54,1.43074e-07
4010.94,1.4305e-07
4011.35,1.43025e-07
4011.75,1.43001e-07
4012.16,1.42977e-07
4012.57,1.42952e-07
4012.97,1.42928e-07
4013.38,1.42903e-07
4013.78,1.42879e-07
4014.19,1.42854e-07
4014.6,1.4283e-07
4015.0,1.42805e-07
4015.41,1.4278e-07
4015.81,1.42756e-07
4016.22,1.42731e-07
4016.63,1.42706e-07
4017.03,1.42681e-07
4017.44,1.42656e-07
4017.85,1.42631e-07
4018.25,1.42606e-07
4018.66,1.42581e-07
4019.07,1.42555e-07
4019.47,1.4253e-07
4019.88,1.42505e-07
4020.29,1.42485e-07
4020.69,1.42468e-07
4021.1,1.4245e-07
4021.51,1.42432e-07
4021.91,1.42415e-07
4022.32,1.42397e-07
4022.73,1.42379e-07
4023.13,1.42361e-07
4023.54,1.42343e-07
4023.95,1.42325e-07
4024.36,1.42307e-07
4024.76,1.42289e-07
4025.17,1.42271e-07
4025.58,1.42253e-07
4025.98,1.42235e-07
4026.39,1.42216e-07
4026.8,1.42198e-07
4027.21,1.4218e-07
4027.61,1.42161e-07
4028.02,1.42143e-07
4028.43,1.42124e-07
4028.84,1.42105e-07
4029.24,1.42087e-07
4029.65,1.42068e-07
4030.06,1.42048e-07
4030.47,1.42021e-07
4030.88,1.41994e-07
4031.28,1.41967e-07
4031.69,1.4194e-07
4032.1,1.41913e-07
4032.51,1.41886e-07
4032.91,1.41859e-07
4033.32,1.41831e-07
4033.73,1.41804e-07
4034.14,1.41776e-07
4034.55,1.41749e-07
4034.96,1.41721e-07
4035.36,1.41694e-07
4035.77,1.41666e-07
4036.18,1.41639e-07
4036.59,1.41611e-07
4037.0,1.41583e-07
4037.41,1.41556e-07
4037.81,1.41528e-07
4038.22,1.415e-07
4038.63,1.41472e-07
4039.04,1.41444e-07
4039.45,1.41416e-07
4039.86,1.41388e-07
4040.27,1.41355e-07
4040.67,1.41321e-07
4041.08,1.41286e-07
4041.49,1.41251e-07
4041.9,1.41216e-07
4042.31,1.41181e-07
4042.72,1.41146e-07
4043.13,1.41111e-07
4043.54,1.41076e-07
4043.95,1.41041e-07
4044.36,1.41006e-07
4044.76,1.40971e-07
4045.17,1.40936e-07
4045.58,1.409e-07
4045.99,1.40865e-07
4046.4,1.40829e-07
4046.81,1.40794e-07
4047.22,1.40758e-07
4047.63,1.40723e-07
4048.04,1.40687e-07
4048.45,1.40652e-07
4048.86,1.40616e-07
4049.27,1.4058e-07
4049.68,1.40544e-07
4050.09,1.40507e-07
4050.5,1.40466e-07
4050.91,1.40425e-07
4051.32,1.40383e-07
4051.73,1.40342e-07
4052.14,1.403e-07
4052.55,1.40259e-07
4052.96,1.40217e-07
4053.37,1.40176e-07
4053.78,1.40134e-07
4054.19,1.40092e-07
4054.6,1.4005e-07
4055.01,1.40009e-07
4055.42,1.39967e-07
4055.83,1.39925e-07
4056.24,1.39883e-07
4056.65,1.39841e-07
4057.06,1.39799e-07
4057.47,1.39757e-07
4057.88,1.39715e-07
4058.29,1.39673e-07
4058.7,1.39631e-07
4059.11,1.39588e-07
4059.52,1.39546e-07
4059.93,1.39503e-07
4060.34,1.39467e-07
4060.76,1.39431e-07
4061.17,1.39394e-07
4061.58,1.39358e-07
4061.99,1.39322e-07
4062.4,1.39285e-07
4062.81,1.39249e-07
4063.22,1.39213e-07
4063.63,1.39176e-07
4064.04,1.3914e-07
4064.45,1.39103e-07
4064.87,1.39066e-07
4065.28,1.3903e-07
4065.69,1.38993e-07
4066.1,1.38956e-07
4066.51,1.38919e-07
4066.92,1.38882e-07
4067.33,1.38846e-07
4067.75,1.38808e-07
4068.16,1.38771e-07
4068.57,1.38734e-07
4068.98,1.38697e-07
4069.39,1.3866e-07
4069.8,1.38623e-07
4070.22,1.38587e-07
4070.63,1.38554e-07
4071.04,1.3852e-07
4071.45,1.38486e-07
4071.86,1.38452e-07
4072.27,1.38418e-07
4072.69,1.38384e-07
4073.1,1.38349e-07
4073.51,1.38315e-07
4073.92,1.38281e-07
4074.33,1.38247e-07
4074.75,1.38212e-07
4075.16,1.38178e-07
4075.57,1.38144e-07
4075.98,1.38109e-07
4076.4,1.38075e-07
4076.81,1.3804e-07
4077.22,1.38005e-07
4077.63,1.37971e-07
4078.05,1.37936e-07
4078.46,1.37901e-07
4078.87,1.37866e-07
4079.28,1.37831e-07
4079.7,1.37796e-07
4080.11,1.37759e-07
4080.52,1.37716e-07
4080.94,1.37673e-07
4081.35,1.37629e-07
4081.76,1.37586e-07
4082.17,1.37543e-07
4082.59,1.37499e-07
4083.0,1.37456e-07
4083.41,1.37412e-07
4083.83,1.37369e-07
4084.24,1.37325e-07
4084.65,1.37281e-07
4085.07,1.37238e-07
4085.48,1.37194e-07
4085.89,1.3715e-07
4086.31,1.37106e-07
4086.72,1.37062e-07
4087.13,1.37018e-07
4087.55,1.36975e-07
4087.96,1.36931e-07
4088.37,1.36886e-07
4088.79,1.36842e-07
4089.2,1.36798e-07
4089.61,1.36754e-07
4090.03,1.3671e-07
4090.44,1.36666e-07
4090.86,1.36622e-07
4091.27,1.36578e-07
4091.68,1.36535e-07
4092.1,1.36491e-07
4092.51,1.36447e-07
4092.93,1.36403e-07
4093.34,1.36359e-07
4093.75,1.36315e-07
4094.17,1.3627e-07
4094.58,1.36226e-07
4095.0,1.36182e-07
4095.41,1.36138e-07
4095.83,1.36093e-07
4096.24,1.36049e-07
4096.65,1.36004e-07
4097.07,1.3596e-07
4097.48,1.35915e-07
4097.9,1.35871e-07
4098.31,1.35826e-07
4098.73,1.35781e-07
4099.14,1.35736e-07
4099.56,1.35692e-07
4099.97,1.35647e-07
4100.39,1.35594e-07
4100.8,1.3554e-07
4101.22,1.35486e-07
4101.63,1.35433e-07
4102.05,1.35379e-07
4102.46,1.35325e-07
4102.88,1.35271e-07
4103.29,1.35217e-07
4103.71,1.35163e-07
4104.12,1.35109e-07
4104.54,1.35055e-07
4104.95,1.35001e-07
4105.37,1.34947e-07
