wave,trans
5502.0,8.291083418e-10
5512.0,5.62286828e-10
5522.0,8.597325002e-10
5532.0,1.223546749e-09
5542.0,1.320812559e-09
5552.0,1.084399825e-09
5562.0,1.025240065e-09
5572.0,1.15234644e-09
5582.0,6.713872889e-10
5592.0,3.379330439e-10
5602.0,4.539055512e-10
5612.0,4.58091371e-10
5622.0,6.378226267e-10
5632.0,5.337588792e-10
5642.0,9.804655997e-10
5652.0,1.669838304e-09
5662.0,2.080890637e-09
5672.0,3.303080368e-09
5682.0,3.617573284e-09
5692.0,4.887947913e-09
5702.0,3.441957115e-09
5712.0,3.065119411e-09
5722.0,1.914893667e-09
5732.0,3.63259092e-09
5742.0,4.138187004e-09
5752.0,3.422993994e-09
5762.0,5.205876451e-09
5772.0,4.329579454e-09
5782.0,5.569271818e-09
5792.0,3.072225786e-09
5802.0,4.463825429e-09
5812.0,3.474174817e-09
5822.0,5.006384368e-09
5832.0,5.210236855e-09
5842.0,6.447099936e-09
5852.0,9.169247433e-09
5862.0,1.181196396e-08
5872.0,1.456851292e-08
5882.0,1.158237744e-08
5892.0,1.209112164e-08
5902.0,1.503720497e-08
5912.0,1.773617733e-08
5922.0,1.81542988e-08
5932.0,1.673619941e-08
5942.0,2.184083044e-08
5952.0,2.420037374e-08
5962.0,2.424063659e-08
5972.0,2.131779528e-08
5982.0,2.419891036e-08
5992.0,2.986899958e-08
6002.0,3.653054662e-08
6012.0,6.053760785e-08
6022.0,1.066803206e-07
6032.0,1.710404349e-07
6042.0,2.251424364e-07
6052.0,2.665373127e-07
6062.0,2.923555379e-07
6072.0,3.070639467e-07
6082.0,3.063437093e-07
6092.0,2.991097424e-07
6102.0,3.12746606e-07
6112.0,3.704190357e-07
6122.0,4.774513288e-07
6132.0,6.239984546e-07
6142.0,7.872955661e-07
6152.0,9.148319041e-07
6162.0,9.665109604e-07
6172.0,9.534594527e-07
6182.0,9.694786001e-07
6192.0,1.120506998e-06
6202.0,1.482305511e-06
6212.0,2.019045334e-06
6222.0,2.597743311e-06
6232.0,3.016010778e-06
6242.0,3.132828679e-06
6252.0,2.915208533e-06
6262.0,2.433223496e-06
6272.0,1.861602151e-06
6282.0,1.346356212e-06
6292.0,9.952642027e-07
6302.0,7.899118822e-07
6312.0,6.699108312e-07
6322.0,5.869934655e-07
6332.0,5.27786944e-07
6342.0,4.971251971e-07
6352.0,4.893939599e-07
6362.0,4.906072551e-07
6372.0,4.847471446e-07
6382.0,4.484477182e-07
6392.0,3.92433555e-07
6402.0,3.239700987e-07
6412.0,2.618985275e-07
6422.0,2.102619852e-07
6432.0,1.720429759e-07
6442.0,1.471401995e-07
6452.0,1.288425567e-07
6462.0,1.258359756e-07
6472.0,1.278418513e-07
6482.0,1.286345262e-07
6492.0,1.248760506e-07
6502.0,1.222735247e-07
6512.0,1.315522715e-07
6522.0,1.266159963e-07
6532.0,1.224926812e-07
6542.0,1.191171706e-07
6552.0,1.260294884e-07
6562.0,1.403793621e-07
6572.0,1.428885869e-07
6582.0,1.332164492e-07
6592.0,1.221757801e-07
6602.0,1.212879063e-07
6612.0,1.301406975e-07
6622.0,1.415835821e-07
6632.0,1.443566658e-07
6642.0,1.521863508e-07
6652.0,1.538169177e-07
6662.0,1.561906139e-07
6672.0,1.682272751e-07
6682.0,1.84822478e-07
6692.0,1.978885167e-07
6702.0,1.928748942e-07
6712.0,1.868897732e-07
6722.0,1.867397367e-07
6732.0,1.879062659e-07
6742.0,1.885788597e-07
6752.0,1.928175859e-07
6762.0,2.033000179e-07
6772.0,2.033051327e-07
6782.0,1.979584437e-07
6792.0,1.957008425e-07
6802.0,1.952768398e-07
6812.0,1.846238845e-07
6822.0,1.805693569e-07
6832.0,1.648344227e-07
6842.0,1.594297059e-07
6852.0,1.483585579e-07
6862.0,1.508756682e-07
6872.0,1.61242534e-07
6882.0,1.806863762e-07
6892.0,2.021705595e-07
6902.0,2.023576511e-07
