wave,trans
5503.0,9.618660666e-11
5513.0,6.061438932e-10
5523.0,7.235117426e-11
5533.0,2.148809383e-10
5543.0,1.514110188e-09
5553.0,1.513282713e-09
5563.0,7.721310672e-10
5573.0,5.599088557e-10
5583.0,3.874555379e-10
5593.0,1.926873557e-12
5603.0,2.246925769e-12
5613.0,2.11917482e-09
5623.0,9.20614657e-11
5633.0,9.23429536e-10
5643.0,9.293537702e-10
5653.0,1.169536532e-09
5663.0,6.259345455e-10
5673.0,1.801795503e-10
5683.0,2.805208311e-09
5693.0,1.959310527e-10
5703.0,2.425108795e-09
5713.0,5.361506549e-10
5723.0,2.184258863e-09
5733.0,2.850024841e-09
5743.0,5.79884484e-09
5753.0,2.458813467e-09
5763.0,1.80495338e-09
5773.0,8.051012465e-10
5783.0,9.142809653e-10
5793.0,3.537906203e-09
5803.0,1.021884558e-10
5813.0,1.365777633e-08
5823.0,1.580108994e-09
5833.0,5.366956846e-09
5843.0,1.104020773e-08
5853.0,2.730599033e-09
5863.0,4.366129127e-09
5873.0,7.562688986e-10
5883.0,4.751992257e-09
5893.0,4.415255572e-10
5903.0,4.119945045e-09
5913.0,5.176645602e-09
5923.0,1.418498615e-08
5933.0,6.476272817e-09
5943.0,3.760844956e-09
5953.0,6.734507451e-09
5963.0,1.100424185e-08
5973.0,2.712979816e-09
5983.0,9.305366639e-09
5993.0,1.060936321e-09
6003.0,4.710106359e-09
6013.0,1.525440034e-08
6023.0,1.405547918e-08
6033.0,3.830329806e-09
6043.0,9.235116602e-09
6053.0,9.958561075e-09
6063.0,1.125144642e-09
6073.0,1.0728632e-08
6083.0,7.163414038e-09
6093.0,2.078345304e-11
6103.0,2.211542804e-08
6113.0,2.594414155e-08
6123.0,1.401375504e-08
6133.0,8.700409446e-09
6143.0,2.007188496e-08
6153.0,7.209325696e-09
6163.0,1.245177241e-08
6173.0,7.611138269e-09
6183.0,1.892350241e-08
6193.0,3.243510411e-08
6203.0,3.855691997e-08
6213.0,3.793227598e-08
6223.0,3.755831147e-08
6233.0,3.130917543e-08
6243.0,1.83775323e-08
6253.0,3.429143709e-08
6263.0,4.014764942e-08
6273.0,2.557990086e-08
6283.0,5.680472096e-08
6293.0,6.11929168e-08
6303.0,5.825297478e-08
6313.0,9.961466385e-08
6323.0,1.019704872e-07
6333.0,1.035345419e-07
6343.0,1.188365491e-07
6353.0,1.161482208e-07
6363.0,1.358420674e-07
6373.0,1.084062655e-07
6383.0,1.521354416e-07
6393.0,1.989378602e-07
6403.0,2.208304751e-07
6413.0,2.606075054e-07
6423.0,2.720338588e-07
6433.0,2.817369117e-07
6443.0,2.41980067e-07
6453.0,2.06195639e-07
6463.0,1.736731668e-07
6473.0,1.442453401e-07
6483.0,1.579200244e-07
6493.0,1.485936309e-07
6503.0,1.416524207e-07
6513.0,1.489690443e-07
6523.0,1.35119872e-07
6533.0,1.181857678e-07
6543.0,5.986546532e-08
6553.0,7.024953327e-08
6563.0,6.633445781e-08
6573.0,6.281642399e-08
6583.0,7.138977082e-08
6593.0,8.642131236e-08
6603.0,4.250501362e-08
6613.0,6.682563184e-08
6623.0,3.622580343e-08
6633.0,3.658822725e-08
6643.0,3.075816835e-08
6653.0,2.877241855e-08
6663.0,3.715236701e-08
6673.0,5.466414255e-08
6683.0,7.137821617e-09
6693.0,1.2194495e-08
6703.0,3.358523697e-08
6713.0,5.448460135e-08
6723.0,3.801005312e-08
6733.0,3.88095888e-08
6743.0,4.490592379e-08
6753.0,1.299429576e-08
6763.0,1.789044511e-08
6773.0,4.427484791e-08
6783.0,1.625878297e-08
