wave,trans
2980.000000,0.000000
3005.000000,0.000100
3030.000000,0.000500
3055.000000,0.001300
3080.000000,0.002600
3105.000000,0.005200
3130.000000,0.009300
3155.000000,0.016100
3180.000000,0.024000
3205.000000,0.032300
3230.000000,0.040500
3255.000000,0.048500
3280.000000,0.056100
3305.000000,0.063400
3330.000000,0.070000
3355.000000,0.075600
3380.000000,0.080300
3405.000000,0.084800
3430.000000,0.088300
3455.000000,0.091700
3480.000000,0.095900
3505.000000,0.100100
3530.000000,0.102900
3555.000000,0.104400
3580.000000,0.105300
3605.000000,0.106300
3630.000000,0.107500
3655.000000,0.108500
3680.000000,0.108400
3705.000000,0.106400
3730.000000,0.102400
3755.000000,0.096600
3780.000000,0.088700
3805.000000,0.078700
3830.000000,0.067200
3855.000000,0.054900
3880.000000,0.041300
3905.000000,0.026800
3930.000000,0.014500
3955.000000,0.007500
3980.000000,0.004200
4005.000000,0.002200
4030.000000,0.001000
4055.000000,0.000600
4080.000000,0.000400
4105.000000,0.000200
4130.000000,0.000000
