wave,trans
13000.0,0.0
13150.0,0.0
13410.0,0.0
13680.0,0.0
13970.0,0.0
14180.0,0.0
14400.0,0.000579694
14620.0,0.00319744
14780.0,0.00914959
14860.0,0.0322444
14930.0,0.0973979
15040.0,0.223564
15150.0,0.482893
15280.0,0.749972
15390.0,0.887481
15460.0,0.952576
15510.0,0.981474
15560.0,0.994522
15650.0,0.991363
15720.0,0.926837
15770.0,0.906854
15830.0,0.930838
15920.0,0.962804
15970.0,0.96878
16020.0,0.945852
16130.0,0.958446
16190.0,0.949223
16280.0,0.947769
16330.0,0.944152
16420.0,0.957583
16480.0,0.961492
16570.0,0.988109
16590.0,1.0
16710.0,0.999113
16840.0,0.947878
17010.0,0.906997
17150.0,0.956055
17270.0,0.958595
17390.0,0.949196
17460.0,0.936307
17510.0,0.923145
17530.0,0.892378
17560.0,0.87374
17640.0,0.797185
17750.0,0.627457
17850.0,0.251971
17900.0,0.421204
17960.0,0.16091
18030.0,0.0997266
18100.0,0.0652127
18130.0,0.00469638
18180.0,0.0183665
18280.0,0.000365321
18350.0,0.0
18500.0,9.02442e-05
18710.0,0.0
18930.0,0.0
19150.0,0.0
