wave,trans
18970.0,0.0
19150.0,0.0
19270.0,0.0
19340.0,0.000231655
19390.0,0.000577644
19480.0,0.00620974
19570.0,0.0136215
19620.0,0.0224924
19690.0,0.0480104
19760.0,0.0989682
19810.0,0.172786
19890.0,0.279534
19900.0,0.214105
19980.0,0.262243
20080.0,0.328653
20140.0,0.442905
20190.0,0.373462
20280.0,0.685618
20370.0,0.841277
20450.0,0.817611
20610.0,0.679423
20720.0,0.784361
20750.0,0.744363
20820.0,0.847732
20890.0,0.877276
20990.0,0.878113
21060.0,0.918273
21130.0,0.930603
21240.0,0.94424
21380.0,0.962784
21450.0,0.967893
21550.0,0.963297
21690.0,0.930434
21760.0,0.949986
21850.0,0.864055
21970.0,0.964459
22080.0,0.994655
22130.0,1.0
22180.0,0.994615
22320.0,0.968203
22370.0,0.982963
22480.0,0.979946
22560.0,0.954527
22600.0,0.97058
22630.0,0.989883
22650.0,0.952613
22700.0,0.968278
22720.0,0.95451
22760.0,0.896534
22770.0,0.966187
22810.0,0.873651
22840.0,0.874661
22860.0,0.92348
22910.0,0.82173
22930.0,0.785649
22960.0,0.68491
22990.0,0.546336
23060.0,0.431021
23110.0,0.337518
23160.0,0.222656
23200.0,0.157
23250.0,0.131034
23280.0,0.0886227
23350.0,0.0598641
23390.0,0.0412777
23450.0,0.0293268
23520.0,0.0112386
23610.0,0.00645181
23630.0,0.000663594
23700.0,0.00283558
23750.0,0.00198072
23840.0,0.000375857
23990.0,0.0
24290.0,0.000368893
24740.0,0.0
