wave,trans
4550.0,0.0
4600.0,0.023
4650.0,0.119
4700.0,0.308
4750.0,0.54
4800.0,0.749
4850.0,0.882
4900.0,0.951
4950.0,0.981
5000.0,0.997
5050.0,1.0
5100.0,0.992
5150.0,0.974
5200.0,0.946
5250.0,0.911
5300.0,0.87
5350.0,0.827
5400.0,0.784
5450.0,0.738
5500.0,0.692
5550.0,0.645
5600.0,0.599
5650.0,0.553
5700.0,0.504
5750.0,0.458
5800.0,0.412
5850.0,0.368
5900.0,0.324
5950.0,0.282
6000.0,0.245
6050.0,0.209
6100.0,0.178
6150.0,0.152
6200.0,0.129
6250.0,0.108
6300.0,0.092
6350.0,0.078
6400.0,0.066
6450.0,0.055
6500.0,0.044
6550.0,0.036
6600.0,0.027
6650.0,0.017
6700.0,0.008
6750.0,0.0
