wave,trans
13510.0,0.0
13515.0,0.0
13520.0,0.0
13525.0,0.0
13530.0,0.0
13535.0,0.0
13540.0,0.0
13545.0,0.0
13550.0,0.0
13555.0,0.0
13560.0,0.0
13565.0,0.0
13570.0,0.0
13575.0,0.0
13580.0,0.0
13585.0,0.0
13590.0,0.0
13595.0,0.0
13600.0,0.0
13605.0,0.0
13610.0,0.0
13615.0,0.0
13620.0,0.0
13625.0,0.0
13630.0,0.0
13635.0,0.0
13640.0,0.0
13645.0,0.0
13650.0,0.0
13655.0,0.0
13660.0,0.0
13665.0,0.0
13670.0,0.0
13675.0,0.0
13680.0,0.0
13685.0,0.0
13690.0,0.0
13695.0,0.0
13700.0,0.0
13705.0,0.0
13710.0,0.0
13715.0,0.0
13720.0,0.0
13725.0,0.0
13730.0,0.0
13735.0,0.0
13740.0,0.0
13745.0,0.0
13750.0,0.0
13755.0,0.0
13760.0,0.0
13765.0,0.0
13770.0,0.0
13775.0,0.0
13780.0,0.0
13785.0,0.0
13790.0,0.0
13795.0,0.0
13800.0,0.0
13805.0,0.0
13810.0,0.0
13815.0,0.0
13820.0,0.0
13825.0,0.0
13830.0,0.0
13835.0,0.0
13840.0,0.0
13845.0,0.0
13850.0,0.0
13855.0,0.0
13860.0,0.0
13865.0,0.0
13870.0,0.0001
13875.0,0.0
13880.0,0.0
13885.0,0.0
13890.0,0.0001
13895.0,0.0001
13900.0,0.0
13905.0,0.0001
13910.0,0.0001
13915.0,0.0001
13920.0,0.0
13925.0,0.0
13930.0,0.0001
13935.0,0.0001
13940.0,0.0001
13945.0,0.0001
13950.0,0.0
13955.0,0.0
13960.0,0.0
13965.0,0.0
13970.0,0.0001
13975.0,0.0001
13980.0,0.0001
13985.0,0.0001
13990.0,0.0001
13995.0,0.0
14000.0,0.0
14005.0,0.0
14010.0,0.0
14015.0,0.0
14020.0,0.0001
14025.0,0.0002
14030.0,0.0001
14035.0,0.0002
14040.0,0.0001
14045.0,0.0001
14050.0,0.0
14055.0,0.0001
14060.0,0.0002
14065.0,0.0002
14070.0,0.0
14075.0,0.0
14080.0,0.0002
14085.0,0.0002
14090.0,0.0001
14095.0,0.0
14100.0,0.0002
14105.0,0.0002
14110.0,0.0002
14115.0,0.0002
14120.0,0.0002
14125.0,0.0002
14130.0,0.0003
14135.0,0.0002
14140.0,0.0002
14145.0,0.0001
14150.0,0.0002
14155.0,0.0002
14160.0,0.0004
14165.0,0.0004
14170.0,0.0003
14175.0,0.0003
14180.0,0.0003
14185.0,0.0004
