wave,trans
10510.0,0.0
10515.0,0.0
10520.0,0.0
10525.0,0.0
10530.0,0.0
10535.0,0.0
10540.0,0.0
10545.0,0.0
10550.0,0.0
10555.0,0.0
10560.0,0.0
10565.0,0.0
10570.0,0.0
10575.0,0.0
10580.0,0.0
10585.0,0.0
10590.0,0.0
10595.0,0.0
10600.0,0.0
10605.0,0.0
10610.0,0.0
10615.0,0.0
10620.0,0.0
10625.0,0.0
10630.0,0.0
10635.0,0.0
10640.0,0.0
10645.0,0.0
10650.0,0.0
10655.0,0.0
10660.0,0.0
10665.0,0.0
10670.0,0.0
10675.0,0.0
10680.0,0.0
10685.0,0.0
10690.0,0.0
10695.0,0.0
10700.0,0.0
10705.0,0.0
10710.0,0.0
10715.0,0.0
10720.0,0.0
10725.0,0.0
10730.0,0.0
10735.0,0.0
10740.0,0.0
10745.0,0.0
10750.0,0.0
10755.0,0.0
10760.0,0.0
10765.0,0.0
10770.0,0.0
10775.0,0.0
10780.0,0.0
10785.0,0.0
10790.0,0.0
10795.0,0.0
10800.0,0.0
10805.0,0.0
10810.0,0.0
10815.0,0.0
10820.0,0.0
10825.0,0.0
10830.0,0.0
10835.0,0.0
10840.0,0.0
10845.0,0.0
10850.0,0.0
10855.0,0.0
10860.0,0.0
10865.0,0.0
10870.0,0.0
10875.0,0.0
10880.0,0.0
10885.0,0.0
10890.0,0.0
10895.0,0.0
10900.0,0.0
10905.0,0.0
10910.0,0.0
10915.0,0.0
10920.0,0.0
10925.0,0.0
10930.0,0.0
10935.0,0.0
10940.0,0.0
10945.0,0.0
10950.0,0.0
10955.0,0.0
10960.0,0.0
10965.0,0.0
10970.0,0.0
10975.0,0.0
10980.0,0.0
10985.0,0.0
10990.0,0.0
10995.0,0.0
11000.0,0.0
11005.0,0.0001
11010.0,0.0001
11015.0,0.0001
11020.0,0.0001
11025.0,0.0001
11030.0,0.0001
11035.0,0.0001
11040.0,0.0001
11045.0,0.0001
11050.0,0.0001
11055.0,0.0001
11060.0,0.0001
11065.0,0.0001
11070.0,0.0001
11075.0,0.0001
11080.0,0.0001
11085.0,0.0001
11090.0,0.0001
11095.0,0.0001
11100.0,0.0001
11105.0,0.0001
11110.0,0.0001
11115.0,0.0001
11120.0,0.0001
11125.0,0.0001
11130.0,0.0001
11135.0,0.0001
11140.0,0.0001
11145.0,0.0001
11150.0,0.0001
11155.0,0.0001
11160.0,0.0001
11165.0,0.0001
11170.0,0.0001
11175.0,0.0001
11180.0,0.0002
11185.0,0.0002
11190.0,0.0001
11195.0,0.0002
11200.0,0.0002
11205.0,0.0002
11210.0,0.0002
11215.0,0.0002
11220.0,0.0002
11225.0,0.0001
11230.0,0.0002
11235.0,0.0002
11240.0,0.0003
11245.0,0.0003
11250.0,0.0003
11255.0,0.0001
11260.0,0.0003
11265.0,0.0003
11270.0,0.0004
11275.0,0.0003
11280.0,0.0003
11285.0,0.0003
11290.0,0.0004
11295.0,0.0004
11300.0,0.0004
11305.0,0.0005
11310.0,0.0006
11315.0,0.0006
11320.0,0.0006
11325.0,0.0006
11330.0,0.0007
11335.0,0.0005
11340.0,0.0006
11345.0,0.0005
11350.0,0.0004
11355.0,0.0008
11360.0,0.0006
11365.0,0.001
11370.0,0.0011
11375.0,0.001
11380.0,0.0012
11385.0,0.001
11390.0,0.0014
11395.0,0.0015
11400.0,0.0013
11405.0,0.0017
11410.0,0.0014
11415.0,0.0015
11420.0,0.0019
11425.0,0.0021
11430.0,0.0022
11435.0,0.0024
11440.0,0.0023
11445.0,0.0021
11450.0,0.0023
11455.0,0.0025
11460.0,0.0028
11465.0,0.0028
11470.0,0.0031
11475.0,0.003
11480.0,0.0044
11485.0,0.0046
11490.0,0.0044
11495.0,0.0049
11500.0,0.0046
11505.0,0.0062
11510.0,0.0062
11515.0,0.0069
11520.0,0.0064
11525.0,0.007
11530.0,0.0087
11535.0,0.0095
11540.0,0.0091
11545.0,0.0104
11550.0,0.0117
11555.0,0.0128
11560.0,0.0138
11565.0,0.0149
11570.0,0.0172
11575.0,0.0182
11580.0,0.0187
11585.0,0.0216
11590.0,0.0211
11595.0,0.0255
11600.0,0.0277
11605.0,0.0283
11610.0,0.0332
11615.0,0.0352
11620.0,0.0392
11625.0,0.041
11630.0,0.0466
11635.0,0.0496
11640.0,0.0535
11645.0,0.0586
11650.0,0.0617
11655.0,0.067
11660.0,0.0708
11665.0,0.0775
11670.0,0.0824
11675.0,0.0893
11680.0,0.0947
11685.0,0.0989
11690.0,0.1063
11695.0,0.1103
11700.0,0.1175
11705.0,0.1212
11710.0,0.1261
11715.0,0.1332
11720.0,0.1368
11725.0,0.1399
11730.0,0.1445
11735.0,0.1485
11740.0,0.1445
11745.0,0.1552
11750.0,0.1591
11755.0,0.1572
11760.0,0.164
11765.0,0.1656
11770.0,0.1673
11775.0,0.1613
11780.0,0.1672
11785.0,0.1671
11790.0,0.1718
11795.0,0.166
11800.0,0.1716
11805.0,0.1734
11810.0,0.1729
11815.0,0.1713
11820.0,0.1607
11825.0,0.1729
11830.0,0.1748
11835.0,0.1751
11840.0,0.1747
11845.0,0.1708
11850.0,0.1688
11855.0,0.1762
11860.0,0.1758
11865.0,0.1751
11870.0,0.1755
11875.0,0.1719
11880.0,0.1724
11885.0,0.1718
11890.0,0.1764
11895.0,0.1772
11900.0,0.1777
11905.0,0.1769
11910.0,0.1761
11915.0,0.1783
11920.0,0.1768
11925.0,0.1784
11930.0,0.1785
11935.0,0.1724
11940.0,0.1786
11945.0,0.1772
11950.0,0.1767
11955.0,0.1764
11960.0,0.1777
11965.0,0.1768
11970.0,0.1777
11975.0,0.1737
11980.0,0.1779
11985.0,0.1759
11990.0,0.1727
11995.0,0.1768
12000.0,0.1764
12005.0,0.1763
12010.0,0.1755
12015.0,0.1758
12020.0,0.1736
12025.0,0.1768
12030.0,0.1767
12035.0,0.1729
12040.0,0.1683
12045.0,0.1755
12050.0,0.1707
12055.0,0.1777
12060.0,0.1781
12065.0,0.1757
12070.0,0.1765
12075.0,0.1765
12080.0,0.1774
12085.0,0.1791
12090.0,0.1778
12095.0,0.1808
12100.0,0.1787
12105.0,0.1827
12110.0,0.1829
12115.0,0.1805
12120.0,0.1837
12125.0,0.1836
12130.0,0.1859
12135.0,0.1872
12140.0,0.1859
12145.0,0.1872
12150.0,0.1873
12155.0,0.1882
12160.0,0.1908
12165.0,0.1908
12170.0,0.1906
12175.0,0.1928
12180.0,0.1916
12185.0,0.1921
12190.0,0.1915
12195.0,0.1927
12200.0,0.1939
12205.0,0.1945
12210.0,0.1954
12215.0,0.1938
12220.0,0.1946
12225.0,0.1941
12230.0,0.1952
12235.0,0.1947
12240.0,0.1953
12245.0,0.1951
12250.0,0.1954
12255.0,0.1947
12260.0,0.1949
12265.0,0.1949
12270.0,0.1929
12275.0,0.1941
12280.0,0.194
12285.0,0.1939
12290.0,0.1932
12295.0,0.1925
12300.0,0.1926
12305.0,0.1925
12310.0,0.1922
12315.0,0.1919
12320.0,0.1916
12325.0,0.1913
12330.0,0.1909
12335.0,0.1906
12340.0,0.1909
12345.0,0.1907
12350.0,0.1906
12355.0,0.1906
12360.0,0.1907
12365.0,0.1907
12370.0,0.1908
12375.0,0.191
12380.0,0.1912
12385.0,0.1915
12390.0,0.1918
12395.0,0.1921
12400.0,0.1925
12405.0,0.1928
12410.0,0.1933
12415.0,0.1938
12420.0,0.1943
12425.0,0.1949
12430.0,0.1954
12435.0,0.196
12440.0,0.1966
12445.0,0.1972
12450.0,0.1978
12455.0,0.1984
12460.0,0.199
12465.0,0.1995
12470.0,0.2002
12475.0,0.2008
12480.0,0.201
12485.0,0.2018
12490.0,0.2023
12495.0,0.2021
12500.0,0.2032
12505.0,0.2036
12510.0,0.2026
12515.0,0.2042
12520.0,0.2045
12525.0,0.2029
12530.0,0.2048
12535.0,0.205
12540.0,0.2035
12545.0,0.2047
12550.0,0.2051
12555.0,0.2044
12560.0,0.2027
12565.0,0.2049
12570.0,0.2047
12575.0,0.1968
12580.0,0.2043
12585.0,0.2038
12590.0,0.1958
12595.0,0.2026
12600.0,0.2018
12605.0,0.199
12610.0,0.1949
12615.0,0.1975
12620.0,0.1961
12625.0,0.1844
12630.0,0.1946
12635.0,0.1907
12640.0,0.1889
12645.0,0.1883
12650.0,0.1881
12655.0,0.1948
12660.0,0.1765
12665.0,0.1895
12670.0,0.1918
12675.0,0.1916
12680.0,0.1989
12685.0,0.1504
12690.0,0.1478
12695.0,0.1806
12700.0,0.1927
12705.0,0.1973
12710.0,0.1947
12715.0,0.1994
12720.0,0.1942
12725.0,0.1995
12730.0,0.1948
12735.0,0.2037
12740.0,0.1962
12745.0,0.2017
12750.0,0.1982
12755.0,0.2065
12760.0,0.2008
12765.0,0.2021
12770.0,0.2052
12775.0,0.2054
12780.0,0.2091
12785.0,0.2032
12790.0,0.2104
12795.0,0.209
12800.0,0.2108
12805.0,0.208
12810.0,0.2111
12815.0,0.2124
12820.0,0.2123
12825.0,0.2101
12830.0,0.2132
12835.0,0.2132
12840.0,0.2134
12845.0,0.2113
12850.0,0.2136
12855.0,0.2137
12860.0,0.2136
12865.0,0.2128
12870.0,0.2132
12875.0,0.2132
12880.0,0.2129
12885.0,0.2125
12890.0,0.2113
12895.0,0.2119
12900.0,0.2115
12905.0,0.2113
12910.0,0.2105
12915.0,0.21
12920.0,0.2092
12925.0,0.2094
12930.0,0.209
12935.0,0.2087
12940.0,0.2078
12945.0,0.2077
12950.0,0.207
12955.0,0.2058
12960.0,0.2059
12965.0,0.2057
12970.0,0.205
12975.0,0.2034
12980.0,0.2043
12985.0,0.2045
12990.0,0.2044
12995.0,0.2017
13000.0,0.2032
13005.0,0.2008
13010.0,0.2007
13015.0,0.2034
13020.0,0.2034
13025.0,0.2028
13030.0,0.2018
13035.0,0.1973
13040.0,0.2001
13045.0,0.1994
13050.0,0.2038
13055.0,0.2023
13060.0,0.2043
13065.0,0.1988
13070.0,0.2024
13075.0,0.205
13080.0,0.1978
13085.0,0.2057
13090.0,0.2057
13095.0,0.2012
13100.0,0.2012
13105.0,0.1978
13110.0,0.2059
13115.0,0.2075
13120.0,0.206
13125.0,0.2041
13130.0,0.2006
13135.0,0.198
13140.0,0.2023
13145.0,0.2024
13150.0,0.2007
13155.0,0.1986
13160.0,0.2024
13165.0,0.2021
13170.0,0.1862
13175.0,0.1989
13180.0,0.1956
13185.0,0.1881
13190.0,0.1876
13195.0,0.183
13200.0,0.1716
13205.0,0.1757
13210.0,0.177
13215.0,0.1648
13220.0,0.1687
13225.0,0.1628
13230.0,0.1516
13235.0,0.1553
13240.0,0.144
13245.0,0.1449
13250.0,0.1422
13255.0,0.1298
13260.0,0.1305
13265.0,0.1247
13270.0,0.1139
13275.0,0.1143
13280.0,0.1075
13285.0,0.0962
13290.0,0.0929
13295.0,0.0936
13300.0,0.0868
13305.0,0.0847
13310.0,0.0764
13315.0,0.0695
13320.0,0.0658
13325.0,0.0552
13330.0,0.0641
13335.0,0.0588
13340.0,0.0522
13345.0,0.0554
13350.0,0.0488
13355.0,0.0495
13360.0,0.037
13365.0,0.0444
13370.0,0.0389
13375.0,0.0342
13380.0,0.0328
13385.0,0.0353
13390.0,0.0323
13395.0,0.0306
13400.0,0.0282
13405.0,0.0233
13410.0,0.0265
13415.0,0.0222
13420.0,0.0238
13425.0,0.022
13430.0,0.0209
13435.0,0.02
13440.0,0.0144
13445.0,0.0138
13450.0,0.0162
13455.0,0.0139
13460.0,0.0136
13465.0,0.0106
13470.0,0.0133
13475.0,0.0109
13480.0,0.007
13485.0,0.0063
13490.0,0.0081
13495.0,0.01
13500.0,0.0075
13505.0,0.0042
13510.0,0.0073
13515.0,0.0051
13520.0,0.0055
13525.0,0.0037
13530.0,0.0033
13535.0,0.004
13540.0,0.0046
13545.0,0.002
13550.0,0.0011
13555.0,0.0032
13560.0,0.002
13565.0,0.0039
13570.0,0.0017
13575.0,0.0016
13580.0,0.0026
13585.0,0.001
13590.0,0.0022
13595.0,0.0003
13600.0,0.0019
13605.0,0.0015
13610.0,0.0002
13615.0,0.0005
13620.0,0.0001
13625.0,0.0001
13630.0,0.0012
13635.0,0.0015
13640.0,0.001
13645.0,0.0003
13650.0,0.0004
13655.0,0.0001
13660.0,0.0016
13665.0,0.0015
13670.0,0.0006
13675.0,0.0003
13680.0,0.0003
13685.0,0.0001
13690.0,0.0007
13695.0,0.001
13700.0,0.0001
13705.0,0.0007
13710.0,0.0001
13715.0,0.0007
13720.0,0.0005
13725.0,0.0008
13730.0,0.0007
13735.0,0.0006
13740.0,0.0009
13745.0,0.0005
13750.0,0.0004
13755.0,0.0011
13760.0,0.0004
13765.0,0.0007
13770.0,0.0002
13775.0,0.0009
13780.0,0.0008
13785.0,0.0003
13790.0,0.0003
13795.0,0.0007
13800.0,0.0004
13805.0,0.0001
13810.0,0.0001
13815.0,0.0005
13820.0,0.0002
13825.0,0.0
13830.0,0.0
13835.0,0.0002
13840.0,0.0002
13845.0,0.0003
13850.0,0.0001
13855.0,0.0002
13860.0,0.0003
13865.0,0.0002
13870.0,0.0004
13875.0,0.0004
13880.0,0.0
13885.0,0.0002
13890.0,0.0003
13895.0,0.0005
13900.0,0.0002
13905.0,0.0004
13910.0,0.0003
13915.0,0.0004
13920.0,0.0002
13925.0,0.0
13930.0,0.0002
13935.0,0.0003
13940.0,0.0002
13945.0,0.0002
13950.0,0.0
13955.0,0.0
13960.0,0.0001
13965.0,0.0
13970.0,0.0002
13975.0,0.0003
13980.0,0.0003
13985.0,0.0002
13990.0,0.0002
13995.0,0.0001
14000.0,0.0001
14005.0,0.0
14010.0,0.0001
14015.0,0.0
14020.0,0.0002
14025.0,0.0003
14030.0,0.0001
14035.0,0.0002
14040.0,0.0001
14045.0,0.0001
14050.0,0.0
14055.0,0.0001
14060.0,0.0002
14065.0,0.0002
14070.0,0.0
14075.0,0.0
14080.0,0.0002
14085.0,0.0001
14090.0,0.0001
14095.0,0.0
14100.0,0.0001
14105.0,0.0001
14110.0,0.0001
14115.0,0.0001
14120.0,0.0001
14125.0,0.0001
14130.0,0.0002
14135.0,0.0001
14140.0,0.0001
14145.0,0.0001
14150.0,0.0001
14155.0,0.0001
14160.0,0.0001
14165.0,0.0001
14170.0,0.0001
14175.0,0.0001
14180.0,0.0001
14185.0,0.0001
