wave,trans
19010.0,0.0001
19015.0,0.0002
19020.0,0.0003
19025.0,0.0001
19030.0,0.0
19035.0,0.0001
19040.0,0.0003
19045.0,0.0002
19050.0,0.0001
19055.0,0.0
19060.0,0.0001
19065.0,0.0001
19070.0,0.0
19075.0,0.0003
19080.0,0.0004
19085.0,0.0004
19090.0,0.0001
19095.0,0.0005
19100.0,0.0004
19105.0,0.0002
19110.0,0.0003
19115.0,0.0
19120.0,0.0002
19125.0,0.0003
19130.0,0.0003
19135.0,0.0
19140.0,0.0001
19145.0,0.0002
19150.0,0.0003
19155.0,0.0006
19160.0,0.0002
19165.0,0.0001
19170.0,0.0003
19175.0,0.0007
19180.0,0.0008
19185.0,0.0008
19190.0,0.0007
19195.0,0.0003
19200.0,0.0
19205.0,0.0001
19210.0,0.0
19215.0,0.0004
19220.0,0.0008
19225.0,0.0009
19230.0,0.0009
19235.0,0.0009
19240.0,0.0001
19245.0,0.0002
19250.0,0.0009
19255.0,0.0011
19260.0,0.0008
19265.0,0.001
19270.0,0.0002
19275.0,0.0005
19280.0,0.0011
19285.0,0.0003
19290.0,0.0008
19295.0,0.0012
19300.0,0.001
19305.0,0.0007
19310.0,0.0004
19315.0,0.0009
19320.0,0.0008
19325.0,0.0015
19330.0,0.001
19335.0,0.0015
19340.0,0.0004
19345.0,0.0012
19350.0,0.0018
19355.0,0.0017
19360.0,0.0016
19365.0,0.0007
19370.0,0.0017
19375.0,0.0017
19380.0,0.0008
19385.0,0.0018
19390.0,0.0009
19395.0,0.0011
19400.0,0.0013
19405.0,0.0022
19410.0,0.0013
19415.0,0.0009
19420.0,0.002
19425.0,0.0026
19430.0,0.0024
19435.0,0.0019
19440.0,0.0022
19445.0,0.0018
19450.0,0.0015
19455.0,0.0025
19460.0,0.0024
19465.0,0.0026
19470.0,0.0023
19475.0,0.0022
19480.0,0.0025
19485.0,0.0022
19490.0,0.0028
19495.0,0.0024
19500.0,0.0026
19505.0,0.0026
19510.0,0.0025
19515.0,0.0032
19520.0,0.0031
19525.0,0.0027
19530.0,0.0027
19535.0,0.0022
19540.0,0.0027
19545.0,0.0021
19550.0,0.0026
