wave,trans
9005.0,0.0
9010.0,0.0
9015.0,0.0
9020.0,0.0
9025.0,0.0
9030.0,0.0
9035.0,0.0
9040.0,0.0
9045.0,0.0
9050.0,0.0
9055.0,0.0
9060.0,0.0
9065.0,0.0
9070.0,0.0
9075.0,0.0
9080.0,0.0
9085.0,0.0
9090.0,0.0
9095.0,0.0
9100.0,0.0
9105.0,0.0
9110.0,0.0
9115.0,0.0
9120.0,0.0
9125.0,0.0
9130.0,0.0
9135.0,0.0
9140.0,0.0
9145.0,0.0
9150.0,0.0
9155.0,0.0
9160.0,0.0
9165.0,0.0
9170.0,0.0
9175.0,0.0
9180.0,0.0
9185.0,0.0
9190.0,0.0
9195.0,0.0
9200.0,0.0
9205.0,0.0
9210.0,0.0
9215.0,0.0
9220.0,0.0
9225.0,0.0
9230.0,0.0
9235.0,0.0
9240.0,0.0
9245.0,0.0
9250.0,0.0
9255.0,0.0
9260.0,0.0
9265.0,0.0
9270.0,0.0
9275.0,0.0
9280.0,0.0
9285.0,0.0
9290.0,0.0
9295.0,0.0
9300.0,0.0
9305.0,0.0001
9310.0,0.0001
9315.0,0.0001
9320.0,0.0
9325.0,0.0001
9330.0,0.0001
9335.0,0.0001
9340.0,0.0001
9345.0,0.0001
9350.0,0.0001
9355.0,0.0001
9360.0,0.0001
9365.0,0.0001
9370.0,0.0001
9375.0,0.0001
9380.0,0.0001
9385.0,0.0001
9390.0,0.0001
9395.0,0.0001
9400.0,0.0001
9405.0,0.0001
9410.0,0.0001
9415.0,0.0001
9420.0,0.0001
9425.0,0.0002
9430.0,0.0001
9435.0,0.0002
9440.0,0.0002
9445.0,0.0001
9450.0,0.0002
9455.0,0.0002
9460.0,0.0002
9465.0,0.0002
9470.0,0.0003
9475.0,0.0003
9480.0,0.0003
9485.0,0.0003
9490.0,0.0004
9495.0,0.0004
9500.0,0.0004
9505.0,0.0004
9510.0,0.0005
9515.0,0.0005
9520.0,0.0005
9525.0,0.0005
9530.0,0.0006
9535.0,0.0007
9540.0,0.0007
9545.0,0.0008
9550.0,0.0009
9555.0,0.0009
9560.0,0.001
9565.0,0.0011
9570.0,0.0011
9575.0,0.0014
9580.0,0.0015
9585.0,0.0016
9590.0,0.0017
9595.0,0.0018
9600.0,0.0021
9605.0,0.0024
9610.0,0.0026
9615.0,0.0029
9620.0,0.0032
9625.0,0.0033
9630.0,0.0038
9635.0,0.0044
9640.0,0.0044
9645.0,0.0053
9650.0,0.0058
9655.0,0.0067
9660.0,0.0074
