wave,trans
8000.0,0.0003
8005.0,0.0003
8010.0,0.0003
8015.0,0.0004
8020.0,0.0004
8025.0,0.0004
8030.0,0.0005
8035.0,0.0005
8040.0,0.0005
8045.0,0.0006
8050.0,0.0006
8055.0,0.0007
8060.0,0.0007
8065.0,0.0007
8070.0,0.0008
8075.0,0.0008
8080.0,0.0009
8085.0,0.001
8090.0,0.001
8095.0,0.0011
8100.0,0.0011
8105.0,0.0012
8110.0,0.0013
8115.0,0.0014
8120.0,0.0015
8125.0,0.0016
8130.0,0.0017
8135.0,0.0018
8140.0,0.002
8145.0,0.0021
8150.0,0.0023
8155.0,0.0025
8160.0,0.0028
8165.0,0.0029
8170.0,0.0033
8175.0,0.0036
8180.0,0.0038
8185.0,0.0043
8190.0,0.0046
8195.0,0.0051
8200.0,0.0055
8205.0,0.0062
8210.0,0.0067
8215.0,0.0074
8220.0,0.0081
8225.0,0.009
8230.0,0.0093
8235.0,0.0108
8240.0,0.0122
8245.0,0.0137
8250.0,0.0154
8255.0,0.0172
8260.0,0.0189
8265.0,0.0213
8270.0,0.0237
8275.0,0.0257
8280.0,0.0284
8285.0,0.0311
8290.0,0.0338
8295.0,0.0375
8300.0,0.041
8305.0,0.0443
8310.0,0.0481
8315.0,0.0521
8320.0,0.0558
8325.0,0.0599
8330.0,0.0647
8335.0,0.0692
8340.0,0.0736
8345.0,0.0787
8350.0,0.0834
8355.0,0.0882
8360.0,0.093
8365.0,0.0979
8370.0,0.1028
8375.0,0.1074
8380.0,0.1118
8385.0,0.1163
8390.0,0.1205
8395.0,0.1243
8400.0,0.1279
8405.0,0.1314
8410.0,0.1346
8415.0,0.1379
8420.0,0.1409
8425.0,0.1436
8430.0,0.1462
8435.0,0.1484
8440.0,0.1506
8445.0,0.1524
8450.0,0.1541
8455.0,0.1553
8460.0,0.1566
8465.0,0.1574
8470.0,0.1582
8475.0,0.1588
8480.0,0.1593
8485.0,0.1597
8490.0,0.1601
8495.0,0.1604
8500.0,0.1608
8505.0,0.161
8510.0,0.1614
8515.0,0.1614
8520.0,0.1618
8525.0,0.162
8530.0,0.1621
8535.0,0.1623
8540.0,0.1624
8545.0,0.1625
8550.0,0.1626
8555.0,0.1628
8560.0,0.163
8565.0,0.1632
8570.0,0.1635
8575.0,0.1638
8580.0,0.1643
8585.0,0.1647
8590.0,0.1652
8595.0,0.1658
8600.0,0.1664
8605.0,0.167
8610.0,0.1676
8615.0,0.1682
8620.0,0.1688
8625.0,0.1694
8630.0,0.17
8635.0,0.1705
8640.0,0.171
8645.0,0.1714
8650.0,0.1718
8655.0,0.1721
8660.0,0.1725
8665.0,0.1727
8670.0,0.173
8675.0,0.1731
8680.0,0.1733
8685.0,0.1734
8690.0,0.1735
8695.0,0.1736
8700.0,0.1737
8705.0,0.1738
8710.0,0.1739
8715.0,0.174
8720.0,0.1742
8725.0,0.1744
8730.0,0.1746
8735.0,0.175
8740.0,0.1753
8745.0,0.1756
8750.0,0.176
8755.0,0.1764
8760.0,0.1769
8765.0,0.1773
8770.0,0.1777
8775.0,0.1781
8780.0,0.1786
8785.0,0.1789
8790.0,0.1793
8795.0,0.1797
8800.0,0.18
8805.0,0.1803
8810.0,0.1806
8815.0,0.1808
8820.0,0.1811
8825.0,0.1812
8830.0,0.1815
8835.0,0.1816
8840.0,0.1818
8845.0,0.1821
8850.0,0.1822
8855.0,0.1824
8860.0,0.1825
8865.0,0.1829
8870.0,0.1831
8875.0,0.1834
8880.0,0.1835
8885.0,0.1839
8890.0,0.1842
8895.0,0.1844
8900.0,0.1846
8905.0,0.1849
8910.0,0.1852
8915.0,0.1855
8920.0,0.1854
8925.0,0.1859
8930.0,0.1858
8935.0,0.1858
8940.0,0.1864
8945.0,0.186
8950.0,0.1855
8955.0,0.1844
8960.0,0.1856
8965.0,0.1817
8970.0,0.1845
8975.0,0.1803
8980.0,0.1856
8985.0,0.1845
8990.0,0.1728
8995.0,0.1765
9000.0,0.1863
9005.0,0.1804
9010.0,0.1832
9015.0,0.183
9020.0,0.1761
9025.0,0.1812
9030.0,0.1832
9035.0,0.1859
