wave,trans
16500.0,0.0
16610.0,0.1421
16720.0,0.2388
16830.0,0.3355
16940.0,0.4324
17050.0,0.5384
17160.0,0.6372
17270.0,0.7103
17380.0,0.7107
17490.0,0.7112
17600.0,0.7252
17710.0,0.7254
17820.0,0.7255
17930.0,0.726
18040.0,0.7245
18150.0,0.7235
18260.0,0.7236
18370.0,0.7237
18480.0,0.7236
18590.0,0.7348
18700.0,0.7352
18800.0,0.7356
18910.0,0.7354
19020.0,0.7387
19130.0,0.7389
19240.0,0.7393
19350.0,0.7398
19460.0,0.7415
19570.0,0.7506
19680.0,0.7459
19790.0,0.6585
19900.0,0.4832
20010.0,0.3901
20120.0,0.3038
20230.0,0.2173
20340.0,0.1308
20450.0,0.0442
20560.0,0.0
20670.0,0.0
20780.0,0.0
20890.0,0.0
21000.0,0.0
