wave,trans
13500.0,0.0
13620.0,0.1256
13740.0,0.2367
13870.0,0.3481
13990.0,0.4594
14110.0,0.6574
14230.0,0.6584
14350.0,0.6602
14480.0,0.6609
14600.0,0.6684
14720.0,0.6691
14840.0,0.6698
14960.0,0.6702
15090.0,0.6722
15210.0,0.6729
15330.0,0.6735
15450.0,0.6742
15570.0,0.6874
15700.0,0.6878
15820.0,0.6881
15940.0,0.6887
16060.0,0.6912
16180.0,0.6915
16300.0,0.692
16430.0,0.6922
16550.0,0.6959
16670.0,0.6965
16790.0,0.6969
16910.0,0.6973
17040.0,0.7097
17160.0,0.7101
17280.0,0.7105
17400.0,0.6921
17520.0,0.6106
17650.0,0.5155
17770.0,0.4201
17890.0,0.3248
18010.0,0.1337
18130.0,0.0383
18260.0,0.0
18380.0,0.0
18500.0,0.0
