wave,trans
3000.0,0.0
3010.0,0.0
3020.0,0.0
3030.0,0.0
3040.0,0.0
3050.0,0.0
3060.0,0.0
3070.0,0.0
3080.0,0.0
3090.0,0.0
3100.0,0.0
3110.0,0.0
3120.0,0.0
3130.0,0.0
3140.0,0.0
3150.0,0.0
3160.0,0.0
3170.0,0.0
3180.0,0.0
3190.0,0.0
3200.0,0.0
3210.0,0.0
3220.0,0.0
3230.0,0.0
3240.0,0.0
3250.0,0.0
3260.0,0.0
3270.0,0.0
3280.0,0.0
3290.0,0.0
3300.0,0.0
3310.0,0.0
3320.0,0.0
3330.0,0.0
3340.0,0.00011
3350.0,0.00011
3360.0,0.0001
3370.0,0.0001
3380.0,9e-05
3390.0,9e-05
3400.0,8e-05
3410.0,8e-05
3420.0,7e-05
3430.0,7e-05
3440.0,6e-05
3450.0,6e-05
3460.0,6e-05
3470.0,5e-05
3480.0,5e-05
3490.0,4e-05
3500.0,4e-05
3510.0,3e-05
3520.0,3e-05
3530.0,3e-05
3540.0,3e-05
3550.0,3e-05
3560.0,3e-05
3570.0,3e-05
3580.0,3e-05
3590.0,3e-05
3600.0,3e-05
3610.0,3e-05
3620.0,3e-05
3630.0,3e-05
3640.0,2e-05
3650.0,2e-05
3660.0,2e-05
3670.0,1e-05
3680.0,1e-05
3690.0,1e-05
3700.0,0.0
3710.0,0.0
3720.0,0.0
3730.0,0.0
3740.0,0.0
3750.0,0.0
3760.0,1e-05
3770.0,1e-05
3780.0,1e-05
3790.0,1e-05
3800.0,1e-05
3810.0,1e-05
3820.0,2e-05
3830.0,2e-05
3840.0,3e-05
3850.0,3e-05
3860.0,4e-05
3870.0,4e-05
3880.0,4e-05
3890.0,5e-05
3900.0,5e-05
3910.0,6e-05
3920.0,0.00012
3930.0,0.00019
3940.0,0.00025
3950.0,0.00031
3960.0,0.00038
3970.0,0.00044
3980.0,0.00051
3990.0,0.00058
4000.0,0.00064
4010.0,0.00071
4020.0,0.00078
4030.0,0.00085
4040.0,0.00092
4050.0,0.00099
4060.0,0.00106
4070.0,0.00113
4080.0,0.0012
4090.0,0.00127
4100.0,0.00134
4110.0,0.00136
4120.0,0.00138
4130.0,0.00141
4140.0,0.00143
4150.0,0.00145
4160.0,0.00147
4170.0,0.00149
4180.0,0.00152
4190.0,0.00154
4200.0,0.00156
4210.0,0.00158
4220.0,0.00154
4230.0,0.00149
4240.0,0.00144
4250.0,0.00139
4260.0,0.00135
4270.0,0.0013
4280.0,0.00125
4290.0,0.0012
4300.0,0.00115
4310.0,0.0011
4320.0,0.00105
4330.0,0.001
4340.0,0.00095
4350.0,0.0009
4360.0,0.00085
4370.0,0.0008
4380.0,0.00074
4390.0,0.00069
4400.0,0.00064
4410.0,0.00072
4420.0,0.0008
4430.0,0.00088
4440.0,0.00095
4450.0,0.00103
4460.0,0.00111
4470.0,0.00119
4480.0,0.00127
4490.0,0.00135
4500.0,0.00144
4510.0,0.00136
4520.0,0.00129
4530.0,0.00122
4540.0,0.00114
4550.0,0.00107
4560.0,0.00099
4570.0,0.00092
4580.0,0.00084
4590.0,0.00076
4600.0,0.00069
4610.0,0.00061
4620.0,0.00062
4630.0,0.00063
4640.0,0.00063
4650.0,0.00064
4660.0,0.00065
4670.0,0.00066
4680.0,0.00067
4690.0,0.00067
4700.0,0.00068
4710.0,0.00072
4720.0,0.00076
4730.0,0.0008
4740.0,0.00083
4750.0,0.00087
4760.0,0.00091
4770.0,0.00095
4780.0,0.00099
4790.0,0.00103
4800.0,0.00107
4810.0,0.00111
4820.0,0.00115
4830.0,0.0012
4840.0,0.00125
4850.0,0.00129
4860.0,0.00134
4870.0,0.00138
4880.0,0.00143
4890.0,0.00147
4900.0,0.00152
4910.0,0.00148
4920.0,0.00144
4930.0,0.0014
4940.0,0.00136
4950.0,0.00132
4960.0,0.00128
4970.0,0.00124
4980.0,0.0012
4990.0,0.00116
5000.0,0.00112
5010.0,0.00105
5020.0,0.00099
5030.0,0.00093
5040.0,0.00087
5050.0,0.0008
5060.0,0.00074
5070.0,0.00068
5080.0,0.00061
5090.0,0.00055
5100.0,0.00055
5110.0,0.00055
5120.0,0.00055
5130.0,0.00054
5140.0,0.00054
5150.0,0.00054
5160.0,0.00054
5170.0,0.00054
5180.0,0.00053
5190.0,0.00053
5200.0,0.00053
5210.0,0.00053
5220.0,0.00054
5230.0,0.00054
5240.0,0.00055
5250.0,0.00055
5260.0,0.00056
5270.0,0.00056
5280.0,0.00057
5290.0,0.00057
5300.0,0.00056
5310.0,0.00055
5320.0,0.00055
5330.0,0.00054
5340.0,0.00053
5350.0,0.00052
5360.0,0.00051
5370.0,0.0005
5380.0,0.0005
5390.0,0.00049
5400.0,0.00048
5410.0,0.00047
5420.0,0.00046
5430.0,0.00045
5440.0,0.00043
5450.0,0.00042
5460.0,0.00041
5470.0,0.0004
5480.0,0.00039
5490.0,0.00038
5500.0,0.00037
5510.0,0.00034
5520.0,0.00032
5530.0,0.0003
5540.0,0.00027
5550.0,0.00025
5560.0,0.00022
5570.0,0.0002
5580.0,0.00017
5590.0,0.00015
