wave,trans
3000.0,2.17487e-37
3000.38,1.9066e-14
3000.75,3.81682e-14
3001.13,5.73313e-14
3001.5,7.65678e-14
3001.88,9.5853e-14
3002.26,1.15212e-13
3002.63,1.3462e-13
3003.01,1.54103e-13
3003.39,1.73657e-13
3003.76,1.93261e-13
3004.14,2.12927e-13
3004.51,2.32668e-13
3004.89,2.52471e-13
3005.27,2.72336e-13
3005.64,2.92275e-13
3006.02,3.12264e-13
3006.4,3.32327e-13
3006.77,3.52453e-13
3007.15,3.72641e-13
3007.53,3.92891e-13
3007.9,4.13218e-13
3008.28,4.33607e-13
3008.66,4.54047e-13
3009.04,4.74576e-13
3009.41,4.95153e-13
3009.79,5.15794e-13
3010.17,5.3686e-13
3010.54,5.58474e-13
3010.92,5.80211e-13
3011.3,6.02072e-13
3011.68,6.24072e-13
3012.05,6.46181e-13
3012.43,6.68429e-13
3012.81,6.90802e-13
3013.18,7.13299e-13
3013.56,7.35935e-13
3013.94,7.58682e-13
3014.32,7.81569e-13
3014.7,8.04582e-13
3015.07,8.27721e-13
3015.45,8.51001e-13
3015.83,8.74393e-13
3016.21,8.97926e-13
3016.58,9.21585e-13
3016.96,9.45371e-13
3017.34,9.69302e-13
3017.72,9.93345e-13
3018.1,1.01753e-12
3018.47,1.04184e-12
3018.85,1.06629e-12
3019.23,1.09086e-12
3019.61,1.11557e-12
3019.99,1.1404e-12
3020.37,1.16495e-12
3020.74,1.1896e-12
3021.12,1.21437e-12
3021.5,1.23924e-12
3021.88,1.26424e-12
3022.26,1.28936e-12
3022.64,1.31459e-12
3023.02,1.33993e-12
3023.4,1.3654e-12
3023.77,1.39098e-12
3024.15,1.41668e-12
3024.53,1.4425e-12
3024.91,1.46843e-12
3025.29,1.49449e-12
3025.67,1.52064e-12
3026.05,1.54693e-12
3026.43,1.57334e-12
3026.81,1.59988e-12
3027.19,1.62654e-12
3027.56,1.6533e-12
3027.94,1.6802e-12
3028.32,1.7072e-12
3028.7,1.73432e-12
3029.08,1.76157e-12
3029.46,1.78894e-12
3029.84,1.81643e-12
3030.22,1.8444e-12
3030.6,1.87274e-12
3030.98,1.90123e-12
3031.36,1.92985e-12
3031.74,1.95862e-12
3032.12,1.98753e-12
3032.5,2.01657e-12
3032.88,2.04575e-12
