wave,trans
2999.0,0.0
2999.38,3.67872e-37
2999.77,7.37722e-37
3000.15,3.41057e-14
3000.54,1.20117e-13
3000.92,2.06221e-13
3001.31,2.92415e-13
3001.69,3.78702e-13
3002.08,4.65136e-13
3002.46,5.51663e-13
3002.84,6.38283e-13
3003.23,7.24989e-13
3003.61,8.11784e-13
3004.0,8.98726e-13
3004.38,9.85763e-13
3004.77,1.07289e-12
3005.15,1.16011e-12
3005.54,1.24742e-12
3005.92,1.33487e-12
3006.31,1.42236e-12
3006.7,1.50999e-12
3007.08,1.59777e-12
3007.47,1.68558e-12
3007.85,1.77354e-12
3008.24,1.86154e-12
3008.62,1.94968e-12
3009.01,2.03797e-12
3009.39,2.12628e-12
3009.78,2.21474e-12
3010.16,2.30472e-12
3010.55,2.39701e-12
3010.94,2.48972e-12
3011.32,2.58271e-12
3011.71,2.67612e-12
3012.09,2.76987e-12
3012.48,2.86398e-12
3012.87,2.95843e-12
3013.25,3.05323e-12
3013.64,3.14843e-12
3014.02,3.24398e-12
3014.41,3.33987e-12
3014.8,3.43612e-12
3015.18,3.53271e-12
3015.57,3.62971e-12
3015.96,3.72705e-12
3016.34,3.82473e-12
3016.73,3.92276e-12
3017.12,4.02119e-12
3017.5,4.11991e-12
3017.89,4.21904e-12
3018.28,4.31851e-12
3018.66,4.41838e-12
3019.05,4.51853e-12
3019.44,4.61909e-12
3019.82,4.71999e-12
3020.21,4.82022e-12
3020.6,4.91989e-12
3020.98,5.01989e-12
3021.37,5.12009e-12
3021.76,5.22063e-12
3022.15,5.32144e-12
3022.53,5.42258e-12
3022.92,5.52393e-12
3023.31,5.62561e-12
3023.7,5.72757e-12
3024.08,5.8298e-12
3024.47,5.93229e-12
3024.86,6.03512e-12
3025.25,6.13812e-12
3025.63,6.24145e-12
3026.02,6.34504e-12
3026.41,6.44903e-12
3026.8,6.55322e-12
3027.18,6.65774e-12
3027.57,6.7625e-12
3027.96,6.86754e-12
3028.35,6.97287e-12
3028.74,7.0784e-12
3029.12,7.18427e-12
3029.51,7.29043e-12
3029.9,7.39686e-12
3030.29,7.5054e-12
3030.68,7.61495e-12
3031.07,7.72483e-12
3031.45,7.83508e-12
3031.84,7.94565e-12
3032.23,8.05654e-12
3032.62,8.16782e-12
3033.01,8.27943e-12
3033.4,8.39134e-12
3033.79,8.50358e-12
3034.17,8.61612e-12
3034.56,8.72905e-12
3034.95,8.8423e-12
3035.34,8.9559e-12
3035.73,9.06984e-12
3036.12,9.18407e-12
3036.51,9.29868e-12
3036.9,9.4136e-12
3037.29,9.52883e-12
3037.68,9.64439e-12
3038.07,9.76035e-12
